status,iteration,batch_number,Ma fraction - Viperlab Pero Processing 2 Targets [prm_025a95d2562d4a6d93736733de5395a5],Spin speed (RPM) - Viperlab Pero Processing 2 Targets [prm_4add76526734486191ae301dc38da69e],Spin duration High Speed - Viperlab Pero Processing 2 Targets [prm_50ff9473dba84f4181213e96cd7c73a7],Fa fraction - Viperlab Pero Processing 2 Targets [prm_7b760a083f414038a1aad4c91dca0401],Cs fraction - Viperlab Pero Processing 2 Targets [prm_8cb392134c7f48258e3629ac01ee6b4b],Spin duration Antisolvent - Viperlab Pero Processing 2 Targets [prm_afbe502412124436bffe6bba93a0ec48],FWHM [obj_9acb4738c3d8462185f1843e3ae47e0f],PLQY [obj_d73a2a0096ce4938bef74af27e57ba75],merit,updated_date
ok,0,0,0.89,2150.0,50.4,0.03,0.08,14.2,51.15,3.65,0.5441328806381304,2023-06-27T11:04:13.209697Z
ok,0,1,0.21,2975.0,51.6,0.72,0.07,6.4,48.35,10.49,0.4845287384116672,2023-06-27T11:04:13.216296Z
ok,0,2,0.89,2150.0,51.1,0.025,0.085,8.4,49.25,2.66,0.5527597959603816,2023-06-27T11:04:13.222069Z
ok,0,3,0.885,2150.0,56.4,0.03,0.085,13.6,51.75,1.71,0.5610381490473902,2023-06-27T11:04:13.228818Z
ok,0,4,0.895,2550.0,50.5,0.03,0.075,11.4,49.7,2.03,0.5582496511654504,2023-06-27T11:04:13.234647Z
ok,0,5,0.905,2150.0,58.6,0.02,0.075,7.5,52.65,1.88,0.5595567595476097,2023-06-27T11:04:13.240562Z
ok,0,6,0.785,2125.0,50.5,0.125,0.09,13.7,50.5,0.0,0.5759391846040061,2023-06-27T11:04:13.246273Z
ok,0,7,0.9,2950.0,55.6,0.02,0.08,8.3,52.1,2.82,0.5513655470194115,2023-06-27T11:04:13.251619Z
ok,0,8,0.045,2700.0,55.0,0.95,0.005,10.0,49.05,30.07,0.31390752426047613,2023-06-27T11:04:13.256806Z
ok,0,9,0.05,2700.0,55.1,0.95,0.0,10.0,50.6,46.24,0.173001240663706,2023-06-27T11:04:13.262041Z
ok,0,10,0.05,2700.0,54.9,0.95,0.0,10.0,50.35,38.55,0.2400123303890717,2023-06-27T11:04:13.268725Z
ok,0,11,0.05,2700.0,55.0,0.945,0.005,10.0,47.65,25.73,0.35172652678428457,2023-06-27T11:04:13.273942Z
ok,0,12,0.055,2700.0,55.0,0.945,0.0,10.0,49.8,30.58,0.30946335576113465,2023-06-27T11:04:13.279315Z
ok,0,13,0.045,2700.0,55.0,0.955,0.0,10.0,53.05,25.45,0.3541664624309819,2023-06-27T11:04:13.284767Z
ok,0,14,0.045,2700.0,54.9,0.95,0.005,10.0,47.7,29.66,0.31748028717171156,2023-06-27T11:04:13.291133Z
ok,0,15,0.045,2700.0,55.1,0.95,0.005,10.0,49.9,55.12,0.09562042443987681,2023-06-27T11:04:13.296680Z
ok,1,0,0.835,2875.0,59.2,0.13,0.035,12.7,46.75,2.39,0.5551125910482683,2023-06-27T15:25:26.151730Z
ok,1,1,0.74,2025.0,58.9,0.225,0.035,13.1,47.8,4.07,0.5404729771680843,2023-06-27T15:25:26.158308Z
ok,1,2,0.195,2050.0,57.4,0.775,0.03,11.5,50.35,9.04,0.4971641194392069,2023-06-27T15:25:26.164444Z
ok,1,3,0.19,2075.0,56.8,0.775,0.035,11.3,50.35,9.21,0.49568272993942636,2023-06-27T15:25:26.170360Z
ok,1,4,0.73,2050.0,52.6,0.24,0.03,11.7,47.55,4.43,0.5373359170509021,2023-06-27T15:25:26.176056Z
ok,1,5,0.74,2850.0,58.3,0.22,0.04,11.6,47.7,5.05,0.5319332024046436,2023-06-27T15:25:26.183682Z
ok,1,6,0.745,2325.0,57.7,0.22,0.035,6.6,47.85,3.83,0.5425643505795392,2023-06-27T15:25:26.190492Z
ok,1,7,0.74,2850.0,53.4,0.225,0.035,5.6,47.5,6.02,0.5234805682000138,2023-06-27T15:25:26.196542Z
ok,1,8,0.04,2700.0,55.1,0.95,0.01,10.0,49.5,31.77,0.299093629262671,2023-06-27T15:25:26.204788Z
ok,1,9,0.045,2700.0,55.2,0.95,0.005,10.0,48.55,24.12,0.3657561567527941,2023-06-27T15:25:26.214664Z
ok,1,10,0.045,2700.0,55.3,0.95,0.005,10.0,49.05,30.32,0.3117290102902107,2023-06-27T15:25:26.222702Z
ok,1,11,0.04,2700.0,55.2,0.95,0.01,10.0,52.65,32.89,0.2893338866758817,2023-06-27T15:25:26.230562Z
ok,1,12,0.045,2700.0,55.4,0.95,0.005,10.0,46.8,19.28,0.40793218721713354,2023-06-27T15:25:26.238328Z
ok,1,13,0.035,2700.0,55.1,0.95,0.015,10.0,47.4,28.02,0.331771338816653,2023-06-27T15:25:26.245105Z
ok,1,14,0.04,2700.0,55.3,0.95,0.01,10.0,49.5,23.56,0.37063602804618884,2023-06-27T15:25:26.251388Z
ok,1,15,0.045,2725.0,55.1,0.95,0.005,10.0,50.5,19.47,0.4062765165997318,2023-06-27T15:25:26.257735Z
ok,2,0,0.865,2475.0,53.5,0.075,0.06,7.8,50.1,3.2,0.5480542057846081,2023-06-29T09:55:36.408346Z
ok,2,1,0.81,2425.0,58.3,0.09,0.1,13.2,51.15,3.34,0.5468342379612594,2023-06-29T09:55:36.414600Z
ok,2,2,0.14,2425.0,58.2,0.77,0.09,5.3,48.9,18.4,0.415600556392468,2023-06-29T09:55:36.420317Z
ok,2,3,0.165,2525.0,56.1,0.74,0.095,12.2,48.1,14.57,0.44897539041693485,2023-06-29T09:55:36.427292Z
ok,2,4,0.715,2475.0,59.7,0.19,0.095,6.6,50.75,5.43,0.5286218611698402,2023-06-29T09:55:36.433234Z
ok,2,5,0.165,2525.0,52.1,0.74,0.095,10.8,49.05,21.95,0.3846656580146984,2023-06-29T09:55:36.439068Z
ok,2,6,0.13,2450.0,58.1,0.77,0.1,12.0,48.75,7.07,0.5143308095248987,2023-06-29T09:55:36.445394Z
ok,2,7,0.825,2250.0,57.3,0.11,0.065,10.7,50.8,3.18,0.5482284869022294,2023-06-29T09:55:36.450786Z
ok,2,8,0.05,2700.0,55.1,0.95,0.0,9.9,48.05,51.39,0.12812385287623748,2023-06-29T09:55:36.456677Z
ok,2,9,0.05,2700.0,55.1,0.95,0.0,10.1,49.9,30.43,0.3107704641432939,2023-06-29T09:55:36.462150Z
ok,2,10,0.05,2700.0,55.1,0.95,0.0,10.2,46.85,32.45,0.293168071263549,2023-06-29T09:55:36.467416Z
ok,2,11,0.05,2700.0,55.1,0.95,0.0,9.8,49.6,56.51,0.08350788676520084,2023-06-29T09:55:36.473408Z
ok,2,12,0.05,2675.0,55.1,0.95,0.0,10.0,48.2,45.26,0.18154101542714665,2023-06-29T09:55:36.479037Z
ok,2,13,0.05,2675.0,55.1,0.95,0.0,9.9,50.1,34.76,0.2730386021782961,2023-06-29T09:55:36.484635Z
ok,2,14,0.05,2675.0,55.1,0.95,0.0,10.1,49.6,55.37,0.09344191046961133,2023-06-29T09:55:36.490304Z
