status,campaign_name,iteration,batch_number,Cs fraction - Viperlab Pero Processing 2 Targets [prm_8cb392134c7f48258e3629ac01ee6b4b],Fa fraction - Viperlab Pero Processing 2 Targets [prm_7b760a083f414038a1aad4c91dca0401],Ma fraction - Viperlab Pero Processing 2 Targets [prm_025a95d2562d4a6d93736733de5395a5],Spin duration Antisolvent - Viperlab Pero Processing 2 Targets [prm_afbe502412124436bffe6bba93a0ec48],Spin duration High Speed - Viperlab Pero Processing 2 Targets [prm_50ff9473dba84f4181213e96cd7c73a7],Spin speed (RPM) - Viperlab Pero Processing 2 Targets [prm_4add76526734486191ae301dc38da69e],FWHM [obj_9acb4738c3d8462185f1843e3ae47e0f],PLQY [obj_d73a2a0096ce4938bef74af27e57ba75],merit,updated_date
ok,Pero 2 Targets,0,0,0.15,0.4,0.45,17.0,56.0,1000.0,52.38,1.02,0.567050847605323,2023-05-03T12:41:14.581252Z
ok,Pero 2 Targets,0,1,0.3,0.6,0.1,24.0,54.0,3900.0,49.11,0.37,0.5727149839280131,2023-05-03T12:41:14.591554Z
ok,Pero 2 Targets,0,2,0.7,0.15,0.15,26.0,27.0,2200.0,47.44,1.3,0.5646109119586257,2023-05-03T12:41:14.599691Z
ok,Pero 2 Targets,0,3,0.2,0.4,0.4,27.0,25.0,4300.0,53.54,0.6,0.5707107510753688,2023-05-03T12:41:14.606672Z
ok,Pero 2 Targets,0,4,0.85,0.0,0.15,30.0,54.0,3400.0,194.23,0.0,0.6990949363710531,2023-05-03T12:41:14.613394Z
ok,Pero 2 Targets,0,5,0.45,0.05,0.5,15.0,57.0,4900.0,81.66,0.2,0.5741963734277936,2023-05-03T12:41:14.619651Z
ok,Pero 2 Targets,0,6,0.45,0.2,0.35,7.0,57.0,4100.0,48.49,0.75,0.5694036426932096,2023-05-03T12:41:14.626323Z
ok,Pero 2 Targets,0,7,0.0,0.35,0.65,15.0,20.0,3100.0,48.74,12.81,0.4643121287676037,2023-05-03T12:41:14.635514Z
ok,Pero 2 Targets,0,8,0.2,0.15,0.65,28.0,39.0,2400.0,58.35,0.32,0.5731506867220663,2023-05-03T12:41:14.642975Z
ok,Pero 2 Targets,0,9,0.5,0.05,0.45,25.0,21.0,4300.0,60.18,0.24,0.5738478111925511,2023-05-03T12:41:14.651486Z
ok,Pero 2 Targets,0,10,0.5,0.5,0.0,27.0,46.0,1800.0,45.74,0.68,0.5700136266048841,2023-05-03T12:41:14.658909Z
ok,Pero 2 Targets,0,11,0.3,0.45,0.25,27.0,53.0,1400.0,52.21,0.23,0.5739349517513618,2023-05-03T12:41:14.666516Z
ok,Pero 2 Targets,0,12,0.15,0.5,0.35,15.0,46.0,4000.0,52.67,1.15,0.5659180203407849,2023-05-03T12:41:14.673111Z
ok,Pero 2 Targets,0,13,0.15,0.3,0.55,10.0,38.0,3400.0,55.4,0.75,0.5694036426932096,2023-05-03T12:41:14.679362Z
ok,Pero 2 Targets,0,14,0.3,0.5,0.2,30.0,42.0,2500.0,55.11,0.2,0.5741963734277936,2023-05-03T12:41:14.686443Z
ok,Pero 2 Targets,0,15,0.25,0.2,0.55,18.0,45.0,4400.0,61.16,0.25,0.5737606706337405,2023-05-03T12:41:14.695899Z
ok,Pero 2 Targets,1,0,0.0,1.0,0.0,8.0,55.0,2600.0,50.45,14.13,0.45280957500460206,2023-05-04T08:48:57.904272Z
ok,Pero 2 Targets,1,1,0.0,0.0,1.0,21.0,29.0,2700.0,47.65,6.29,0.521127773112127,2023-05-04T08:48:57.910732Z
ok,Pero 2 Targets,1,2,0.15,0.85,0.0,5.0,18.0,4700.0,54.2,7.04,0.5145922312013306,2023-05-04T08:48:57.918028Z
ok,Pero 2 Targets,1,3,0.05,0.95,0.0,21.0,31.0,2700.0,47.42,11.44,0.47625038532465847,2023-05-04T08:48:57.923719Z
ok,Pero 2 Targets,1,4,0.0,0.0,1.0,21.0,33.0,2000.0,47.37,7.01,0.5148536528777624,2023-05-04T08:48:57.929610Z
ok,Pero 2 Targets,1,5,0.0,0.75,0.25,7.0,34.0,5000.0,47.76,8.72,0.4999526173211467,2023-05-04T08:48:57.935856Z
ok,Pero 2 Targets,1,6,0.0,0.9,0.1,7.0,31.0,1400.0,47.65,9.72,0.4912385614400849,2023-05-04T08:48:57.941364Z
ok,Pero 2 Targets,1,7,0.0,1.0,0.0,18.0,34.0,4800.0,55.05,5.96,0.5240034115528773,2023-05-04T08:48:57.946690Z
ok,Pero 2 Targets,1,8,0.0,0.35,0.65,15.0,19.0,3100.0,48.9,3.0,0.5497970169608204,2023-05-04T08:48:57.951749Z
ok,Pero 2 Targets,1,9,0.0,0.35,0.65,15.0,21.0,3100.0,49.29,1.73,0.560863867929769,2023-05-04T08:48:57.958738Z
ok,Pero 2 Targets,1,10,0.0,0.35,0.65,15.0,20.0,3000.0,48.92,10.31,0.48609726847025836,2023-05-04T08:48:57.964297Z
ok,Pero 2 Targets,1,11,0.0,0.35,0.65,15.0,20.0,3200.0,49.61,15.65,0.4395642100653881,2023-05-04T08:48:57.969549Z
ok,Pero 2 Targets,1,12,0.0,0.35,0.65,14.0,20.0,3100.0,48.79,9.79,0.4906285775284105,2023-05-04T08:48:57.974756Z
ok,Pero 2 Targets,1,13,0.0,0.35,0.65,16.0,20.0,3100.0,48.66,11.17,0.4786031804125452,2023-05-04T08:48:57.987069Z
ok,Pero 2 Targets,1,14,0.0,0.35,0.65,15.0,22.0,3100.0,49.87,6.65,0.5179907129949448,2023-05-04T08:48:58.005615Z
ok,Pero 2 Targets,1,15,0.0,0.35,0.65,15.0,18.0,3100.0,49.4,10.6,0.4835701922647504,2023-05-04T08:48:58.020271Z
ok,Pero 2 Targets,2,0,0.95,0.05,0.0,10.0,44.0,1100.0,308.45,0.0,0.873275842349658,2023-05-05T07:02:58.503036Z
ok,Pero 2 Targets,2,1,0.75,0.25,0.0,14.0,40.0,1400.0,152.2,0.0,0.6350008768518729,2023-05-05T07:02:58.510887Z
ok,Pero 2 Targets,2,2,0.9,0.1,0.0,12.0,16.0,4200.0,251.45,0.0,0.7863531349360661,2023-05-05T07:02:58.516526Z
ok,Pero 2 Targets,2,3,0.95,0.05,0.0,10.0,21.0,2000.0,197.45,0.0,0.7040053068600315,2023-05-05T07:02:58.521851Z
ok,Pero 2 Targets,2,4,0.85,0.15,0.0,11.0,44.0,1000.0,303.85,0.0,0.8662610273654032,2023-05-05T07:02:58.527177Z
ok,Pero 2 Targets,2,5,0.8,0.2,0.0,15.0,38.0,1600.0,217.65,0.0,0.7348094943995852,2023-05-05T07:02:58.532565Z
ok,Pero 2 Targets,2,6,1.0,0.0,0.0,14.0,22.0,1500.0,193.05,0.0,0.697295483831614,2023-05-05T07:02:58.538174Z
ok,Pero 2 Targets,2,7,1.0,0.0,0.0,7.0,25.0,1000.0,201.95,0.0,0.7108676258663678,2023-05-05T07:02:58.543679Z
ok,Pero 2 Targets,2,8,0.0,1.0,0.0,10.0,55.0,2700.0,94.35,18.89,0.41133066901074766,2023-05-05T07:02:58.549536Z
ok,Pero 2 Targets,2,9,0.0,1.0,0.0,8.0,44.0,2400.0,100.2,24.65,0.36113770713583143,2023-05-05T07:02:58.555535Z
ok,Pero 2 Targets,2,10,0.0,0.35,0.65,15.0,20.0,3300.0,47.95,6.05,0.5232191465235819,2023-05-05T07:02:58.561214Z
ok,Pero 2 Targets,2,11,0.0,0.35,0.65,15.0,20.0,3400.0,49.15,5.77,0.5256590821702792,2023-05-05T07:02:58.566648Z
ok,Pero 2 Targets,2,12,0.0,0.3,0.7,15.0,20.0,3200.0,48.7,6.61,0.5183392752301872,2023-05-05T07:02:58.572742Z
ok,Pero 2 Targets,2,13,0.0,0.4,0.6,15.0,20.0,3200.0,48.7,6.26,0.5213891947885588,2023-05-05T07:02:58.579602Z
ok,Pero 2 Targets,2,14,0.05,0.3,0.65,15.0,20.0,3200.0,48.35,8.44,0.502392552967844,2023-05-05T07:02:58.586474Z
ok,Pero 2 Targets,2,15,0.05,0.35,0.6,15.0,20.0,3200.0,47.35,7.45,0.5110194682900953,2023-05-05T07:02:58.594166Z
ok,Pero 2 Targets,3,0,0.3,0.0,0.7,9.0,50.0,1700.0,301.5,0.0,0.8626773718843166,2023-05-09T09:49:31.953696Z
ok,Pero 2 Targets,3,1,0.65,0.05,0.3,5.0,42.0,2900.0,218.25,0.0,0.7357244702670968,2023-05-09T09:49:31.959932Z
ok,Pero 2 Targets,3,2,0.7,0.0,0.3,5.0,48.0,2800.0,249.9,0.0,0.783989447278328,2023-05-09T09:49:31.965773Z
ok,Pero 2 Targets,3,3,0.6,0.3,0.1,5.0,51.0,3600.0,260.7,0.0,0.8004590128935349,2023-05-09T09:49:31.971121Z
ok,Pero 2 Targets,3,4,0.6,0.1,0.3,20.0,39.0,3300.0,228.45,0.0,0.751279060014792,2023-05-09T09:49:31.977395Z
ok,Pero 2 Targets,3,5,0.45,0.4,0.15,19.0,31.0,3500.0,45.75,0.0,0.5759391846040061,2023-05-09T09:49:31.982518Z
ok,Pero 2 Targets,3,6,0.15,0.0,0.85,5.0,60.0,3500.0,52.0,0.0,0.5759391846040061,2023-05-09T09:49:31.998647Z
ok,Pero 2 Targets,3,7,0.3,0.0,0.7,5.0,30.0,3400.0,316.4,0.0,0.8853992725941853,2023-05-09T09:49:32.004485Z
ok,Pero 2 Targets,3,8,0.0,1.0,0.0,10.0,55.0,2800.0,100.5,17.21,0.4259702828909316,2023-05-09T09:49:32.009836Z
ok,Pero 2 Targets,3,9,0.0,1.0,0.0,11.0,55.0,2700.0,105.75,16.91,0.4285844996859238,2023-05-09T09:49:32.015239Z
ok,Pero 2 Targets,3,10,0.0,1.0,0.0,10.0,56.0,2700.0,107.25,15.05,0.4447926456538486,2023-05-09T09:49:32.021248Z
ok,Pero 2 Targets,3,11,0.0,1.0,0.0,10.0,54.0,2700.0,108.8,38.62,0.23940282842989077,2023-05-09T09:49:32.027034Z
ok,Pero 2 Targets,3,12,0.0,1.0,0.0,10.0,55.0,2900.0,106.1,21.33,0.3900683727690954,2023-05-09T09:49:32.032677Z
ok,Pero 2 Targets,3,13,0.0,1.0,0.0,11.0,55.0,2800.0,106.3,13.18,0.4610879282060111,2023-05-09T09:49:32.040429Z
ok,Pero 2 Targets,3,14,0.0,1.0,0.0,12.0,55.0,2700.0,83.15,8.08,0.5055296130850263,2023-05-09T09:49:32.046098Z
ok,Pero 2 Targets,3,15,0.0,0.95,0.05,10.0,55.0,2700.0,57.15,40.92,0.21936001795095506,2023-05-09T09:49:32.055131Z
ok,Pero 2 Targets,4,0,0.0,0.5,0.5,22.0,40.0,4900.0,47.3,5.25,0.5301903912284313,2023-05-09T14:03:16.554292Z
ok,Pero 2 Targets,4,1,0.05,0.55,0.4,23.0,60.0,1600.0,46.25,4.79,0.5341988569337198,2023-05-09T14:03:16.560382Z
ok,Pero 2 Targets,4,2,0.0,0.6,0.4,25.0,50.0,2300.0,51.05,10.83,0.4815659594121062,2023-05-09T14:03:16.565667Z
ok,Pero 2 Targets,4,3,0.0,0.15,0.85,29.0,50.0,1100.0,48.9,4.91,0.5331531702279924,2023-05-09T14:03:16.570843Z
ok,Pero 2 Targets,4,4,0.05,0.65,0.3,21.0,24.0,1600.0,48.65,7.22,0.5130237011427395,2023-05-09T14:03:16.577147Z
ok,Pero 2 Targets,4,5,0.4,0.3,0.3,12.0,15.0,1800.0,52.3,0.0,0.5759391846040061,2023-05-09T14:03:16.582336Z
ok,Pero 2 Targets,4,6,0.05,0.65,0.3,25.0,18.0,1800.0,48.75,7.04,0.5145922312013306,2023-05-09T14:03:16.587899Z
ok,Pero 2 Targets,4,7,0.35,0.65,0.0,17.0,59.0,3000.0,52.0,0.0,0.5759391846040061,2023-05-09T14:03:16.593322Z
ok,Pero 2 Targets,4,8,0.0,0.9,0.1,10.0,55.0,2700.0,93.9,16.74,0.4300658891550307,2023-05-09T14:03:16.598489Z
ok,Pero 2 Targets,4,9,0.05,0.9,0.05,10.0,55.0,2700.0,50.8,8.85,0.49881979005660865,2023-05-09T14:03:16.603685Z
ok,Pero 2 Targets,4,10,0.0,0.85,0.15,10.0,55.0,2700.0,104.85,7.81,0.5078824081738457,2023-05-09T14:03:16.609289Z
ok,Pero 2 Targets,4,11,0.1,0.85,0.05,10.0,55.0,2700.0,52.45,4.91,0.5331531702279924,2023-05-09T14:03:16.615182Z
ok,Pero 2 Targets,4,12,0.05,0.85,0.1,10.0,55.0,2700.0,52.45,11.68,0.47415901191320364,2023-05-09T14:03:16.620428Z
ok,Pero 2 Targets,4,13,0.1,0.8,0.1,10.0,55.0,2700.0,48.31,3.5,0.5454399890202896,2023-05-09T14:03:16.625834Z
ok,Pero 2 Targets,4,14,0.15,0.8,0.05,10.0,55.0,2700.0,53.61,0.0,0.5759391846040061,2023-05-09T14:03:16.631545Z
