Wavelength (nm),AgBrabec_n,AgBrabec_k
350,0.1145,1.319
351,0.1111,1.3426
352,0.1077,1.3662
353,0.1043,1.3898
354,0.1009,1.4134
355,0.0984,1.4323
356,0.0962,1.4497
357,0.094,1.4671
358,0.0918,1.4845
359,0.0896,1.5019
360,0.0874,1.5194
361,0.0852,1.5368
362,0.083,1.5542
363,0.0808,1.5716
364,0.0786,1.589
365,0.0764,1.6064
366,0.0742,1.6238
367,0.072,1.6412
368,0.0699,1.6584
369,0.0684,1.6737
370,0.0669,1.6889
371,0.0654,1.7041
372,0.0639,1.7194
373,0.0625,1.7346
374,0.061,1.7498
375,0.0595,1.7651
376,0.058,1.7803
377,0.0565,1.7955
378,0.0551,1.8108
379,0.0536,1.826
380,0.0521,1.8412
381,0.0506,1.8565
382,0.0499,1.8706
383,0.0499,1.8835
384,0.0499,1.8965
385,0.0499,1.9094
386,0.0499,1.9224
387,0.0499,1.9353
388,0.0499,1.9483
389,0.0499,1.9612
390,0.05,1.9742
391,0.05,1.9871
392,0.05,2.0001
393,0.05,2.013
394,0.05,2.026
395,0.05,2.0389
396,0.05,2.0519
397,0.05,2.0649
398,0.05,2.0778
399,0.05,2.0907
400,0.05,2.1036
401,0.05,2.1165
402,0.05,2.1294
403,0.05,2.1423
404,0.05,2.1552
405,0.0501,2.1681
406,0.0501,2.181
407,0.0501,2.1939
408,0.0501,2.2068
409,0.0501,2.2197
410,0.0501,2.2326
411,0.0501,2.2455
412,0.0501,2.2584
413,0.0501,2.2713
414,0.0497,2.2827
415,0.0491,2.2936
416,0.0485,2.3045
417,0.0479,2.3153
418,0.0473,2.3262
419,0.0468,2.3371
420,0.0462,2.3479
421,0.0456,2.3588
422,0.045,2.3696
423,0.0444,2.3805
424,0.0438,2.3914
425,0.0432,2.4022
426,0.0427,2.4131
427,0.0421,2.4239
428,0.0415,2.4348
429,0.0409,2.4457
430,0.0403,2.4565
431,0.04,2.4668
432,0.04,2.4763
433,0.04,2.4859
434,0.04,2.4955
435,0.04,2.5051
436,0.04,2.5147
437,0.04,2.5242
438,0.04,2.5338
439,0.04,2.5434
440,0.04,2.553
441,0.04,2.5626
442,0.0401,2.5721
443,0.0401,2.5817
444,0.0401,2.5913
445,0.0401,2.6009
446,0.0401,2.6105
447,0.0401,2.62
448,0.0401,2.6296
449,0.0401,2.6392
450,0.0401,2.6488
451,0.0402,2.6585
452,0.0406,2.6688
453,0.0411,2.6791
454,0.0416,2.6894
455,0.0421,2.6997
456,0.0426,2.71
457,0.043,2.7203
458,0.0435,2.7306
459,0.044,2.7409
460,0.0445,2.7512
461,0.045,2.7616
462,0.0455,2.7719
