Wavelength (nm),Au_n,Au_k
300,1.80004,1.9193
301,1.80304,1.91897
302,1.80603,1.91864
303,1.80903,1.91831
304,1.81203,1.91798
305,1.81502,1.91765
306,1.81802,1.91732
307,1.82101,1.91699
308,1.82401,1.91666
309,1.827,1.91633
310,1.83,1.916
311,1.8306,1.91415
312,1.8312,1.91231
313,1.8318,1.91046
314,1.8324,1.90861
315,1.83301,1.90677
316,1.83361,1.90492
317,1.83421,1.90307
318,1.83481,1.90122
319,1.83541,1.89938
320,1.83601,1.89753
321,1.83372,1.89482
322,1.83143,1.89211
323,1.82914,1.88941
324,1.82685,1.8867
325,1.82456,1.88399
326,1.82227,1.88128
327,1.81998,1.87857
328,1.81769,1.87587
329,1.8154,1.87316
330,1.81311,1.87045
331,1.80992,1.86867
332,1.80673,1.86689
333,1.80354,1.8651
334,1.80035,1.86332
335,1.79716,1.86154
336,1.79396,1.85976
337,1.79077,1.85797
338,1.78758,1.85619
339,1.78439,1.85441
340,1.7812,1.85263
341,1.7782,1.85207
342,1.77519,1.85152
343,1.77219,1.85097
344,1.76918,1.85042
345,1.76618,1.84987
346,1.76318,1.84932
347,1.76017,1.84877
348,1.75717,1.84822
349,1.75416,1.84767
350,1.75116,1.84712
351,1.74872,1.84797
352,1.74628,1.84883
353,1.74383,1.84969
354,1.74139,1.85055
355,1.73895,1.85141
356,1.7365,1.85226
357,1.73406,1.85312
358,1.73162,1.85398
359,1.72917,1.85484
360,1.72673,1.8557
361,1.72468,1.85845
362,1.72263,1.8612
363,1.72059,1.86395
364,1.71854,1.8667
365,1.71649,1.86945
366,1.71444,1.8722
367,1.71239,1.87495
368,1.71035,1.8777
369,1.7083,1.88045
370,1.70625,1.8832
371,1.70442,1.88657
372,1.70258,1.88994
373,1.70075,1.89331
374,1.69892,1.89668
375,1.69709,1.90005
376,1.69526,1.90342
377,1.69342,1.90679
378,1.69159,1.91017
379,1.68976,1.91354
380,1.68793,1.91691
381,1.68621,1.91922
382,1.6845,1.92152
383,1.68278,1.92383
384,1.68107,1.92614
385,1.67935,1.92845
386,1.67764,1.93076
387,1.67593,1.93307
388,1.67421,1.93537
389,1.6725,1.93768
390,1.67078,1.93999
391,1.6695,1.94159
392,1.66823,1.94319
393,1.66695,1.94479
394,1.66567,1.94639
395,1.66439,1.948
396,1.66311,1.9496
397,1.66183,1.9512
398,1.66056,1.9528
399,1.65928,1.9544
400,1.658,1.956
401,1.65635,1.95615
402,1.65469,1.9563
403,1.65304,1.95645
404,1.65139,1.9566
405,1.64973,1.95674
406,1.64808,1.95689
407,1.64643,1.95704
408,1.64477,1.95719
409,1.64312,1.95734
410,1.64147,1.95749
411,1.63998,1.95669
412,1.63849,1.9559
413,1.637,1.9551
414,1.63552,1.9543
415,1.63403,1.95351
416,1.63254,1.95271
417,1.63106,1.95192
418,1.62957,1.95112
419,1.62808,1.95032
420,1.62659,1.94953
421,1.62466,1.94799
422,1.62273,1.94645
423,1.6208,1.94491
424,1.61887,1.94338
425,1.61694,1.94184
426,1.61501,1.9403
427,1.61308,1.93876
428,1.61115,1.93723
429,1.60922,1.93569
430,1.60729,1.93415
431,1.60376,1.9318
432,1.60023,1.92945
433,1.5967,1.92709
