Wavelength (nm),C60MArtin_n,C60Martin_k
300,2.23691,0.71264
301,2.22873,0.70124
302,2.22054,0.68985
303,2.21236,0.67845
304,2.20417,0.66706
305,2.19599,0.65566
306,2.18781,0.64426
307,2.17962,0.63287
308,2.17144,0.62147
309,2.16325,0.61008
310,2.15507,0.59868
311,2.14178,0.59685
312,2.12849,0.59501
313,2.1152,0.59318
314,2.10191,0.59135
315,2.08863,0.58952
316,2.07534,0.58768
317,2.06205,0.58585
318,2.04876,0.58402
319,2.03547,0.58218
320,2.02218,0.58035
321,2.01426,0.59391
322,2.00634,0.60746
323,1.99842,0.62102
324,1.9905,0.63457
325,1.98258,0.64813
326,1.97466,0.66169
327,1.96674,0.67524
328,1.95882,0.6888
329,1.9509,0.70235
330,1.94298,0.71591
331,1.95549,0.73231
332,1.96799,0.7487
333,1.9805,0.7651
334,1.993,0.7815
335,2.00551,0.7979
336,2.01802,0.81429
337,2.03052,0.83069
338,2.04303,0.84709
339,2.05553,0.86348
340,2.06804,0.87988
341,2.09163,0.87902
342,2.11522,0.87816
343,2.1388,0.87731
344,2.16239,0.87645
345,2.18598,0.87559
346,2.20957,0.87473
347,2.23316,0.87387
348,2.25674,0.87302
349,2.28033,0.87216
350,2.30392,0.8713
351,2.31988,0.85468
352,2.33584,0.83805
353,2.3518,0.82143
354,2.36776,0.8048
355,2.38372,0.78818
356,2.39968,0.77156
357,2.41564,0.75493
358,2.4316,0.73831
359,2.44756,0.72168
360,2.46352,0.70506
361,2.46579,0.68531
362,2.46805,0.66556
363,2.47032,0.64582
364,2.47258,0.62607
365,2.47485,0.60632
366,2.47712,0.58657
367,2.47938,0.56682
368,2.48165,0.54708
369,2.48391,0.52733
370,2.48618,0.50758
371,2.47945,0.49372
372,2.47272,0.47985
373,2.46599,0.46599
374,2.45926,0.45212
375,2.45254,0.43826
376,2.44581,0.42439
377,2.43908,0.41053
378,2.43235,0.39666
379,2.42562,0.3828
380,2.41889,0.36893
381,2.41011,0.36256
382,2.40133,0.35619
383,2.39254,0.34982
384,2.38376,0.34345
385,2.37498,0.33708
386,2.3662,0.3307
387,2.35742,0.32433
388,2.34863,0.31796
389,2.33985,0.31159
390,2.33107,0.30522
391,2.3242,0.30378
392,2.31733,0.30233
393,2.31046,0.30089
394,2.30359,0.29944
395,2.29673,0.298
396,2.28986,0.29655
397,2.28299,0.29511
398,2.27612,0.29366
399,2.26925,0.29222
400,2.26238,0.29077
401,2.25821,0.29146
402,2.25403,0.29214
403,2.24986,0.29283
404,2.24569,0.29351
405,2.24152,0.2942
406,2.23734,0.29488
407,2.23317,0.29557
408,2.229,0.29625
409,2.22482,0.29694
410,2.22065,0.29762
411,2.21864,0.29886
412,2.21662,0.30011
413,2.21461,0.30135
414,2.21259,0.3026
415,2.21058,0.30384
416,2.20856,0.30508
417,2.20655,0.30633
418,2.20453,0.30757
419,2.20252,0.30882
420,2.2005,0.31006
421,2.20001,0.31121
422,2.19952,0.31237
423,2.19903,0.31352
424,2.19854,0.31468
425,2.19805,0.31583
426,2.19755,0.31698
427,2.19706,0.31814
428,2.19657,0.31929
429,2.19608,0.32045
430,2.19559,0.3216
431,2.1962,0.32239
432,2.19681,0.32318
433,2.19742,0.32397
434,2.19803,0.32476
435,2.19864,0.32556
436,2.19925,0.32635
437,2.19986,0.32714
438,2.20047,0.32793
439,2.20108,0.32872
440,2.20169,0.32951
441,2.20311,0.32977
442,2.20454,0.33002
443,2.20596,0.33028
444,2.20739,0.33053
445,2.20881,0.33079
446,2.21023,0.33105
447,2.21166,0.3313
448,2.21308,0.33156
449,2.21451,0.33181
450,2.21593,0.33207
451,2.21793,0.33164
452,2.21993,0.33121
453,2.22193,0.33078
454,2.22393,0.33035
455,2.22593,0.32992
