Wavelength (nm),C60Tejas_n,C60Tejas_k
300,2.22309,0.6958
301,2.21799,0.70523
302,2.21144,0.70941
303,2.20358,0.7192
304,2.19438,0.72079
305,2.18422,0.73737
306,2.17306,0.72379
307,2.16107,0.72442
308,2.14846,0.72632
309,2.13546,0.71979
310,2.1222,0.72246
311,2.10879,0.70802
312,2.09554,0.71053
313,2.08244,0.7077
314,2.06951,0.70385
315,2.05707,0.70338
316,2.04514,0.6982
317,2.03397,0.69861
318,2.02358,0.70227
319,2.01385,0.70295
320,2.00528,0.70645
321,1.99755,0.70754
322,1.99107,0.71931
323,1.9858,0.72486
324,1.98167,0.73661
325,1.97895,0.74621
326,1.97757,0.76291
327,1.97753,0.77527
328,1.97903,0.79117
329,1.97945,0.80939
330,1.98091,0.83042
331,1.98416,0.84623
332,1.98843,0.86881
333,1.99396,0.89207
334,2.00076,0.90932
335,2.00907,0.92771
336,2.0186,0.94157
337,2.02979,0.95772
338,2.04281,0.97791
339,2.05755,0.9828
340,2.07411,0.99804
341,2.09222,1.00666
342,2.11234,1.02021
343,2.134,1.02923
344,2.15681,1.03665
345,2.1808,1.03138
346,2.20544,1.04299
347,2.23012,1.04467
348,2.25457,1.04175
349,2.27847,1.03777
350,2.30122,1.04061
351,2.32308,1.03136
352,2.34327,1.03023
353,2.3619,1.01918
354,2.37844,1.00064
355,2.39335,0.97535
356,2.40628,0.93841
357,2.41747,0.93378
358,2.42695,0.90974
359,2.43453,0.89399
360,2.44048,0.87053
361,2.44531,0.84932
362,2.44857,0.82891
363,2.45063,0.80444
364,2.45171,0.78703
365,2.45157,0.76932
366,2.45054,0.74794
367,2.4488,0.73154
368,2.44614,0.71215
369,2.44301,0.69297
370,2.43929,0.67599
371,2.4351,0.65448
372,2.43076,0.63769
373,2.42607,0.62005
374,2.42138,0.60032
375,2.41654,0.58418
376,2.41166,0.56809
377,2.4066,0.55108
378,2.40156,0.53819
379,2.39649,0.52426
380,2.39138,0.5092
381,2.38626,0.49789
382,2.38102,0.48638
383,2.37564,0.47698
384,2.3703,0.46964
385,2.36475,0.46154
386,2.35921,0.45347
387,2.35366,0.44677
388,2.3479,0.44138
389,2.3422,0.43545
390,2.33649,0.43085
391,2.33073,0.42593
392,2.3251,0.42091
393,2.31958,0.41853
394,2.31403,0.41258
395,2.30879,0.40827
