Wavelength (nm),Ca_n,Ca_k
300,3.46,0.848
301,3.43,0.85333
302,3.4,0.85867
303,3.37,0.864
304,3.34,0.86933
305,3.31,0.87467
306,3.28,0.88
307,3.25,0.88533
308,3.22,0.89067
309,3.19,0.896
310,3.16,0.90133
311,3.13,0.90667
312,3.1,0.912
313,3.07,0.91733
314,3.04,0.92267
315,3.01,0.928
316,2.98,0.93333
317,2.95,0.93867
318,2.92,0.944
319,2.89,0.94933
320,2.86,0.95467
321,2.83,0.96
322,2.8,0.96533
323,2.77,0.97067
324,2.74,0.976
325,2.71,0.98133
326,2.68,0.98667
327,2.65,0.992
328,2.62,0.99733
329,2.59,1.0027
330,2.56,1.008
331,2.53,1.0133
332,2.5,1.0187
333,2.47,1.024
334,2.44,1.0293
335,2.41,1.0347
336,2.38,1.04
337,2.35,1.0453
338,2.32,1.0507
339,2.29,1.056
340,2.26,1.0613
341,2.23,1.0667
342,2.2,1.072
343,2.17,1.0773
344,2.14,1.0827
345,2.11,1.088
346,2.08,1.0933
347,2.05,1.0987
348,2.02,1.104
349,1.99,1.1093
350,1.96,1.1147
351,1.93,1.12
352,1.9,1.1253
353,1.87,1.1307
354,1.84,1.136
355,1.81,1.1413
356,1.78,1.1467
357,1.76,1.152
358,1.73,1.1573
359,1.72,1.1627
360,1.71,1.168
361,1.68,1.1733
362,1.65,1.1787
363,1.63,1.184
364,1.61,1.1893
365,1.59,1.1947
366,1.57,1.2
367,1.55,1.2053
368,1.52,1.2107
369,1.51,1.216
370,1.49,1.2213
371,1.48,1.2267
372,1.47,1.232
373,1.45,1.2373
374,1.43,1.2427
375,1.42,1.248
376,1.4,1.2533
377,1.39,1.2587
378,1.37,1.264
379,1.36,1.2693
380,1.34,1.2747
381,1.33,1.28
382,1.32,1.2858
383,1.31,1.2917
384,1.3,1.2975
385,1.29,1.3033
386,1.28,1.3092
387,1.27,1.315
388,1.26,1.3208
389,1.25,1.3267
390,1.24,1.3325
391,1.23,1.3383
392,1.22,1.3442
393,1.21,1.35
394,1.205,1.3553
395,1.2,1.3607
396,1.19,1.366
397,1.19,1.3713
398,1.18,1.3767
399,1.17,1.382
400,1.16,1.3873
401,1.16,1.3927
402,1.15,1.398
403,1.15,1.4033
404,1.14,1.4087
405,1.14,1.414
406,1.14,1.4193
407,1.13,1.4247
408,1.13,1.43
409,1.12,1.435
410,1.12,1.44
411,1.11,1.445
412,1.11,1.45
413,1.11,1.455
414,1.11,1.46
415,1.1,1.465
416,1.1,1.47
417,1.1,1.475
418,1.1,1.48
419,1.1,1.485
420,1.1,1.49
421,1.1,1.495
422,1.09,1.5
423,1.09,1.5062
424,1.09,1.5123
425,1.09,1.5185
426,1.09,1.5246
427,1.09,1.5308
428,1.09,1.5369
429,1.09,1.5431
430,1.09,1.5492
431,1.09,1.5554
432,1.09,1.5615
433,1.09,1.5677
434,1.09,1.5738
435,1.09,1.58
436,1.1,1.5847
437,1.1,1.5893
438,1.1,1.594
439,1.1,1.5987
440,1.1,1.6033
441,1.1,1.608
442,1.1,1.6127
443,1.1,1.6173
444,1.11,1.622
445,1.11,1.6267
446,1.11,1.6313
447,1.11,1.636
448,1.12,1.6407
449,1.12,1.6453
450,1.12,1.65
451,1.125,1.655
452,1.13,1.66
453,1.13,1.665
454,1.13,1.67
455,1.14,1.675
456,1.14,1.68
457,1.15,1.685
458,1.15,1.69
459,1.15,1.695
460,1.16,1.7
461,1.16,1.705
462,1.17,1.71
463,1.17,1.715
464,1.17,1.72
465,1.18,1.725
466,1.18,1.73
467,1.19,1.735
468,1.19,1.74
469,1.19,1.745
470,1.2,1.75
471,1.2,1.755
472,1.21,1.76
473,1.22,1.765
474,1.22,1.77
475,1.22,1.775
476,1.23,1.78
477,1.23,1.785
478,1.24,1.79
479,1.24,1.795
480,1.25,1.8
481,1.26,1.805
482,1.26,1.81
483,1.27,1.815
484,1.27,1.82
485,1.2733,1.825
486,1.28,1.83
487,1.29,1.835
488,1.29,1.84
489,1.3,1.845
490,1.3,1.85
491,1.31,1.855
492,1.32,1.86
493,1.32,1.8647
494,1.33,1.8693
495,1.34,1.874
496,1.34,1.8787
497,1.3433,1.8833
498,1.35,1.888
499,1.36,1.8927
500,1.37,1.8973
501,1.37,1.902
502,1.38,1.9067
503,1.38,1.9113
504,1.39,1.916
505,1.4,1.9207
506,1.41,1.9253
507,1.42,1.93
508,1.42,1.9343
509,1.42,1.9386
510,1.43,1.9429
511,1.44,1.9471
512,1.44,1.9514
513,1.45,1.9557
514,1.46,1.96
515,1.46,1.9643
516,1.47,1.9686
517,1.48,1.9729
518,1.49,1.9771
519,1.5,1.9814
520,1.5,1.9857
521,1.5,1.99
522,1.51,1.9947
523,1.52,1.9993
524,1.53,2.004
525,1.53,2.0087
526,1.54,2.0133
527,1.55,2.018
528,1.56,2.0227
529,1.56,2.0273
530,1.57,2.032
531,1.575,2.0367
532,1.58,2.0413
533,1.59,2.046
534,1.6,2.0507
535,1.6,2.0553
536,1.61,2.06
537,1.62,2.0643
538,1.63,2.0686
539,1.64,2.0729
540,1.65,2.0771
541,1.65,2.0814
542,1.66,2.0857
543,1.665,2.09
544,1.67,2.0943
545,1.68,2.0986
546,1.68,2.1029
547,1.69,2.1071
548,1.7,2.1114
549,1.71,2.1157
550,1.72,2.12
551,1.73,2.1247
552,1.73,2.1293
553,1.74,2.134
554,1.745,2.1387
555,1.75,2.1433
556,1.76,2.148
557,1.77,2.1527
558,1.77,2.1573
559,1.78,2.162
560,1.79,2.1667
561,1.8,2.1713
562,1.81,2.176
563,1.82,2.1807
564,1.82,2.1853
565,1.84,2.19
566,1.84,2.1947
567,1.84,2.1993
568,1.85,2.204
569,1.86,2.2087
570,1.87,2.2133
571,1.88,2.218
572,1.88,2.2227
573,1.89,2.2273
574,1.9,2.232
575,1.91,2.2367
576,1.92,2.2413
577,1.9267,2.246
578,1.93,2.2507
579,1.93,2.2553
580,1.94,2.26
581,1.95,2.2636
582,1.96,2.2671
583,1.97,2.2707
584,1.97,2.2743
585,1.98,2.2779
586,1.99,2.2814
587,2,2.285
588,2.01,2.2886
589,2.015,2.2921
590,2.02,2.2957
591,2.03,2.2993
592,2.04,2.3029
593,2.04,2.3064
594,2.05,2.31
595,2.06,2.3143
596,2.07,2.3186
597,2.08,2.3229
598,2.08,2.3271
599,2.09,2.3314
600,2.095,2.3357
601,2.1,2.34
602,2.11,2.3443
603,2.12,2.3486
604,2.13,2.3529
605,2.14,2.3571
606,2.14,2.3614
607,2.15,2.3657
608,2.16,2.37
