Wavelength (nm),CuSCN_n,CuSCN_k
300,2.18492,0.03102
301,2.1817,0.03068
302,2.17853,0.03035
303,2.17539,0.03002
304,2.17228,0.0297
305,2.16923,0.02938
306,2.16619,0.02907
307,2.1632,0.02877
308,2.16024,0.02847
309,2.15731,0.02817
310,2.15443,0.02788
311,2.15157,0.02759
312,2.14874,0.02731
313,2.14595,0.02704
314,2.14318,0.02676
315,2.14045,0.0265
316,2.13775,0.02623
317,2.13507,0.02597
318,2.13244,0.02572
319,2.12983,0.02547
320,2.12724,0.02522
321,2.12469,0.02498
322,2.12216,0.02474
323,2.11967,0.02451
324,2.1172,0.02427
325,2.11474,0.02405
326,2.11233,0.02382
327,2.10994,0.0236
328,2.10757,0.02338
329,2.10523,0.02317
330,2.10291,0.02296
331,2.10062,0.02275
332,2.09836,0.02254
333,2.09611,0.02234
334,2.09389,0.02214
335,2.09169,0.02195
336,2.08951,0.02175
337,2.08737,0.02157
338,2.08523,0.02138
339,2.08313,0.02119
340,2.08104,0.02101
341,2.07897,0.02083
342,2.07693,0.02066
343,2.07491,0.02048
344,2.0729,0.02031
345,2.07093,0.02014
346,2.06896,0.01997
347,2.06702,0.01981
348,2.0651,0.01965
349,2.06319,0.01949
350,2.06131,0.01933
351,2.05944,0.01917
352,2.05759,0.01902
353,2.05576,0.01887
354,2.05395,0.01872
355,2.05215,0.01857
356,2.05037,0.01842
357,2.04861,0.01828
358,2.04687,0.01814
359,2.04514,0.018
360,2.04343,0.01786
361,2.04174,0.01773
362,2.04006,0.01759
363,2.0384,0.01746
364,2.03675,0.01733
365,2.03512,0.0172
366,2.03351,0.01707
367,2.03191,0.01695
368,2.03032,0.01682
369,2.02875,0.0167
370,2.0272,0.01658
371,2.02565,0.01646
372,2.02413,0.01634
373,2.02261,0.01622
374,2.02111,0.01611
375,2.01963,0.016
376,2.01815,0.01588
377,2.0167,0.01577
378,2.01525,0.01566
379,2.01382,0.01555
380,2.0124,0.01545
381,2.01099,0.01534
382,2.00959,0.01524
383,2.00821,0.01513
384,2.00684,0.01503
385,2.00548,0.01493
386,2.00414,0.01483
387,2.0028,0.01473
388,2.00148,0.01464
389,2.00017,0.01454
390,1.99887,0.01445
391,1.99758,0.01435
392,1.9963,0.01426
393,1.99504,0.01417
394,1.99378,0.01408
395,1.99254,0.01399
396,1.99131,0.0139
397,1.99008,0.01381
398,1.98887,0.01372
399,1.98767,0.01364
400,1.98647,0.01355
401,1.98529,0.01347
402,1.98412,0.01339
403,1.98295,0.01331
404,1.9818,0.01322
405,1.98066,0.01314
406,1.97952,0.01307
407,1.9784,0.01299
408,1.97728,0.01291
409,1.97618,0.01283
410,1.97508,0.01276
411,1.97399,0.01268
412,1.97291,0.01261
413,1.97184,0.01253
414,1.97078,0.01246
415,1.96973,0.01239
416,1.96868,0.01232
417,1.96765,0.01225
418,1.96662,0.01218
419,1.9656,0.01211
420,1.96459,0.01204
421,1.96359,0.01197
422,1.96259,0.01191
423,1.9616,0.01184
424,1.96062,0.01178
425,1.95965,0.01171
426,1.95869,0.01165
427,1.95773,0.01158
428,1.95678,0.01152
429,1.95584,0.01146
430,1.9549,0.0114
431,1.95397,0.01134
432,1.95305,0.01128
433,1.95214,0.01122
434,1.95123,0.01116
435,1.95033,0.0111
436,1.94944,0.01104
437,1.94855,0.01098
438,1.94767,0.01093
439,1.9468,0.01087
440,1.94594,0.01081
441,1.94508,0.01076
442,1.94422,0.0107
443,1.94338,0.01065
444,1.94254,0.0106
445,1.9417,0.01054
446,1.94087,0.01049
447,1.94005,0.01044
448,1.93924,0.01039
449,1.93843,0.01034
450,1.93763,0.01028
451,1.93683,0.01023
452,1.93604,0.01018
453,1.93525,0.01013
454,1.93447,0.01009
455,1.93369,0.01004
456,1.93293,0.00999
457,1.93216,0.00994
458,1.9314,0.0099
459,1.93065,0.00985
460,1.9299,0.0098
461,1.92916,0.00976
462,1.92842,0.00971
463,1.92769,0.00967
464,1.92697,0.00962
465,1.92625,0.00958
466,1.92553,0.00953
467,1.92482,0.00949
468,1.92411,0.00945
469,1.92341,0.0094
470,1.92272,0.00936
471,1.92203,0.00932
472,1.92134,0.00928
473,1.92066,0.00924
474,1.91998,0.0092
475,1.91931,0.00916
476,1.91864,0.00912
477,1.91798,0.00908
478,1.91732,0.00904
479,1.91667,0.009
480,1.91602,0.00896
481,1.91537,0.00892
482,1.91473,0.00888
483,1.9141,0.00884
484,1.91346,0.00881
485,1.91284,0.00877
486,1.91221,0.00873
487,1.91159,0.0087
488,1.91098,0.00866
489,1.91037,0.00862
490,1.90976,0.00859
491,1.90916,0.00855
492,1.90856,0.00852
493,1.90797,0.00848
494,1.90737,0.00845
495,1.90679,0.00841
496,1.9062,0.00838
497,1.90562,0.00835
498,1.90505,0.00831
499,1.90448,0.00828
500,1.90391,0.00825
501,1.90334,0.00821
502,1.90278,0.00818
503,1.90223,0.00815
504,1.90167,0.00812
505,1.90112,0.00809
506,1.90058,0.00805
507,1.90003,0.00802
508,1.89949,0.00799
509,1.89896,0.00796
510,1.89843,0.00793
511,1.8979,0.0079
512,1.89737,0.00787
513,1.89685,0.00784
514,1.89633,0.00781
515,1.89581,0.00778
516,1.8953,0.00775
517,1.89479,0.00772
518,1.89428,0.0077
519,1.89378,0.00767
520,1.89328,0.00764
521,1.89278,0.00761
522,1.89229,0.00758
523,1.8918,0.00756
524,1.89131,0.00753
525,1.89083,0.0075
526,1.89035,0.00748
527,1.88987,0.00745
528,1.88939,0.00742
529,1.88892,0.0074
530,1.88845,0.00737
531,1.88798,0.00734
532,1.88752,0.00732
533,1.88706,0.00729
534,1.8866,0.00727
535,1.88614,0.00724
536,1.88569,0.00722
537,1.88524,0.00719
538,1.88479,0.00717
539,1.88435,0.00714
540,1.8839,0.00712
541,1.88346,0.00709
542,1.88303,0.00707
543,1.88259,0.00705
544,1.88216,0.00702
545,1.88173,0.007
546,1.8813,0.00698
547,1.88088,0.00695
548,1.88046,0.00693
549,1.88004,0.00691
550,1.87962,0.00688
551,1.87921,0.00686
552,1.87879,0.00684
553,1.87838,0.00682
554,1.87798,0.00679
555,1.87757,0.00677
556,1.87717,0.00675
557,1.87677,0.00673
558,1.87637,0.00671
559,1.87597,0.00669
560,1.87558,0.00667
561,1.87519,0.00664
562,1.8748,0.00662
563,1.87441,0.0066
564,1.87403,0.00658
565,1.87365,0.00656
566,1.87327,0.00654
567,1.87289,0.00652
568,1.87251,0.0065
569,1.87214,0.00648
570,1.87177,0.00646
571,1.8714,0.00644
572,1.87103,0.00642
573,1.87067,0.0064
574,1.8703,0.00638
575,1.86994,0.00636
576,1.86958,0.00634
577,1.86922,0.00633
578,1.86887,0.00631
579,1.86852,0.00629
580,1.86816,0.00627
581,1.86781,0.00625
582,1.86747,0.00623
583,1.86712,0.00621
584,1.86678,0.0062
585,1.86643,0.00618
586,1.86609,0.00616
587,1.86576,0.00614
