Wavelength (nm),DPO_n,DPO_k
300,1.79768,0.1937
301,1.79572,0.19028
302,1.79378,0.18699
303,1.79186,0.18375
304,1.78996,0.18059
305,1.78808,0.17752
306,1.78621,0.1745
307,1.78437,0.17157
308,1.78254,0.1687
309,1.78073,0.16588
310,1.77894,0.16316
311,1.77716,0.16048
312,1.7754,0.15785
313,1.77367,0.15531
314,1.77194,0.1528
315,1.77023,0.15035
316,1.76854,0.14797
317,1.76686,0.14561
318,1.7652,0.14334
319,1.76356,0.1411
320,1.76193,0.13891
321,1.76032,0.13678
322,1.75871,0.13467
323,1.75713,0.13263
324,1.75556,0.13062
325,1.754,0.12865
326,1.75247,0.12673
327,1.75094,0.12485
328,1.74942,0.123
329,1.74793,0.1212
330,1.74644,0.11943
331,1.74497,0.1177
332,1.74351,0.11601
333,1.74206,0.11434
334,1.74063,0.11271
335,1.73921,0.11112
336,1.7378,0.10955
337,1.73641,0.10802
338,1.73503,0.10652
339,1.73366,0.10504
340,1.7323,0.1036
341,1.73095,0.10218
342,1.72962,0.1008
343,1.7283,0.09944
344,1.72698,0.09809
345,1.72568,0.09679
346,1.72439,0.0955
347,1.72312,0.09424
348,1.72185,0.09301
349,1.72059,0.09179
350,1.71935,0.0906
351,1.71812,0.08943
352,1.71689,0.08828
353,1.71568,0.08716
354,1.71448,0.08605
355,1.71328,0.08496
356,1.7121,0.0839
357,1.71093,0.08285
358,1.70977,0.08183
359,1.70861,0.08082
360,1.70747,0.07982
361,1.70633,0.07885
362,1.70521,0.07789
363,1.70409,0.07695
364,1.70299,0.07603
365,1.70189,0.07512
366,1.7008,0.07423
367,1.69972,0.07335
368,1.69865,0.07249
369,1.69759,0.07165
370,1.69653,0.07081
371,1.69549,0.06999
372,1.69445,0.06919
373,1.69342,0.0684
374,1.6924,0.06762
375,1.69139,0.06686
376,1.69039,0.0661
377,1.68939,0.06536
378,1.68841,0.06464
379,1.68742,0.06392
380,1.68645,0.06322
381,1.68549,0.06252
382,1.68453,0.06184
383,1.68358,0.06117
384,1.68264,0.06051
385,1.6817,0.05986
386,1.68078,0.05922
387,1.67986,0.05859
388,1.67894,0.05797
389,1.67804,0.05736
390,1.67714,0.05676
391,1.67625,0.05617
392,1.67536,0.05559
393,1.67448,0.05502
394,1.67361,0.05445
395,1.67274,0.0539
396,1.67188,0.05335
397,1.67103,0.05281
398,1.67018,0.05228
399,1.66935,0.05176
400,1.66851,0.05124
401,1.66769,0.05074
402,1.66686,0.05024
403,1.66605,0.04974
404,1.66524,0.04926
405,1.66444,0.04878
406,1.66364,0.04831
407,1.66285,0.04785
408,1.66206,0.04739
409,1.66128,0.04694
410,1.66051,0.04649
411,1.65974,0.04605
412,1.65898,0.04562
413,1.65822,0.0452
414,1.65747,0.04478
415,1.65672,0.04437
416,1.65598,0.04396
417,1.65525,0.04355
418,1.65452,0.04316
419,1.65379,0.04276
420,1.65307,0.04238
421,1.65236,0.042
422,1.65165,0.04162
423,1.65094,0.04125
424,1.65024,0.04089
425,1.64955,0.04053
426,1.64886,0.04017
427,1.64817,0.03982
428,1.64749,0.03948
429,1.64682,0.03913
430,1.64615,0.0388
431,1.64548,0.03846
432,1.64482,0.03814
433,1.64416,0.03781
434,1.64351,0.03749
435,1.64286,0.03718
436,1.64222,0.03687
437,1.64158,0.03656
438,1.64095,0.03625
439,1.64032,0.03596
440,1.63969,0.03566
441,1.63907,0.03537
442,1.63845,0.03508
443,1.63784,0.03479
444,1.63723,0.03451
445,1.63662,0.03424
446,1.63602,0.03396
447,1.63543,0.03369
448,1.63483,0.03342
449,1.63424,0.03316
450,1.63366,0.0329
451,1.63308,0.03264
452,1.6325,0.03239
453,1.63193,0.03214
454,1.63136,0.03189
455,1.63079,0.03164
456,1.63023,0.0314
457,1.62967,0.03116
458,1.62911,0.03092
459,1.62856,0.03069
460,1.62801,0.03046
461,1.62747,0.03023
462,1.62693,0.03
463,1.62639,0.02978
464,1.62586,0.02956
465,1.62533,0.02934
466,1.6248,0.02913
467,1.62428,0.02891
468,1.62376,0.0287
469,1.62324,0.0285
470,1.62273,0.02829
471,1.62222,0.02809
472,1.62171,0.02789
473,1.62121,0.02769
474,1.62071,0.02749
475,1.62021,0.0273
476,1.61971,0.02711
477,1.61922,0.02692
478,1.61873,0.02673
479,1.61825,0.02654
480,1.61777,0.02636
481,1.61729,0.02618
