Wavelength (nm),IDIC_n,IDIC_k
300,1.73051,0.2112
301,1.74332,0.22201
302,1.7563,0.2312
303,1.76918,0.23952
304,1.78191,0.2465
305,1.79412,0.25143
306,1.806,0.25524
307,1.81709,0.25671
308,1.82744,0.25672
309,1.83728,0.25575
310,1.84572,0.25323
311,1.85348,0.25038
312,1.86031,0.24706
313,1.86566,0.24367
314,1.87026,0.24038
315,1.87337,0.23748
316,1.87537,0.23494
317,1.87667,0.23263
318,1.87662,0.23065
319,1.87608,0.22876
320,1.87495,0.22695
321,1.87315,0.22513
322,1.87111,0.22325
323,1.86871,0.22124
324,1.86611,0.21909
325,1.86339,0.21688
326,1.86048,0.21461
327,1.8575,0.21238
328,1.85445,0.21021
329,1.85135,0.20824
330,1.84823,0.2064
331,1.84513,0.20482
332,1.84207,0.20357
333,1.83906,0.2025
334,1.83617,0.20176
335,1.83339,0.20113
336,1.83072,0.2006
337,1.82832,0.20013
338,1.82604,0.19963
339,1.82401,0.19909
340,1.82228,0.19838
341,1.82072,0.19757
342,1.81954,0.1965
343,1.81854,0.19527
344,1.81768,0.19391
345,1.81702,0.19235
346,1.81638,0.19071
347,1.8158,0.18896
348,1.81517,0.18712
349,1.8145,0.18524
350,1.8137,0.18331
351,1.81274,0.18136
352,1.81168,0.1794
353,1.81037,0.17744
354,1.809,0.17548
355,1.80751,0.17352
356,1.80593,0.17159
357,1.80432,0.16966
358,1.80266,0.16775
359,1.801,0.16588
360,1.79934,0.16402
361,1.79774,0.16222
362,1.79616,0.16044
363,1.79463,0.1587
364,1.79312,0.15701
365,1.79162,0.15536
366,1.79011,0.15375
367,1.78857,0.15218
368,1.787,0.15065
369,1.78534,0.14917
370,1.78362,0.14773
371,1.78182,0.14633
372,1.77988,0.14498
373,1.77787,0.14367
374,1.77572,0.1424
375,1.77352,0.14117
376,1.77128,0.13998
377,1.76902,0.13884
378,1.76679,0.13774
379,1.7646,0.13667
380,1.76253,0.13567
381,1.76054,0.13469
382,1.75869,0.13375
383,1.75704,0.13287
384,1.75551,0.13201
385,1.75428,0.13121
386,1.7532,0.13042
387,1.75227,0.12964
388,1.75157,0.12885
389,1.75094,0.12803
390,1.75045,0.12716
391,1.75004,0.1262
392,1.74968,0.1252
393,1.74939,0.12405
394,1.74911,0.12279
395,1.74884,0.12143
396,1.74854,0.11985
397,1.74822,0.11816
398,1.74786,0.11628
399,1.74743,0.11424
400,1.74698,0.1121
401,1.74645,0.10981
402,1.74588,0.10745
403,1.74527,0.10503
404,1.74458,0.10254
405,1.74386,0.10004
406,1.74308,0.09751
407,1.74223,0.09501
408,1.74134,0.09252
409,1.74038,0.09008
410,1.73936,0.0877
411,1.7383,0.08537
412,1.73714,0.08317
413,1.73595,0.08102
414,1.73471,0.07895
415,1.7334,0.077
416,1.73205,0.07509
417,1.73064,0.0733
418,1.72919,0.07159
419,1.72771,0.06994
420,1.72615,0.06842
421,1.72458,0.06696
422,1.72296,0.06559
423,1.7213,0.06434
424,1.71961,0.06314
425,1.71788,0.06205
426,1.71612,0.06106
427,1.71435,0.06012
428,1.71255,0.05931
429,1.71075,0.05855
430,1.70895,0.05786
431,1.70716,0.05727
432,1.70538,0.05673
433,1.70362,0.05625
434,1.7019,0.05585
435,1.7002,0.05548
436,1.69855,0.05519
437,1.69695,0.05495
438,1.69539,0.05474
439,1.69391,0.0546
440,1.69249,0.05448
441,1.69113,0.05441
442,1.68986,0.05437
443,1.68863,0.05435
444,1.68749,0.05433
445,1.6864,0.05431
446,1.68535,0.05428
447,1.68439,0.05422
448,1.68345,0.05413
449,1.68256,0.05399
450,1.68172,0.05379
451,1.68091,0.05354
452,1.68015,0.0532
453,1.67941,0.05278
454,1.6787,0.05229
455,1.67803,0.05166
456,1.67737,0.05095
457,1.67674,0.05012
458,1.67613,0.04915
459,1.67552,0.0481
460,1.67491,0.04692
461,1.67429,0.04567
462,1.67367,0.04435
463,1.67299,0.04294
464,1.67229,0.04148
465,1.67154,0.03999
466,1.67073,0.03844
467,1.66987,0.03688
468,1.66892,0.0353
469,1.66789,0.03371
470,1.66681,0.03212
471,1.66557,0.03055
472,1.66427,0.02899
473,1.66286,0.02746
474,1.6613,0.02597
475,1.65966,0.02451
476,1.65786,0.02312
477,1.65597,0.02178
478,1.65401,0.02049
479,1.65198,0.0193
480,1.64993,0.01818
481,1.64786,0.01714
482,1.64582,0.01623
483,1.64381,0.01539
484,1.64187,0.01467
485,1.64002,0.01409
486,1.63824,0.01359
487,1.63663,0.01328
488,1.63515,0.01308
489,1.63379,0.013
490,1.63271,0.01314
491,1.63176,0.01338
492,1.63105,0.0138
493,1.63063,0.01441
494,1.63037,0.01513
495,1.63049,0.01611
496,1.63082,0.01723
497,1.63135,0.01847
498,1.6322,0.01996
499,1.63317,0.02155
500,1.63434,0.02329
501,1.63567,0.02519
502,1.63708,0.02718
503,1.63865,0.02935
504,1.64028,0.03162
505,1.64196,0.03396
506,1.64371,0.03648
507,1.64547,0.03906
508,1.64724,0.04173
509,1.64899,0.04452
510,1.65072,0.04736
511,1.65239,0.05031
512,1.654,0.05333
513,1.65555,0.0564
514,1.65695,0.05957
515,1.65827,0.06279
516,1.65948,0.06606
517,1.66055,0.06941
518,1.66157,0.07281
519,1.66254,0.0763
520,1.66351,0.07986
521,1.66449,0.08347
522,1.66559,0.08721
523,1.66676,0.09101
524,1.66805,0.09488
525,1.66957,0.09888
526,1.67123,0.10294
527,1.67315,0.10711
528,1.67537,0.11138
529,1.67776,0.11571
530,1.68063,0.12018
531,1.68377,0.12471
532,1.68721,0.12933
533,1.69121,0.13407
534,1.69549,0.13887
535,1.70027,0.14377
536,1.70556,0.14877
537,1.71117,0.15381
538,1.71749,0.15897
539,1.72422,0.1642
540,1.73134,0.1695
541,1.73903,0.17503
542,1.74692,0.18072
543,1.7551,0.18666
544,1.76345,0.19299
545,1.77189,0.19954
546,1.78039,0.20664
547,1.78884,0.21416
548,1.79727,0.22202
549,1.80548,0.2307
