Wavelength (nm),IDTBR_n,IDTBR_k
300,1.51181,0.12989
301,1.50863,0.13137
302,1.50531,0.1329
303,1.50198,0.13449
304,1.49864,0.13615
305,1.49543,0.138
306,1.49228,0.13993
307,1.48924,0.14203
308,1.48625,0.14422
309,1.48329,0.14645
310,1.4804,0.14873
311,1.47755,0.151
312,1.47478,0.15325
313,1.47217,0.15544
314,1.46964,0.15768
315,1.46732,0.16008
316,1.46519,0.16284
317,1.4632,0.16583
318,1.46149,0.16932
319,1.45986,0.17285
320,1.45834,0.17643
321,1.4569,0.17979
322,1.45548,0.1831
323,1.45412,0.18638
324,1.45282,0.18992
325,1.45155,0.19362
326,1.45046,0.19776
327,1.44959,0.20181
328,1.44895,0.20577
329,1.44892,0.209
330,1.44915,0.21193
331,1.44982,0.21434
332,1.45066,0.21681
333,1.45157,0.21937
334,1.45242,0.22261
335,1.45324,0.22609
336,1.45405,0.22979
337,1.45498,0.23314
338,1.45601,0.23612
339,1.45722,0.23842
340,1.4585,0.24018
341,1.45978,0.24174
342,1.46092,0.24322
343,1.46187,0.24488
344,1.46267,0.24672
345,1.46324,0.24851
346,1.46379,0.25007
347,1.46431,0.25119
348,1.46493,0.25147
349,1.46557,0.25138
350,1.46621,0.25076
351,1.46672,0.25021
352,1.46715,0.24972
353,1.46723,0.24999
354,1.46721,0.25052
355,1.46704,0.25142
356,1.46686,0.25238
357,1.46673,0.25327
358,1.46677,0.25383
359,1.46694,0.25413
360,1.46718,0.25425
361,1.46742,0.25432
362,1.46758,0.25451
363,1.46762,0.25488
364,1.46734,0.25574
365,1.46686,0.25687
366,1.46595,0.25856
367,1.46459,0.26078
368,1.46294,0.26336
369,1.46055,0.26683
370,1.45804,0.27071
371,1.45538,0.27509
372,1.45309,0.28014
373,1.45114,0.28549
374,1.45,0.29135
375,1.44979,0.29751
376,1.45012,0.30384
377,1.45157,0.31029
378,1.45348,0.31665
379,1.45591,0.32291
380,1.45901,0.32876
381,1.46235,0.33442
382,1.46611,0.33973
383,1.47014,0.34478
384,1.47434,0.34968
385,1.47877,0.35432
386,1.48328,0.35885
387,1.48787,0.36326
388,1.49257,0.36743
389,1.49733,0.37148
390,1.50218,0.37531
391,1.50712,0.37887
392,1.5121,0.38227
393,1.51722,0.3853
394,1.52247,0.38805
395,1.52782,0.39057
396,1.53348,0.39255
397,1.53929,0.39427
398,1.54537,0.39557
399,1.55172,0.39638
400,1.55817,0.39695
401,1.56469,0.39707
402,1.57109,0.39695
403,1.57739,0.39665
404,1.58322,0.39604
405,1.5888,0.39534
406,1.59401,0.3945
407,1.59895,0.39347
408,1.60381,0.39234
409,1.60864,0.39102
410,1.61362,0.38955
411,1.61871,0.38798
412,1.62425,0.38618
413,1.62989,0.38427
414,1.63569,0.38221
415,1.64144,0.37994
416,1.64712,0.37755
417,1.65253,0.37495
418,1.65757,0.37215
419,1.66238,0.36922
420,1.66661,0.36589
421,1.67068,0.36229
422,1.67455,0.35834
423,1.6783,0.35375
424,1.68206,0.34879
425,1.68588,0.34313
426,1.68982,0.3368
427,1.69382,0.33009
428,1.69768,0.32265
429,1.70127,0.31501
430,1.70457,0.30713
431,1.70701,0.2991
432,1.70895,0.29107
433,1.70989,0.2831
434,1.70981,0.27526
435,1.70914,0.26751
436,1.70734,0.25991
437,1.70509,0.25239
438,1.70236,0.24494
439,1.69903,0.23758
440,1.69552,0.23026
441,1.69174,0.22301
442,1.68781,0.21588
443,1.68378,0.20885
444,1.67959,0.20213
445,1.67532,0.19569
446,1.67097,0.1895
447,1.6665,0.18397
448,1.66198,0.17879
449,1.65739,0.1742
450,1.65274,0.17026
451,1.64807,0.16665
452,1.64335,0.16364
453,1.63863,0.16091
454,1.6339,0.15842
455,1.62921,0.15625
456,1.62456,0.15415
457,1.61995,0.15216
458,1.61542,0.15021
459,1.61092,0.14831
460,1.6065,0.1465
461,1.60211,0.1448
462,1.59775,0.14318
463,1.59344,0.14182
464,1.58914,0.14059
465,1.58487,0.13956
466,1.58059,0.13884
467,1.5763,0.13825
468,1.57201,0.13793
469,1.56767,0.13774
470,1.56332,0.13765
471,1.55885,0.13769
472,1.55434,0.13775
473,1.54975,0.13784
474,1.54502,0.1379
475,1.54022,0.13793
476,1.53529,0.1379
477,1.53029,0.13786
478,1.52524,0.13781
479,1.52015,0.13782
480,1.51507,0.13789
481,1.51001,0.13803
482,1.50502,0.13835
483,1.50009,0.13876
484,1.49526,0.13937
485,1.49056,0.14017
486,1.48593,0.14109
487,1.48145,0.14223
488,1.47705,0.14346
489,1.47272,0.14479
490,1.4685,0.14625
491,1.46433,0.14775
492,1.46023,0.14932
493,1.4562,0.15092
494,1.4522,0.15253
495,1.44827,0.15418
496,1.44437,0.15585
497,1.44049,0.15755
498,1.43666,0.15934
499,1.43285,0.16117
500,1.42905,0.16308
501,1.42527,0.16511
502,1.4215,0.16721
503,1.41774,0.16946
504,1.41398,0.17182
505,1.41023,0.17429
506,1.40647,0.17692
507,1.40271,0.17961
508,1.39893,0.18241
509,1.39515,0.1853
