Wavelength (nm),IDTT4FIC_n,IDTT4FIC_k
210,1.687386,0.377056
211,1.696696,0.377929
212,1.704806,0.376833
213,1.711558,0.374608
214,1.71713,0.371958
215,1.721982,0.369252
216,1.726434,0.36654
217,1.730725,0.363859
218,1.735196,0.361197
219,1.740219,0.358141
220,1.745701,0.354086
221,1.751208,0.348531
222,1.755842,0.341181
223,1.758568,0.33271
224,1.759183,0.324159
225,1.757957,0.316434
226,1.755655,0.310253
227,1.753327,0.30551
228,1.75142,0.301678
229,1.75007,0.298298
230,1.749195,0.294971
231,1.748531,0.291526
232,1.747944,0.287997
233,1.747393,0.28441
234,1.746884,0.280785
235,1.746486,0.277096
236,1.746227,0.273212
237,1.746052,0.268997
238,1.745853,0.264332
239,1.745454,0.259117
240,1.744619,0.253371
241,1.743192,0.247194
242,1.741055,0.240676
243,1.738088,0.233903
244,1.734116,0.226988
245,1.728981,0.220202
246,1.722672,0.213855
247,1.71527,0.208239
248,1.706934,0.203629
249,1.697962,0.200236
250,1.68866,0.198059
251,1.679211,0.197046
252,1.669754,0.197155
253,1.660404,0.198344
254,1.651249,0.200582
255,1.642378,0.203864
256,1.633901,0.208196
257,1.625951,0.213574
258,1.618685,0.21999
259,1.612315,0.227416
260,1.607102,0.235695
261,1.603193,0.244575
262,1.600656,0.25381
263,1.599514,0.263167
264,1.599756,0.272427
265,1.601352,0.281371
266,1.604235,0.289768
267,1.608281,0.297399
268,1.613326,0.304072
269,1.619168,0.309621
270,1.625552,0.313906
271,1.632137,0.316893
272,1.638662,0.318699
273,1.644962,0.319446
274,1.65091,0.319244
275,1.656394,0.318191
276,1.661305,0.316384
277,1.66551,0.313945
278,1.668926,0.311066
279,1.671532,0.307927
280,1.673341,0.304693
281,1.67439,0.301516
282,1.674742,0.298539
283,1.674497,0.295883
284,1.673769,0.293615
285,1.672646,0.291786
286,1.671217,0.290444
287,1.669579,0.289633
288,1.66784,0.289393
289,1.666142,0.289757
290,1.664687,0.29069
291,1.663612,0.292041
292,1.662969,0.293664
293,1.662773,0.295421
294,1.663002,0.297188
295,1.663606,0.298851
296,1.664488,0.300307
297,1.66549,0.301532
298,1.666516,0.302601
299,1.667529,0.303587
300,1.668526,0.304554
301,1.669523,0.305561
302,1.670558,0.30666
303,1.671699,0.307894
304,1.673066,0.309271
305,1.674757,0.310694
306,1.676796,0.312058
307,1.679178,0.313267
308,1.681873,0.314233
309,1.684833,0.314877
310,1.687989,0.315128
311,1.691239,0.314927
312,1.694441,0.314275
313,1.697504,0.31324
314,1.70038,0.311886
315,1.703038,0.310271
316,1.705462,0.308448
317,1.707643,0.306467
318,1.709584,0.304373
319,1.711295,0.302208
320,1.712798,0.3
321,1.714111,0.297762
322,1.715243,0.295507
323,1.7162,0.293245
324,1.716989,0.29099
325,1.717616,0.288751
326,1.718086,0.28654
327,1.718405,0.284367
328,1.718571,0.282244
329,1.718589,0.280192
330,1.718468,0.27823
331,1.718223,0.27638
332,1.717872,0.27466
333,1.717437,0.273086
334,1.716946,0.271676
335,1.716432,0.270442
336,1.715938,0.269397
337,1.715533,0.268539
338,1.715278,0.267818
339,1.715198,0.267171
340,1.715301,0.266543
341,1.715583,0.265881
342,1.716029,0.265137
343,1.716617,0.264264
344,1.717313,0.263219
345,1.718072,0.261965
346,1.718826,0.260469
347,1.719483,0.258744
348,1.719991,0.256842
349,1.720323,0.254812
350,1.720463,0.252697
351,1.720408,0.250539
352,1.720159,0.248378
353,1.719724,0.246251
354,1.719121,0.244191
355,1.718372,0.242233
356,1.717515,0.240402
357,1.716603,0.238704
358,1.715666,0.237119
359,1.714724,0.235631
360,1.71379,0.234224
361,1.712873,0.232885
362,1.71198,0.231598
363,1.711116,0.230351
364,1.710281,0.229132
365,1.709476,0.227929
366,1.708701,0.22673
367,1.707951,0.225526
368,1.707221,0.224311
369,1.706509,0.223076
370,1.705809,0.221817
371,1.705118,0.220527
372,1.704432,0.219201
373,1.703744,0.217834
374,1.703049,0.216421
375,1.702341,0.214956
376,1.701611,0.213436
377,1.700852,0.211856
378,1.70005,0.210214
379,1.699192,0.208511
380,1.698269,0.206755
381,1.697275,0.20495
382,1.696203,0.203102
383,1.695049,0.201216
384,1.693808,0.199295
385,1.692475,0.197346
386,1.691046,0.195372
387,1.689517,0.193377
388,1.687882,0.191366
389,1.686136,0.189343
390,1.684269,0.187312
391,1.682271,0.185288
392,1.680139,0.183284
393,1.677872,0.181315
394,1.67547,0.179394
395,1.672938,0.177535
396,1.670278,0.175749
397,1.667498,0.17405
398,1.664603,0.172449
399,1.661602,0.170958
400,1.658506,0.169587
401,1.655327,0.168348
402,1.652082,0.167249
403,1.648793,0.166297
404,1.645481,0.165484
405,1.64216,0.164803
406,1.638839,0.164244
407,1.635526,0.163801
408,1.63223,0.163467
409,1.628954,0.163234
410,1.625705,0.163095
411,1.622488,0.163045
412,1.619304,0.163075
413,1.616159,0.16318
414,1.613055,0.163355
415,1.609996,0.163591
416,1.606986,0.163885
417,1.604028,0.164226
418,1.601126,0.164604
419,1.598279,0.165008
420,1.595486,0.165428
421,1.592744,0.165855
422,1.590048,0.166279
423,1.587395,0.166691
424,1.584778,0.167081
425,1.582191,0.167443
426,1.579626,0.167766
427,1.577072,0.168045
428,1.57452,0.16827
429,1.571955,0.168436
430,1.569362,0.168536
431,1.566716,0.168567
432,1.563995,0.168543
433,1.561186,0.168476
434,1.558279,0.16838
435,1.555268,0.168268
436,1.552148,0.168151
437,1.548915,0.168043
438,1.545566,0.167954
439,1.5421,0.167896
440,1.538516,0.16788
441,1.534815,0.167916
442,1.530998,0.168015
443,1.527067,0.168188
444,1.523024,0.168443
445,1.518874,0.168792
446,1.514619,0.169243
447,1.510267,0.169805
448,1.505823,0.170485
449,1.501291,0.171289
450,1.496678,0.172225
451,1.491989,0.1733
452,1.487231,0.174519
453,1.48241,0.175891
454,1.477532,0.17742
455,1.472607,0.179113
456,1.467642,0.180976
457,1.462646,0.183016
458,1.457628,0.185237
459,1.452601,0.187646
460,1.447575,0.190247
461,1.442564,0.193045
462,1.437585,0.196045
463,1.432658,0.199248
464,1.427805,0.202647
465,1.423043,0.206229
466,1.418383,0.209982
467,1.413834,0.213894
468,1.409403,0.217954
469,1.405097,0.222149
470,1.400922,0.22647
471,1.39688,0.230903
472,1.392976,0.23544
473,1.389211,0.240068
474,1.385586,0.244777
475,1.382103,0.249556
476,1.378761,0.254396
477,1.375558,0.259286
478,1.372493,0.264216
479,1.369563,0.269177
480,1.366764,0.27416
481,1.364091,0.279157
482,1.361538,0.284161
483,1.3591,0.289167
484,1.356773,0.29417
485,1.354552,0.299166
486,1.352431,0.30415
487,1.350408,0.309116
488,1.348475,0.314062
489,1.346629,0.318983
490,1.344863,0.323874
491,1.343172,0.328733
492,1.341549,0.333557
493,1.339987,0.338342
494,1.33848,0.343085
495,1.33702,0.347785
496,1.335598,0.352439
497,1.334204,0.357045
498,1.332829,0.361604
499,1.33146,0.366114
500,1.330081,0.370577
501,1.32867,0.375002
502,1.327212,0.379411
503,1.325705,0.383826
504,1.324148,0.388267
505,1.322545,0.39275
506,1.320904,0.397293
507,1.319232,0.401911
508,1.317544,0.406619
509,1.315856,0.411429
510,1.314186,0.416352
511,1.312566,0.421392
512,1.311026,0.426535
513,1.30958,0.43176
514,1.308235,0.437047
515,1.306994,0.442378
516,1.305857,0.447738
517,1.30482,0.453111
518,1.303878,0.458484
519,1.303021,0.463844
520,1.302239,0.46918
521,1.301516,0.474483
522,1.300831,0.479751
523,1.300164,0.484995
524,1.299509,0.490227
525,1.298861,0.495457
526,1.298217,0.500697
527,1.297578,0.505953
528,1.296945,0.511236
529,1.29632,0.516551
530,1.295707,0.521906
531,1.295111,0.527308
532,1.294537,0.532761
533,1.293993,0.538268
534,1.293489,0.54383
535,1.293029,0.549444
536,1.292617,0.555108
537,1.292256,0.560822
538,1.29195,0.566583
539,1.291702,0.57239
540,1.291514,0.578242
541,1.291389,0.584137
542,1.29133,0.590074
543,1.29134,0.59605
544,1.291421,0.602065
545,1.291577,0.608115
546,1.29181,0.614197
547,1.292122,0.620306
548,1.292514,0.626439
549,1.292987,0.632593
550,1.293539,0.638765
551,1.294173,0.644952
552,1.294887,0.651149
553,1.295681,0.657356
554,1.296555,0.663568
555,1.297509,0.669784
556,1.298541,0.676
557,1.299652,0.682215
558,1.300841,0.688424
559,1.302105,0.694624
560,1.303444,0.700813
561,1.304854,0.706988
562,1.306333,0.713146
563,1.307878,0.719286
564,1.309486,0.725406
565,1.311153,0.731503
566,1.312875,0.737578
567,1.314648,0.743629
568,1.316467,0.749656
569,1.318325,0.75566
570,1.320214,0.761645
571,1.322129,0.76762
572,1.32407,0.773592
573,1.326039,0.779569
574,1.328037,0.785556
575,1.330067,0.79156
576,1.332134,0.797583
577,1.334242,0.80363
578,1.336396,0.809705
579,1.338602,0.81581
580,1.340866,0.821947
581,1.343195,0.828117
582,1.345599,0.834319
583,1.348086,0.840553
584,1.350667,0.84681
585,1.353346,0.85308
586,1.356125,0.859355
587,1.359004,0.865628
588,1.361983,0.871893
589,1.365061,0.878144
590,1.368238,0.884375
591,1.371511,0.890581
592,1.374879,0.896757
593,1.37834,0.902899
594,1.381892,0.909003
595,1.385532,0.915065
596,1.389258,0.921082
597,1.393068,0.927048
598,1.396959,0.932961
599,1.400928,0.938815
600,1.40497,0.944607
601,1.409081,0.950333
602,1.413254,0.95599
603,1.417485,0.961576
604,1.421769,0.967089
605,1.426099,0.972528
606,1.430468,0.97789
607,1.434871,0.983177
608,1.4393,0.988386
609,1.443748,0.99352
610,1.448207,0.998579
611,1.452667,1.003564
612,1.457117,1.008482
613,1.461548,1.013343
614,1.465958,1.018158
615,1.470345,1.022936
616,1.474709,1.027685
617,1.479049,1.032412
618,1.483366,1.037124
619,1.487662,1.041828
620,1.491938,1.046529
621,1.496194,1.051234
622,1.500433,1.055947
623,1.504657,1.060673
624,1.508866,1.065418
625,1.513063,1.070187
626,1.517247,1.074983
627,1.521419,1.079814
628,1.525578,1.08469
629,1.52973,1.089621
630,1.53388,1.094619
631,1.538039,1.099689
632,1.542215,1.104842
633,1.546418,1.110081
634,1.55066,1.115412
635,1.554952,1.120839
636,1.559307,1.126365
637,1.563737,1.131993
638,1.568255,1.137723
639,1.572877,1.143556
640,1.577616,1.149492
641,1.58249,1.155527
642,1.587515,1.161657
643,1.592714,1.167877
