Wavelength (nm),IDTTIC_n,IDTTIC_k
210,1.635797,0.392422
211,1.647252,0.395698
212,1.657141,0.396732
213,1.665435,0.396714
214,1.672666,0.396596
215,1.679882,0.39653
216,1.687499,0.395928
217,1.695443,0.394291
218,1.703306,0.391257
219,1.710511,0.386943
220,1.716819,0.3817
221,1.722159,0.375826
222,1.726555,0.369576
223,1.730078,0.363126
224,1.732796,0.356612
225,1.734791,0.35016
226,1.736182,0.343873
227,1.737108,0.337775
228,1.73765,0.331846
229,1.737855,0.326074
230,1.737756,0.32045
231,1.737368,0.314994
232,1.73674,0.309746
233,1.735955,0.30474
234,1.735143,0.300001
235,1.734552,0.29545
236,1.734316,0.290762
237,1.734354,0.285606
238,1.734453,0.279692
239,1.734209,0.272789
240,1.733066,0.265014
241,1.730742,0.256718
242,1.727115,0.248217
243,1.722135,0.2398
244,1.715801,0.231744
245,1.708155,0.224323
246,1.699299,0.217808
247,1.689388,0.212458
248,1.678657,0.208521
249,1.667491,0.206172
250,1.656273,0.205322
251,1.645215,0.205824
252,1.634456,0.207541
253,1.624082,0.210342
254,1.614107,0.214125
255,1.604532,0.218894
256,1.595435,0.224685
257,1.586938,0.231524
258,1.579205,0.239425
259,1.572476,0.248376
260,1.567058,0.258193
261,1.563105,0.26857
262,1.56067,0.279212
263,1.559739,0.289843
264,1.560246,0.300207
265,1.562076,0.310076
266,1.565086,0.319272
267,1.569121,0.327638
268,1.574007,0.335039
269,1.579541,0.341363
270,1.585479,0.346518
271,1.591498,0.35052
272,1.597367,0.353538
273,1.602965,0.355734
274,1.608218,0.357255
275,1.613083,0.358231
276,1.617542,0.358783
277,1.621598,0.359012
278,1.625261,0.359001
279,1.628546,0.358823
280,1.63147,0.358549
281,1.63406,0.358242
282,1.63635,0.357962
283,1.638384,0.35776
284,1.640213,0.35767
285,1.641881,0.357722
286,1.643439,0.357941
287,1.644939,0.35835
288,1.646449,0.358968
289,1.648056,0.359806
290,1.649892,0.360822
291,1.652031,0.361888
292,1.654478,0.362883
293,1.657208,0.363698
294,1.660163,0.364237
295,1.663257,0.364415
296,1.666357,0.364163
297,1.669257,0.363511
298,1.671845,0.362609
299,1.674092,0.3616
300,1.676014,0.360609
301,1.677659,0.359751
302,1.67911,0.359128
303,1.680494,0.358825
304,1.682024,0.358866
305,1.683874,0.359104
306,1.686098,0.359377
307,1.688697,0.359542
308,1.691638,0.359469
309,1.694855,0.35904
310,1.698252,0.358153
311,1.701679,0.356722
312,1.704924,0.35476
313,1.70786,0.352383
314,1.710428,0.349701
315,1.712596,0.346812
316,1.714357,0.343804
317,1.715715,0.340761
318,1.716692,0.337757
319,1.717327,0.334862
320,1.717679,0.332121
321,1.717795,0.32955
322,1.71771,0.327166
323,1.717457,0.324981
324,1.71707,0.323012
325,1.716582,0.321272
326,1.716034,0.319772
327,1.715471,0.318524
328,1.714957,0.317527
329,1.714556,0.316743
330,1.714298,0.316122
331,1.714204,0.315621
332,1.71428,0.315198
333,1.714532,0.314814
334,1.714954,0.314432
335,1.71554,0.314018
336,1.716274,0.313539
337,1.717136,0.31297
