Wavelength (nm),IT2Cl_n,IT2Cl_k
300,1.65172,0.16719
301,1.65159,0.1641
302,1.6512,0.16027
303,1.65066,0.15612
304,1.64987,0.15147
305,1.64875,0.14632
306,1.64745,0.14094
307,1.64582,0.13521
308,1.64404,0.12938
309,1.64216,0.12348
310,1.64026,0.11772
311,1.63842,0.11214
312,1.63665,0.10682
313,1.63502,0.10206
314,1.63345,0.09762
315,1.63203,0.09386
316,1.63073,0.0906
317,1.62952,0.08766
318,1.6285,0.08534
319,1.62758,0.08325
320,1.62677,0.08145
321,1.62617,0.08004
322,1.62566,0.07879
323,1.62533,0.07784
324,1.62514,0.07708
325,1.62503,0.07644
326,1.62508,0.07598
327,1.62521,0.07559
328,1.62541,0.07525
329,1.62577,0.07498
330,1.62621,0.07474
331,1.62681,0.07453
332,1.62753,0.07434
333,1.6283,0.07417
334,1.6291,0.074
335,1.62985,0.07384
336,1.63054,0.07368
337,1.63113,0.07351
338,1.63171,0.07332
339,1.63232,0.07311
340,1.63303,0.07287
341,1.63381,0.07261
342,1.63471,0.0723
343,1.63562,0.07197
344,1.63655,0.07163
345,1.6374,0.07126
346,1.6382,0.0709
347,1.63892,0.07055
348,1.63951,0.07023
349,1.64004,0.06995
350,1.64043,0.06976
351,1.64071,0.06964
352,1.64092,0.06959
353,1.64096,0.06969
354,1.64094,0.06986
355,1.64082,0.07015
356,1.64063,0.07059
357,1.64042,0.07112
358,1.64024,0.07182
359,1.64017,0.07266
360,1.64016,0.0736
361,1.6404,0.07474
362,1.64074,0.0759
363,1.64122,0.07709
364,1.64185,0.07818
365,1.64255,0.07918
366,1.64336,0.07997
367,1.64419,0.08058
368,1.64503,0.08108
369,1.64577,0.08138
370,1.6464,0.08162
371,1.64691,0.08178
372,1.64717,0.08187
373,1.64733,0.08194
374,1.64734,0.08198
375,1.64726,0.08203
376,1.64712,0.08209
377,1.64693,0.08219
378,1.64673,0.08232
379,1.64652,0.08248
380,1.64634,0.08269
381,1.64619,0.08291
382,1.64607,0.08317
383,1.64603,0.08344
384,1.64601,0.08372
385,1.64606,0.08399
386,1.64612,0.08424
387,1.6462,0.08448
388,1.6463,0.08464
389,1.64639,0.08477
390,1.64646,0.08483
391,1.64651,0.08482
392,1.64654,0.08478
393,1.64651,0.08464
394,1.64644,0.08446
395,1.64632,0.08422
396,1.6461,0.08391
397,1.64584,0.08356
398,1.64549,0.08317
399,1.64504,0.08274
400,1.64453,0.08229
401,1.64388,0.08183
402,1.64315,0.08135
403,1.64236,0.08088
404,1.64144,0.08041
405,1.64048,0.07996
406,1.63946,0.07953
407,1.63839,0.07913
408,1.6373,0.07876
409,1.63617,0.07844
410,1.63501,0.07815
411,1.63384,0.07789
412,1.63263,0.07769
413,1.63141,0.07751
414,1.63016,0.07736
415,1.62889,0.07726
416,1.62761,0.07718
417,1.62631,0.07714
418,1.625,0.07711
419,1.62369,0.0771
420,1.62237,0.07712
421,1.62105,0.07715
422,1.61973,0.07719
423,1.61842,0.07725
424,1.6171,0.07731
425,1.61577,0.07739
426,1.61441,0.07748
427,1.61304,0.07759
428,1.61163,0.07771
429,1.61018,0.07785
430,1.6087,0.07801
431,1.60718,0.07818
432,1.60563,0.07837
433,1.60407,0.07856
434,1.60249,0.07875
435,1.60091,0.07894
436,1.59933,0.07913
437,1.59776,0.07932
438,1.5962,0.07949
439,1.59465,0.07966
440,1.59309,0.07982
441,1.59153,0.07998
442,1.58997,0.08012
443,1.58839,0.08026
444,1.58678,0.0804
445,1.58516,0.08053
446,1.58351,0.08066
447,1.58181,0.08079
448,1.58009,0.08091
449,1.57832,0.08105
450,1.57648,0.08119
451,1.57462,0.08133
452,1.57267,0.08149
453,1.57066,0.08166
454,1.56861,0.08184
455,1.56647,0.08205
456,1.56431,0.08227
457,1.56211,0.0825
458,1.55989,0.08277
459,1.55765,0.08304
460,1.5554,0.08335
461,1.55316,0.08368
462,1.55091,0.08403
463,1.54867,0.08442
464,1.54642,0.08483
465,1.54416,0.08527
466,1.54185,0.08574
467,1.53952,0.08623
468,1.53713,0.08676
469,1.53468,0.08732
470,1.53219,0.0879
471,1.5296,0.08853
472,1.52697,0.08918
473,1.52429,0.08985
474,1.52158,0.09056
