Wavelength (nm),IT4F_n,IT4F_k
300,1.62208,0.1436
301,1.62216,0.15114
302,1.62238,0.15785
303,1.62263,0.16397
304,1.62293,0.16916
305,1.62327,0.17273
306,1.62361,0.17535
307,1.62394,0.17588
308,1.62423,0.17491
309,1.6245,0.17293
310,1.62471,0.16936
311,1.6249,0.1655
312,1.62509,0.16123
313,1.62528,0.15707
314,1.62549,0.15313
315,1.62575,0.14989
316,1.62606,0.14739
317,1.62641,0.14534
318,1.62686,0.14414
319,1.62736,0.14322
320,1.62791,0.14264
321,1.62854,0.14236
322,1.6292,0.14216
323,1.62993,0.14204
324,1.63072,0.1419
325,1.63154,0.14174
326,1.63242,0.14153
327,1.63332,0.1413
328,1.63425,0.14103
329,1.6352,0.14072
330,1.63615,0.14038
331,1.6371,0.13999
332,1.63805,0.13956
333,1.63898,0.1391
334,1.63988,0.13855
335,1.64074,0.13793
336,1.64156,0.13725
337,1.64227,0.13641
338,1.64293,0.13549
339,1.64348,0.13443
340,1.64388,0.13321
341,1.6442,0.13189
342,1.64432,0.13037
343,1.6443,0.12879
344,1.64417,0.12714
345,1.6438,0.12545
346,1.64335,0.12377
347,1.64277,0.12213
348,1.64204,0.1206
349,1.64125,0.11913
350,1.64033,0.11784
351,1.63933,0.11671
352,1.63827,0.11568
353,1.63711,0.11487
354,1.63593,0.11413
355,1.63471,0.1135
356,1.63349,0.11296
357,1.63229,0.11246
358,1.63114,0.11202
359,1.63005,0.11161
360,1.62902,0.11121
361,1.62816,0.1108
362,1.62739,0.11039
363,1.62674,0.10997
364,1.62629,0.10956
365,1.62592,0.10914
366,1.62568,0.10873
367,1.62552,0.10833
368,1.62539,0.10794
369,1.6253,0.10757
370,1.62521,0.10721
371,1.62512,0.10687
372,1.62496,0.10656
373,1.62476,0.10626
374,1.62446,0.10598
375,1.62408,0.10572
376,1.62364,0.10546
377,1.62311,0.10521
378,1.62256,0.10495
379,1.62198,0.1047
380,1.62139,0.10445
381,1.6208,0.10418
382,1.62023,0.10391
383,1.61971,0.10362
384,1.61922,0.10332
385,1.61882,0.10298
386,1.61848,0.10262
387,1.6182,0.10224
388,1.61798,0.1018
389,1.61778,0.10132
390,1.61759,0.1008
391,1.61736,0.10021
392,1.61711,0.09958
393,1.61677,0.09886
394,1.61635,0.09808
395,1.61586,0.09725
396,1.61518,0.09632
397,1.6144,0.09535
398,1.61345,0.09433
399,1.61231,0.0933
400,1.61106,0.09226
401,1.60964,0.09122
402,1.60812,0.09022
403,1.60653,0.08923
404,1.60483,0.08833
405,1.60312,0.08748
406,1.60137,0.08671
407,1.59961,0.08606
408,1.59787,0.08547
409,1.59616,0.08503
410,1.5945,0.08468
411,1.59289,0.08439
412,1.5914,0.08422
413,1.58996,0.08409
414,1.58859,0.084
415,1.58731,0.08397
416,1.58607,0.08394
417,1.5849,0.08394
418,1.58377,0.08393
419,1.58267,0.08392
420,1.58162,0.08387
421,1.58059,0.0838
422,1.57957,0.0837
423,1.57858,0.08354
424,1.57758,0.08335
425,1.57659,0.0831
426,1.5756,0.08283
427,1.57461,0.08253
428,1.5736,0.08219
429,1.57259,0.08183
430,1.57157,0.08145
431,1.57054,0.08104
432,1.5695,0.08063
433,1.56845,0.0802
434,1.56738,0.07976
435,1.56631,0.07931
436,1.56523,0.07886
437,1.56413,0.0784
438,1.56302,0.07795
439,1.5619,0.07749
440,1.56076,0.07704
441,1.55961,0.07658
442,1.55844,0.07613
443,1.55725,0.07567
444,1.55603,0.07521
445,1.55479,0.07476
446,1.55353,0.0743
447,1.55221,0.07384
448,1.55087,0.07338
449,1.54948,0.07291
450,1.54804,0.07245
451,1.54657,0.07199
452,1.54502,0.07152
453,1.54343,0.07106
454,1.5418,0.07059
455,1.54007,0.07014
456,1.5383,0.06969
457,1.53647,0.06926
458,1.53455,0.06886
459,1.5326,0.06847
460,1.53057,0.06813
461,1.52849,0.06781
462,1.52639,0.06753
463,1.52423,0.06731
464,1.52205,0.06712
465,1.51985,0.06699
466,1.51762,0.06692
467,1.51539,0.0669
468,1.51315,0.06695
469,1.51091,0.06707
470,1.50867,0.06724
471,1.50644,0.06751
472,1.50423,0.06783
473,1.50204,0.0682
474,1.49988,0.06863
475,1.49774,0.06908
476,1.49564,0.06958
477,1.49356,0.0701
478,1.49149,0.07064
479,1.48945,0.0712
480,1.48742,0.07176
481,1.48539,0.07233
482,1.48336,0.07289
483,1.48133,0.07344
484,1.47929,0.07397
485,1.47723,0.07447
486,1.47517,0.07496
487,1.47307,0.07539
488,1.47094,0.0758
489,1.4688,0.07617
490,1.4666,0.07648
491,1.46438,0.07678
492,1.46211,0.07705
493,1.45978,0.07731
494,1.45742,0.07756
495,1.45499,0.0778
496,1.45252,0.07806
497,1.45001,0.07833
498,1.44743,0.07863
499,1.44484,0.07894
500,1.4422,0.0793
501,1.43952,0.0797
502,1.43682,0.08013
503,1.43408,0.08064
504,1.43132,0.0812
505,1.42854,0.08181
506,1.42573,0.08253
507,1.42291,0.0833
508,1.42007,0.08416
509,1.41722,0.08512
510,1.41436,0.08614
511,1.41149,0.08725
512,1.40862,0.08843
513,1.40574,0.08965
514,1.40287,0.09095
515,1.39999,0.09227
516,1.39712,0.09364
