Wavelength (nm),ITIC_n,ITIC_k
300,1.63425,0.19317
301,1.64087,0.20022
302,1.64719,0.2065
303,1.65332,0.21223
304,1.65912,0.21709
305,1.66435,0.22042
306,1.66924,0.22285
307,1.67339,0.22332
308,1.67694,0.22229
309,1.68007,0.22026
310,1.68225,0.21661
311,1.68405,0.21264
312,1.68533,0.20824
313,1.68591,0.20389
314,1.68615,0.19975
315,1.68575,0.19627
316,1.6849,0.1936
317,1.68376,0.19143
318,1.68219,0.19031
319,1.68056,0.18955
320,1.67883,0.18925
321,1.6772,0.18945
322,1.67569,0.18982
323,1.67445,0.19045
324,1.67358,0.19118
325,1.67295,0.19197
326,1.6728,0.19284
327,1.67286,0.19373
328,1.67313,0.19465
329,1.6737,0.19559
330,1.67437,0.19653
331,1.67521,0.19746
332,1.67615,0.19837
333,1.67715,0.19926
334,1.67824,0.20008
335,1.67938,0.20082
336,1.68058,0.20149
337,1.68187,0.20196
338,1.68322,0.20233
339,1.68464,0.20251
340,1.68615,0.20246
341,1.68771,0.20226
342,1.68938,0.20173
343,1.69108,0.20103
344,1.6928,0.20018
345,1.69442,0.19919
346,1.69594,0.19818
347,1.6973,0.19717
348,1.69835,0.19627
349,1.69923,0.19545
350,1.69966,0.19486
351,1.69973,0.1945
352,1.69951,0.19432
353,1.69859,0.19457
354,1.69739,0.19494
355,1.69575,0.19551
356,1.6936,0.19621
357,1.69117,0.19696
358,1.68823,0.19773
359,1.68491,0.19845
360,1.68134,0.19914
361,1.67717,0.19962
362,1.67277,0.19996
363,1.66802,0.20013
364,1.66294,0.20004
365,1.65773,0.19983
366,1.65239,0.19944
367,1.64707,0.19894
368,1.64178,0.19837
369,1.63673,0.19768
370,1.63191,0.19696
371,1.62734,0.19621
372,1.62336,0.19545
373,1.6197,0.1947
374,1.61668,0.19399
375,1.61421,0.19329
376,1.61207,0.19261
377,1.61056,0.19192
378,1.6093,0.19122
379,1.60833,0.19049
380,1.60771,0.18971
381,1.60721,0.18889
382,1.60689,0.188
383,1.60667,0.18702
384,1.6065,0.18599
385,1.60633,0.18481
386,1.60613,0.18355
387,1.6059,0.18221
388,1.60561,0.1807
389,1.6053,0.17912
390,1.60496,0.17741
391,1.60458,0.17557
392,1.60419,0.17366
393,1.60377,0.17158
394,1.60334,0.16941
395,1.6029,0.16714
396,1.60244,0.16469
397,1.60198,0.16216
398,1.60152,0.1595
399,1.60105,0.15669
400,1.60058,0.15382
401,1.6001,0.1508
402,1.59961,0.1477
403,1.59911,0.14453
404,1.59859,0.14125
405,1.59805,0.13792
406,1.59749,0.13453
407,1.59689,0.13108
408,1.59628,0.12759
409,1.59564,0.12405
410,1.59496,0.12047
411,1.59426,0.11688
412,1.5935,0.11325
413,1.59272,0.10963
414,1.59191,0.10601
415,1.59108,0.10245
416,1.59023,0.09893
417,1.58935,0.09549
418,1.58847,0.09217
419,1.58758,0.08891
420,1.58668,0.08588
421,1.58578,0.08296
422,1.58488,0.0802
423,1.58399,0.07771
424,1.58311,0.07536
425,1.58223,0.0733
426,1.58138,0.0715
427,1.58053,0.06988
428,1.57971,0.06862
429,1.57889,0.06751
430,1.57809,0.06657
431,1.57729,0.06588
432,1.57649,0.06528
433,1.5757,0.06485
434,1.5749,0.06452
435,1.57411,0.06427
436,1.57331,0.06412
437,1.5725,0.06401
438,1.57169,0.06393
439,1.57086,0.06388
440,1.57003,0.06382
441,1.56918,0.06374
442,1.56831,0.06363
443,1.56744,0.0635
444,1.56654,0.06333
445,1.56563,0.06316
446,1.56471,0.06297
447,1.56376,0.06278
448,1.56281,0.0626
449,1.56184,0.06242
450,1.56085,0.06228
451,1.55985,0.06214
452,1.55883,0.06205
453,1.55779,0.062
454,1.55675,0.06197
455,1.55568,0.06203
456,1.55461,0.06212
457,1.55351,0.06226
458,1.5524,0.0625
459,1.55128,0.06277
460,1.55015,0.06313
461,1.549,0.06354
462,1.54784,0.06398
463,1.54666,0.06448
464,1.54547,0.06501
465,1.54427,0.06556
466,1.54306,0.06614
467,1.54185,0.06673
468,1.54062,0.06734
469,1.53938,0.06794
470,1.53813,0.06855
471,1.53687,0.06914
472,1.53561,0.06972
473,1.53434,0.07029
474,1.53306,0.07082
475,1.53177,0.07133
476,1.53047,0.0718
477,1.52917,0.07224
478,1.52786,0.07266
479,1.52652,0.07306
480,1.52518,0.07347
481,1.52382,0.07387
482,1.52242,0.0743
483,1.52101,0.07476
484,1.51957,0.07525
485,1.5181,0.0758
486,1.51661,0.07638
487,1.51507,0.07706
488,1.51349,0.0778
489,1.51189,0.07861
490,1.51023,0.07955
491,1.50854,0.08056
492,1.5068,0.08169
493,1.50501,0.08295
494,1.50318,0.0843
495,1.50129,0.08583
496,1.49936,0.08747
497,1.49738,0.08922
498,1.49535,0.09114
499,1.49328,0.09314
500,1.49118,0.09524
501,1.48904,0.09743
502,1.48687,0.09968
503,1.48467,0.10201
504,1.48245,0.10439
505,1.48021,0.1068
506,1.47794,0.10925
507,1.47566,0.11172
508,1.47336,0.1142
509,1.47105,0.11669
510,1.46874,0.11917
511,1.46641,0.12163
512,1.46408,0.12406
513,1.46175,0.12647
514,1.45941,0.12881
515,1.45707,0.13112
516,1.45472,0.13337
517,1.45239,0.13554
518,1.45004,0.13767
519,1.4477,0.13975
520,1.44534,0.14182
521,1.44297,0.14387
522,1.44058,0.14596
523,1.43817,0.14807
524,1.43573,0.15022
525,1.43326,0.15247
526,1.43077,0.15477
527,1.42823,0.15719
528,1.42565,0.15974
529,1.42305,0.16237
530,1.42038,0.16522
531,1.41768,0.1682
532,1.41493,0.17132
533,1.41212,0.17472
534,1.40927,0.17825
535,1.40637,0.18203
536,1.4034,0.18608
537,1.4004,0.19029
538,1.39733,0.19487
539,1.39421,0.19969
540,1.39105,0.20472
541,1.38783,0.21015
542,1.38459,0.21575
543,1.38132,0.22159
544,1.37805,0.22767
545,1.37478,0.23386
546,1.37153,0.24028
547,1.3683,0.2468
