Wavelength (nm),ITICinCB_n,ITICinCB_k
300,1.63425,0.19052
301,1.64087,0.19686
302,1.64719,0.20246
303,1.65332,0.20753
304,1.65912,0.21178
305,1.66435,0.21456
306,1.66924,0.21649
307,1.67339,0.21654
308,1.67694,0.21518
309,1.68007,0.21286
310,1.68225,0.209
311,1.68405,0.20486
312,1.68533,0.2003
313,1.68591,0.19582
314,1.68615,0.19155
315,1.68575,0.18793
316,1.6849,0.18509
317,1.68376,0.18275
318,1.68219,0.18139
319,1.68056,0.18037
320,1.67883,0.17976
321,1.6772,0.17957
322,1.67569,0.17952
323,1.67445,0.17965
324,1.67358,0.17981
325,1.67295,0.17997
326,1.6728,0.18012
327,1.67286,0.18025
328,1.67313,0.18035
329,1.6737,0.18039
330,1.67437,0.1804
331,1.67521,0.18036
332,1.67615,0.18024
333,1.67715,0.18007
334,1.67824,0.17977
335,1.67938,0.17934
336,1.68058,0.1788
337,1.68187,0.17797
338,1.68322,0.17697
339,1.68464,0.17571
340,1.68615,0.17411
341,1.68771,0.1723
342,1.68938,0.17003
343,1.69108,0.16748
344,1.6928,0.16469
345,1.69442,0.16147
346,1.69594,0.1581
347,1.6973,0.15449
348,1.69835,0.15065
349,1.69923,0.1467
350,1.69966,0.14256
351,1.69973,0.1383
352,1.69951,0.13398
353,1.69859,0.12955
354,1.69739,0.12515
355,1.69575,0.12077
356,1.6936,0.11655
357,1.69117,0.11242
358,1.68823,0.10856
359,1.68491,0.10498
360,1.68134,0.10158
361,1.67717,0.09876
362,1.67277,0.09622
363,1.66802,0.0941
364,1.66294,0.09254
365,1.65773,0.09124
366,1.65239,0.09043
367,1.64707,0.08995
368,1.64178,0.0897
369,1.63673,0.0899
370,1.63191,0.09029
371,1.62734,0.09091
372,1.62336,0.09182
373,1.6197,0.09286
374,1.61668,0.0941
375,1.61421,0.09546
376,1.61207,0.0969
377,1.61056,0.09842
378,1.6093,0.09994
379,1.60833,0.10145
380,1.60771,0.10288
381,1.60721,0.10425
382,1.60689,0.10549
383,1.60667,0.10656
384,1.6065,0.10751
385,1.60633,0.10816
386,1.60613,0.10863
387,1.6059,0.10893
388,1.60561,0.10894
389,1.6053,0.10884
390,1.60496,0.10857
391,1.60458,0.10816
392,1.60419,0.10768
393,1.60377,0.10706
394,1.60334,0.10639
395,1.6029,0.10568
396,1.60244,0.10492
397,1.60198,0.10415
398,1.60152,0.10338
399,1.60105,0.10262
400,1.60058,0.10187
401,1.6001,0.10113
402,1.59961,0.10041
403,1.59911,0.09969
404,1.59859,0.09899
405,1.59805,0.0983
406,1.59749,0.09762
407,1.59689,0.09694
408,1.59628,0.09628
409,1.59564,0.09563
410,1.59496,0.09498
411,1.59426,0.09434
412,1.5935,0.09371
413,1.59272,0.09309
414,1.59191,0.09248
415,1.59108,0.09189
416,1.59023,0.0913
417,1.58935,0.09073
418,1.58847,0.09019
419,1.58758,0.08965
420,1.58668,0.08914
421,1.58578,0.08866
422,1.58488,0.08819
423,1.58399,0.08776
424,1.58311,0.08734
425,1.58223,0.08695
426,1.58138,0.0866
427,1.58053,0.08627
428,1.57971,0.08597
429,1.57889,0.08568
430,1.57809,0.08542
431,1.57729,0.08517
432,1.57649,0.08492
433,1.5757,0.08469
434,1.5749,0.08446
435,1.57411,0.08423
436,1.57331,0.08399
437,1.5725,0.08375
438,1.57169,0.08351
439,1.57086,0.08324
440,1.57003,0.08297
441,1.56918,0.08268
442,1.56831,0.08236
443,1.56744,0.08204
444,1.56654,0.08172
445,1.56563,0.0814
446,1.56471,0.08108
447,1.56376,0.0808
448,1.56281,0.08053
449,1.56184,0.08031
450,1.56085,0.08013
451,1.55985,0.07999
