Wavelength (nm),ITM_n,ITM_k
300,1.59612,0.19968
301,1.59554,0.20032
302,1.59458,0.20077
303,1.59353,0.20128
304,1.59232,0.20188
305,1.59107,0.20287
306,1.58978,0.20403
307,1.58836,0.20545
308,1.58668,0.20674
309,1.58482,0.20794
310,1.58264,0.20884
311,1.58071,0.20996
312,1.57915,0.21138
313,1.57877,0.21385
314,1.57881,0.21673
315,1.57936,0.22028
316,1.57937,0.22378
317,1.57902,0.22722
318,1.5774,0.23034
319,1.57596,0.23386
320,1.57475,0.23787
321,1.57551,0.24364
322,1.57738,0.25015
323,1.58147,0.25788
324,1.58741,0.26561
325,1.59445,0.27322
326,1.60368,0.27909
327,1.61366,0.2823
328,1.62443,0.28262
329,1.63583,0.27456
330,1.64723,0.26261
331,1.65848,0.24387
332,1.66812,0.22414
333,1.67654,0.20473
334,1.68053,0.19166
335,1.68175,0.18363
336,1.6803,0.18043
337,1.6768,0.18159
338,1.67348,0.18294
339,1.67094,0.18388
340,1.67,0.1828
341,1.66975,0.1808
342,1.67003,0.17771
343,1.66979,0.1748
344,1.6691,0.17204
345,1.66708,0.17026
346,1.66479,0.1688
347,1.66214,0.16784
348,1.65973,0.16725
349,1.65751,0.16681
350,1.65588,0.16654
351,1.65446,0.16625
352,1.65322,0.16595
353,1.65204,0.16537
354,1.65081,0.16466
355,1.64951,0.16375
356,1.64818,0.16285
357,1.64687,0.16203
358,1.64562,0.16152
359,1.64448,0.1614
360,1.64342,0.16154
361,1.64253,0.16206
362,1.64172,0.16259
363,1.64099,0.16313
364,1.64038,0.16341
365,1.63981,0.16353
366,1.63929,0.16331
367,1.63877,0.16284
368,1.63825,0.16222
369,1.63763,0.16126
370,1.63695,0.1602
371,1.63617,0.15901
372,1.63522,0.15788
373,1.63417,0.15685
374,1.63294,0.15612
375,1.63151,0.15582
376,1.62997,0.15578
377,1.62828,0.15629
378,1.62664,0.15692
379,1.62505,0.15767
380,1.62375,0.15837
381,1.62263,0.15897
382,1.62187,0.15934
383,1.62144,0.15955
384,1.62119,0.1597
385,1.62126,0.1598
386,1.62147,0.15996
387,1.6218,0.16019
388,1.62228,0.16057
389,1.62281,0.16094
390,1.62341,0.16127
391,1.62403,0.16136
392,1.62466,0.16127
393,1.62528,0.16068
394,1.62585,0.15972
395,1.62639,0.15846
396,1.62683,0.1568
397,1.62721,0.15506
398,1.6275,0.15323
399,1.62766,0.15148
400,1.62774,0.1498
401,1.62766,0.14831
402,1.62747,0.1469
403,1.62721,0.14554
404,1.62679,0.14417
405,1.62631,0.14276
406,1.62574,0.14126
407,1.62507,0.13959
408,1.62435,0.13786
409,1.62351,0.136
410,1.62259,0.13412
411,1.6216,0.13222
412,1.62046,0.13037
413,1.61924,0.12857
414,1.61792,0.12685
415,1.61647,0.12524
416,1.61496,0.12367
417,1.61335,0.12218
418,1.61166,0.12074
419,1.60993,0.11932
420,1.60812,0.11794
421,1.60627,0.11658
422,1.60438,0.11523
423,1.60243,0.11393
424,1.60046,0.11267
425,1.59843,0.11147
426,1.59636,0.11036
427,1.59426,0.10929
428,1.59211,0.10837
429,1.58993,0.1075
430,1.58772,0.1067
431,1.58547,0.10596
432,1.58321,0.10523
433,1.58093,0.10451
434,1.57864,0.10376
435,1.57634,0.103
436,1.57403,0.10217
437,1.57172,0.10131
438,1.56939,0.10044
439,1.56703,0.09959
440,1.56466,0.09877
441,1.56225,0.098
442,1.55979,0.09733
443,1.55731,0.09671
444,1.55476,0.09626
445,1.55217,0.09589
446,1.54955,0.09559
447,1.54687,0.0954
448,1.54418,0.09525
449,1.54145,0.09516
450,1.53871,0.09511
451,1.53594,0.09508
452,1.53317,0.09506
453,1.53039,0.09506
454,1.52761,0.09507
455,1.52486,0.09511
456,1.52213,0.09516
457,1.51944,0.09524
458,1.51681,0.09536
459,1.51422,0.09549
460,1.51171,0.09568
461,1.50926,0.09589
462,1.50684,0.09613
463,1.50445,0.09642
464,1.50204,0.09673
465,1.49962,0.09706
466,1.49713,0.09742
467,1.49459,0.09779
468,1.49194,0.09818
469,1.48917,0.09859
470,1.48634,0.099
471,1.48338,0.09944
472,1.48038,0.09989
473,1.47734,0.10034
474,1.47429,0.10082
475,1.47125,0.1013
476,1.46825,0.10181
477,1.46531,0.10232
478,1.46241,0.10284
479,1.45962,0.10339
480,1.45687,0.10394
481,1.45415,0.10451
482,1.45142,0.10511
483,1.44867,0.10572
484,1.44587,0.10635
485,1.44298,0.10701
486,1.44003,0.10769
487,1.4369,0.10841
488,1.43366,0.10915
489,1.43031,0.10991
490,1.4268,0.11074
491,1.42323,0.1116
492,1.41957,0.11252
493,1.41584,0.11351
494,1.41208,0.11454
495,1.40829,0.11568
496,1.40449,0.11687
497,1.40069,0.11813
498,1.39692,0.11952
499,1.39317,0.12096
500,1.38943,0.12249
501,1.3857,0.12412
502,1.38197,0.12579
503,1.37824,0.12756
504,1.37451,0.12938
505,1.37077,0.13126
506,1.367,0.13323
507,1.36323,0.13524
508,1.35943,0.13731
509,1.35559,0.13946
510,1.35174,0.14164
511,1.34784,0.14392
512,1.34392,0.14628
513,1.33997,0.14869
514,1.33598,0.15124
515,1.33196,0.15385
516,1.3279,0.15656
517,1.3238,0.1594
518,1.31968,0.16232
519,1.31551,0.16538
520,1.31131,0.16856
521,1.30709,0.17181
522,1.30284,0.17521
523,1.29857,0.17869
524,1.29428,0.18225
525,1.28999,0.18592
526,1.28569,0.18966
527,1.28138,0.19348
528,1.27708,0.19739
529,1.27278,0.20134
530,1.2685,0.20539
531,1.26422,0.20949
532,1.25996,0.21366
533,1.25571,0.21796
534,1.25146,0.22232
535,1.24724,0.2268
536,1.24303,0.23143
537,1.23883,0.23613
538,1.23465,0.24103
539,1.23049,0.24606
540,1.22635,0.2512
541,1.22224,0.25659
542,1.21815,0.2621
543,1.21409,0.26779
544,1.21008,0.27369
545,1.2061,0.27972
546,1.20219,0.28599
547,1.19834,0.29242
548,1.19454,0.29899
549,1.19086,0.30584
550,1.18723,0.31281
551,1.18369,0.31997
552,1.18028,0.32736
553,1.17693,0.33487
554,1.17374,0.34262
555,1.17066,0.35053
556,1.16766,0.35855
557,1.16489,0.36681
558,1.16223,0.37516
559,1.1597,0.38363
560,1.1574,0.39224
561,1.15521,0.40092
562,1.15323,0.40972
563,1.15145,0.41858
564,1.14978,0.42749
565,1.14842,0.43647
566,1.14719,0.44547
567,1.14614,0.4545
568,1.14535,0.46355
569,1.14467,0.4726
570,1.14418,0.48164
571,1.14385,0.49066
572,1.14361,0.49966
573,1.14356,0.50862
574,1.14358,0.51755
575,1.14369,0.52643
576,1.14392,0.53524
577,1.14419,0.54402
578,1.14454,0.55272
579,1.14493,0.56134
580,1.14535,0.56991
581,1.14582,0.57841
582,1.14631,0.58689
583,1.14683,0.59536
584,1.1474,0.60388
585,1.148,0.61245
586,1.14864,0.6211
587,1.14934,0.6299
588,1.15007,0.63879
589,1.15088,0.64789
590,1.15174,0.65718
591,1.15265,0.6666
592,1.15367,0.67639
593,1.15475,0.68635
594,1.15591,0.69656
595,1.15722,0.70713
596,1.15863,0.71787
597,1.16027,0.72892
598,1.16215,0.74021
599,1.16418,0.75164
600,1.16668,0.76339
601,1.16942,0.77527
602,1.17246,0.78731
603,1.17604,0.79956
604,1.17989,0.8119
605,1.18424,0.82438
606,1.18909,0.83697
607,1.19424,0.84962
608,1.20011,0.86238
609,1.20638,0.87516
610,1.21306,0.88798
611,1.22046,0.90071
612,1.22817,0.91337
613,1.2364,0.92587
614,1.24516,0.93812
615,1.25421,0.95021
616,1.26387,0.9619
617,1.27388,0.97328
618,1.28419,0.98441
619,1.29511,0.99492
620,1.30627,1.00513
621,1.31782,1.01489
622,1.32981,1.02402
623,1.34203,1.03282
624,1.35471,1.04092
625,1.36766,1.0485
626,1.38081,1.05573
627,1.39427,1.06212
628,1.40779,1.06818
629,1.42141,1.07378
630,1.43502,1.07875
631,1.44861,1.08342
632,1.4621,1.08754
633,1.47542,1.0912
634,1.48864,1.09458
635,1.50151,1.09732
636,1.51417,1.09976
637,1.52658,1.10184
638,1.53848,1.10337
639,1.55013,1.10463
640,1.56131,1.10544
641,1.57198,1.10584
642,1.58236,1.10601
643,1.59211,1.10581
644,1.60151,1.10549
645,1.61059,1.10505
646,1.61907,1.10456
647,1.62729,1.10411
648,1.63511,1.10374
649,1.64247,1.10358
650,1.64959,1.10355
651,1.65622,1.10389
652,1.66253,1.10458
653,1.66859,1.1055
654,1.67411,1.10715
655,1.6794,1.10916
656,1.68437,1.11168
657,1.68892,1.11502
658,1.69327,1.1188
659,1.69728,1.1234
660,1.7012,1.12867
661,1.70507,1.13435
662,1.70908,1.14096
663,1.71329,1.14798
664,1.71774,1.15549
665,1.72279,1.16372
666,1.72821,1.17228
667,1.73431,1.18137
668,1.74124,1.19095
669,1.74869,1.2008
670,1.75738,1.21119
671,1.76691,1.22186
672,1.77721,1.23278
673,1.78916,1.24414
674,1.8019,1.25566
675,1.81589,1.26745
676,1.83143,1.27946
677,1.84779,1.29156
678,1.86574,1.30369
679,1.88468,1.31563
680,1.90432,1.32743
681,1.92543,1.33858
682,1.94707,1.34934
683,1.96947,1.35954
684,1.99277,1.36874
685,2.01649,1.37739
686,2.04093,1.38494
687,2.0659,1.39141
688,2.09119,1.39718
689,2.11714,1.40123
690,2.14337,1.4043
691,2.16992,1.40632
692,2.19693,1.40639
693,2.22415,1.40552
694,2.25171,1.40303
695,2.27957,1.39878
696,2.3076,1.39352
697,2.33587,1.38623
698,2.36419,1.37777
699,2.39252,1.36835
700,2.42071,1.35711
701,2.44876,1.34514
702,2.47659,1.33209
703,2.50398,1.31781
704,2.5311,1.30292
705,2.55764,1.28688
706,2.58361,1.27003
707,2.60919,1.25264
708,2.63372,1.23406
709,2.65769,1.21497
710,2.68097,1.19524
711,2.70303,1.17458
712,2.72447,1.15346
713,2.74476,1.13158
714,2.76388,1.10899
715,2.78226,1.08598
716,2.79899,1.06205
717,2.81478,1.03766
718,2.8297,1.01283
719,2.84301,0.98733
720,2.85563,0.96158
721,2.86718,0.93546
722,2.87754,0.90903
723,2.88724,0.88246
724,2.89569,0.85567
725,2.90326,0.82883
726,2.91021,0.80194
727,2.91571,0.77509
728,2.92059,0.74832
729,2.92463,0.72166
730,2.92746,0.69527
731,2.92968,0.66905
732,2.93082,0.64318
733,2.93096,0.61771
734,2.93049,0.59251
735,2.92863,0.56798
736,2.926,0.54388
737,2.9226,0.52022
738,2.91778,0.49744
739,2.91235,0.47504
740,2.90597,0.45327
741,2.89862,0.43217
742,2.89075,0.41143
743,2.8819,0.39142
744,2.87245,0.37189
745,2.86257,0.35272
746,2.85179,0.33437
747,2.84068,0.31637
748,2.82912,0.29885
749,2.81703,0.28201
750,2.8047,0.26552
751,2.79199,0.24966
752,2.77902,0.23435
753,2.76591,0.2194
754,2.75257,0.20524
755,2.73917,0.19152
756,2.72571,0.17825
757,2.71227,0.16581
758,2.69889,0.15376
759,2.68561,0.14234
760,2.67254,0.13165
761,2.6596,0.12136
762,2.64693,0.11188
763,2.63445,0.10293
764,2.6221,0.09435
765,2.61006,0.08664
766,2.59816,0.07927
767,2.58643,0.07237
768,2.57495,0.0661
769,2.5636,0.06014
770,2.55248,0.05471
771,2.54155,0.04971
772,2.53076,0.04499
773,2.52023,0.04081
774,2.50986,0.03691
775,2.49964,0.03328
776,2.4897,0.03011
777,2.47988,0.02713
778,2.47027,0.02443
779,2.46089,0.02203
780,2.45165,0.01977
781,2.44266,0.01779
782,2.43387,0.01597
783,2.42521,0.01426
784,2.41686,0.01276
785,2.40866,0.01135
786,2.40064,0.01003
787,2.39288,0.00885
788,2.38526,0.00774
789,2.37785,0.00673
790,2.37064,0.00583
791,2.36356,0.00498
792,2.35671,0.00425
793,2.35001,0.00359
794,2.34343,0.00298
795,2.3371,0.00247
796,2.33087,0.00201
797,2.32478,0.00161
798,2.31888,0.00128
799,2.31307,9.80375E-4
800,2.30744,7.43651E-4
