Wavelength (nm),ITOBrabec_n,ITOBrabec_k
350,2.10832,0.02051
351,2.10414,0.0202
352,2.09995,0.01989
353,2.09576,0.01958
354,2.09157,0.01927
355,2.08738,0.01896
356,2.0832,0.01864
357,2.07901,0.01833
358,2.07482,0.01799
359,2.07063,0.0176
360,2.06644,0.0172
361,2.06226,0.0168
362,2.05804,0.01641
363,2.05255,0.01601
364,2.04706,0.01562
365,2.04157,0.01522
366,2.03608,0.01482
367,2.0306,0.01443
368,2.02511,0.01403
369,2.01962,0.01363
370,2.0145,0.01326
371,2.01076,0.01289
372,2.00702,0.01252
373,2.00328,0.01214
374,1.99954,0.01177
375,1.9958,0.0114
376,1.99206,0.01103
377,1.98831,0.01066
378,1.98457,0.01029
379,1.98083,0.00992
380,1.97709,0.00954
381,1.97335,0.00917
382,1.96961,0.0088
383,1.96587,0.00854
384,1.96213,0.00832
385,1.95839,0.0081
386,1.95465,0.00788
387,1.95091,0.00767
388,1.94832,0.00745
389,1.9458,0.00723
390,1.94329,0.00702
391,1.94078,0.0068
392,1.93826,0.00658
393,1.93575,0.00637
394,1.93324,0.00615
395,1.93072,0.00593
396,1.92821,0.00571
397,1.9257,0.0055
398,1.92318,0.00528
399,1.92067,0.00509
400,1.91816,0.00498
401,1.91565,0.00487
402,1.91313,0.00476
403,1.91062,0.00466
404,1.90811,0.00455
405,1.90492,0.00444
406,1.90151,0.00434
407,1.89811,0.00423
408,1.8947,0.00412
409,1.8913,0.00402
410,1.88789,0.00391
411,1.88449,0.0038
412,1.88108,0.0037
413,1.87768,0.00359
414,1.87427,0.00348
415,1.87087,0.00338
416,1.86746,0.00327
417,1.86422,0.00316
418,1.86181,0.00306
419,1.8594,0.00295
420,1.857,0.00284
421,1.85459,0.00277
422,1.85218,0.00271
423,1.84977,0.00265
424,1.84737,0.00259
425,1.84496,0.00253
426,1.84255,0.00246
427,1.84015,0.0024
428,1.83774,0.00234
429,1.83533,0.00228
430,1.83292,0.00222
431,1.83052,0.00215
432,1.82811,0.00209
433,1.82622,0.00203
434,1.82498,0.00197
435,1.82373,0.00191
436,1.82248,0.00185
437,1.82123,0.00178
438,1.81999,0.00172
439,1.81874,0.00166
440,1.81749,0.0016
441,1.81624,0.00154
442,1.815,0.00147
443,1.81375,0.00141
444,1.8125,0.00135
445,1.81126,0.00129
446,1.81001,0.00123
447,1.80876,0.0012
448,1.80751,0.0012
449,1.80627,0.0012
450,1.8051,0.0012
451,1.80417,0.0012
452,1.80324,0.0012
453,1.80231,0.0012
454,1.80138,0.0012
455,1.80045,0.0012
456,1.79952,0.0012
457,1.79859,0.0012
458,1.79766,0.0012
459,1.79673,0.0012
460,1.7958,0.0012
461,1.79487,0.0012
462,1.79394,0.0012
463,1.793,0.0012
464,1.79207,0.0012
465,1.79114,0.0012
466,1.79021,0.0012
467,1.78928,0.0012
468,1.78835,0.0012
469,1.78742,0.0012
470,1.78649,0.00119
471,1.78556,0.00116
472,1.78463,0.00114
473,1.7837,0.00112
474,1.78277,0.00109
475,1.78184,0.00107
476,1.78091,0.00105
477,1.77998,0.00102
478,1.77905,9.99503E-4
479,1.77812,9.7596E-4
480,1.77718,9.52417E-4
481,1.77625,9.28875E-4
482,1.77532,9.05332E-4
483,1.77439,8.81789E-4
484,1.77346,8.58246E-4
485,1.7727,8.34703E-4
486,1.772,8.1116E-4
487,1.77131,7.87617E-4
488,1.77061,7.64074E-4
489,1.76991,7.40531E-4
490,1.76921,7.16988E-4
491,1.76852,6.93446E-4
492,1.76782,6.69903E-4
493,1.76712,6.4636E-4
494,1.76643,6.22817E-4
495,1.76573,5.99274E-4
496,1.76503,5.75731E-4
497,1.76434,5.52188E-4
498,1.76364,5.44328E-4
499,1.76294,5.44328E-4
500,1.76225,5.44328E-4
501,1.76155,5.44328E-4
502,1.76085,5.44328E-4
503,1.76016,5.44328E-4
504,1.75946,5.44328E-4
505,1.75876,5.44328E-4
506,1.75807,5.44328E-4
507,1.75737,5.44328E-4
508,1.75677,5.44328E-4
509,1.75657,5.44328E-4
510,1.75637,5.44328E-4
511,1.75616,5.44328E-4
512,1.75596,5.44328E-4
513,1.75576,5.44328E-4
514,1.75556,5.44328E-4
515,1.75536,5.44328E-4
516,1.75516,5.44328E-4
517,1.75496,5.44328E-4
518,1.75476,5.44328E-4
519,1.75456,5.44328E-4
520,1.75436,5.44328E-4
521,1.75415,5.44328E-4
522,1.75395,5.44328E-4
523,1.75375,5.44328E-4
524,1.75355,5.44328E-4
