Wavelength (nm),MAPITejas_n,MAPITejas_k
300,0.81154,1.45788
301,0.81804,1.45535
302,0.82455,1.45283
303,0.83105,1.45031
304,0.83756,1.44778
305,0.84406,1.44526
306,0.85056,1.44273
307,0.85707,1.44021
308,0.86357,1.43768
309,0.87007,1.43516
310,0.87658,1.43568
311,0.88308,1.43743
312,0.88958,1.43919
313,0.89819,1.44094
314,0.90686,1.4427
315,0.91554,1.44445
316,0.92421,1.44621
317,0.93288,1.44796
318,0.94156,1.44972
319,0.95023,1.45148
320,0.9589,1.45323
321,0.96758,1.45499
322,0.97625,1.46204
323,0.98514,1.47039
324,0.99409,1.47874
325,1.00304,1.48708
326,1.01199,1.49543
327,1.02094,1.50378
328,1.02989,1.51213
329,1.03884,1.52048
330,1.04779,1.52883
331,1.05673,1.53812
332,1.06568,1.54849
333,1.07463,1.55885
334,1.08038,1.56922
335,1.08508,1.57958
336,1.08979,1.58995
337,1.0945,1.60031
338,1.09921,1.61068
339,1.10392,1.62104
340,1.10863,1.63141
341,1.11334,1.64177
342,1.11805,1.65256
343,1.12276,1.66387
344,1.12747,1.67518
345,1.12942,1.68649
346,1.13024,1.6978
347,1.13107,1.70911
348,1.1319,1.72042
349,1.13272,1.73173
350,1.13355,1.74304
351,1.13437,1.75435
352,1.1352,1.76566
353,1.13602,1.77681
354,1.13685,1.78775
355,1.13768,1.79868
356,1.1385,1.80962
357,1.13933,1.82056
358,1.1365,1.8315
359,1.13347,1.84244
360,1.13043,1.85338
361,1.1274,1.86432
362,1.12437,1.87526
363,1.12134,1.88619
364,1.11831,1.89713
365,1.11528,1.90698
366,1.11225,1.91597
367,1.10921,1.92495
368,1.10618,1.93393
369,1.10309,1.94291
370,1.09702,1.95189
371,1.09095,1.96087
372,1.08488,1.96985
373,1.07881,1.97883
374,1.07274,1.98781
375,1.06667,1.99679
376,1.0606,2.00577
377,1.05454,2.01475
378,1.04847,2.02009
379,1.04308,2.02468
380,1.03808,2.02928
381,1.03309,2.03387
382,1.02809,2.03846
383,1.02309,2.04305
384,1.01809,2.04764
385,1.0131,2.05223
386,1.0081,2.05683
387,1.0031,2.06142
388,0.9981,2.06601
389,0.9931,2.0706
390,0.98811,2.07519
391,0.98311,2.07978
392,0.97811,2.08438
393,0.97307,2.08897
394,0.96776,2.09356
395,0.96245,2.09544
396,0.95714,2.09679
397,0.95183,2.09814
398,0.94652,2.09948
399,0.94121,2.10083
400,0.9359,2.10218
401,0.93058,2.10352
402,0.92527,2.10487
403,0.91996,2.10622
404,0.91465,2.10756
405,0.90934,2.10891
406,0.90403,2.11026
407,0.89995,2.11161
408,0.89708,2.11295
409,0.89421,2.1143
410,0.89134,2.11565
411,0.88847,2.11699
412,0.88559,2.11834
413,0.88272,2.11969
414,0.87985,2.12103
415,0.87698,2.12238
416,0.87411,2.12373
417,0.87124,2.12507
418,0.86837,2.12642
419,0.8655,2.12777
420,0.86262,2.12911
421,0.85975,2.13046
422,0.85688,2.13181
423,0.8545,2.13316
424,0.85319,2.1345
425,0.85188,2.13585
426,0.85057,2.1372
427,0.84926,2.13854
428,0.84795,2.13989
429,0.84664,2.14124
430,0.84532,2.14258
431,0.84401,2.14393
432,0.8427,2.14528
433,0.84139,2.14662
434,0.84008,2.14797
435,0.83877,2.14932
436,0.83746,2.15066
437,0.83614,2.15201
438,0.83483,2.15336
439,0.83352,2.15471
440,0.83221,2.15605
441,0.8309,2.1574
442,0.82959,2.15875
443,0.82897,2.16009
444,0.8286,2.16144
445,0.82823,2.16279
446,0.82786,2.16413
447,0.8275,2.16548
448,0.82713,2.16683
449,0.82676,2.16876
450,0.82639,2.17161
451,0.82602,2.17445
452,0.82566,2.1773
453,0.82529,2.18014
454,0.82492,2.18299
455,0.82455,2.18584
456,0.82418,2.18868
457,0.82382,2.19153
458,0.82345,2.19437
459,0.82308,2.19722
460,0.82271,2.20006
461,0.82235,2.20291
462,0.82198,2.20576
463,0.82161,2.2086
464,0.82124,2.21145
465,0.82087,2.21429
466,0.82051,2.21714
467,0.82014,2.21998
468,0.81977,2.22283
469,0.8194,2.22568
470,0.81881,2.22852
471,0.81799,2.23137
472,0.81717,2.23421
473,0.81636,2.23733
474,0.81554,2.24065
475,0.81472,2.24397
476,0.8139,2.24729
477,0.81308,2.25061
478,0.81227,2.25393
479,0.81145,2.25724
480,0.81063,2.26056
481,0.80981,2.26388
482,0.809,2.2672
483,0.80818,2.27052
484,0.80736,2.27384
485,0.80654,2.27715
486,0.80572,2.28047
487,0.80491,2.28379
488,0.80409,2.28711
489,0.80221,2.29043
490,0.80001,2.29375
491,0.7978,2.29706
492,0.7956,2.30038
493,0.7934,2.30392
494,0.7912,2.30843
495,0.789,2.31294
496,0.7868,2.31745
497,0.78459,2.32197
498,0.78239,2.32648
499,0.78019,2.33099
500,0.77799,2.3355
501,0.77579,2.34001
502,0.77359,2.34452
503,0.77138,2.34903
504,0.76918,2.35354
505,0.76698,2.35805
506,0.76478,2.36257
507,0.76253,2.36708
508,0.7589,2.37159
509,0.75526,2.37603
510,0.75162,2.37868
511,0.74798,2.38134
512,0.74434,2.384
513,0.7407,2.38665
514,0.73706,2.38931
515,0.73342,2.39197
516,0.72978,2.39462
517,0.72614,2.39728
518,0.7225,2.39994
519,0.71886,2.40259
520,0.71522,2.40525
521,0.71158,2.40791
522,0.70794,2.41056
523,0.7043,2.41322
524,0.70066,2.41588
525,0.69737,2.41853
526,0.69409,2.42119
527,0.69081,2.42385
528,0.68752,2.4265
529,0.68424,2.42916
530,0.68095,2.43182
531,0.67767,2.43447
532,0.67438,2.43713
533,0.6711,2.43979
534,0.66781,2.44244
535,0.66453,2.44413
536,0.66124,2.44497
537,0.65796,2.44581
538,0.65467,2.44664
539,0.65139,2.44748
