Wavelength (nm),MAPITejas2_n,MAPITejas2_k
300,0.27444,0.83129
301,0.28122,0.83912
302,0.288,0.84695
303,0.29479,0.85478
304,0.30157,0.86261
305,0.30835,0.87044
306,0.31514,0.87827
307,0.32192,0.88609
308,0.3287,0.89392
309,0.33548,0.90175
310,0.34227,0.90958
311,0.34905,0.91958
312,0.35583,0.92958
313,0.36262,0.93957
314,0.3694,0.94957
315,0.37618,0.95956
316,0.38297,0.97068
317,0.38975,0.98179
318,0.39653,0.9929
319,0.40332,1.00402
320,0.4101,1.01513
321,0.41688,1.02792
322,0.42367,1.04071
323,0.43045,1.0535
324,0.43723,1.06629
325,0.44401,1.07907
326,0.45885,1.09187
327,0.47369,1.10467
328,0.48853,1.11747
329,0.50337,1.13026
330,0.51821,1.14306
331,0.53939,1.15566
332,0.56057,1.16825
333,0.58174,1.18085
334,0.60292,1.19345
335,0.62409,1.20604
336,0.65116,1.21861
337,0.67822,1.23118
338,0.70528,1.24374
339,0.73234,1.25631
340,0.7594,1.26887
341,0.79262,1.28065
342,0.82584,1.29243
343,0.85906,1.30422
344,0.89227,1.316
345,0.92549,1.32778
346,0.97581,1.33443
347,1.02614,1.34109
348,1.07646,1.34774
349,1.12678,1.35439
350,1.17711,1.36104
351,1.2068,1.36334
352,1.23649,1.36564
353,1.26618,1.36794
354,1.29588,1.37023
355,1.32557,1.37253
356,1.36877,1.37239
357,1.41198,1.37225
358,1.45518,1.37211
359,1.49838,1.37197
360,1.54159,1.37183
361,1.58076,1.36835
362,1.61993,1.36488
363,1.6591,1.36141
364,1.69827,1.35793
365,1.73744,1.35446
366,1.7702,1.34694
367,1.80295,1.33942
368,1.83571,1.3319
369,1.86846,1.32438
370,1.90122,1.31685
371,1.93107,1.30333
372,1.96092,1.28981
373,1.99078,1.27629
374,2.02063,1.26276
375,2.05048,1.24924
376,2.07929,1.23598
377,2.1081,1.22271
378,2.13691,1.20945
379,2.16572,1.19619
380,2.19453,1.18292
381,2.2078,1.17066
382,2.22107,1.1584
383,2.23434,1.14613
384,2.24761,1.13387
385,2.26088,1.12161
386,2.26843,1.10729
387,2.27597,1.09297
388,2.28351,1.07865
389,2.29105,1.06433
390,2.2986,1.05001
391,2.30412,1.04145
392,2.30965,1.03288
393,2.31517,1.02431
394,2.3207,1.01575
395,2.32622,1.00718
396,2.32928,0.99392
397,2.33233,0.98066
398,2.33539,0.9674
399,2.33845,0.95414
400,2.3415,0.94088
401,2.34293,0.9297
402,2.34435,0.91852
403,2.34578,0.90734
404,2.34721,0.89617
405,2.34863,0.88499
406,2.34447,0.87931
407,2.34032,0.87363
408,2.33616,0.86795
409,2.332,0.86228
410,2.32784,0.8566
411,2.32319,0.85012
412,2.31853,0.84365
413,2.31388,0.83718
414,2.30922,0.8307
415,2.30456,0.82423
416,2.30075,0.81818
417,2.29693,0.81213
418,2.29312,0.80608
419,2.2893,0.80003
420,2.28549,0.79399
421,2.28167,0.78966
422,2.27786,0.78534
423,2.27404,0.78101
424,2.27022,0.77669
425,2.26641,0.77236
426,2.26259,0.76809
427,2.25878,0.76382
428,2.25496,0.75955
429,2.25115,0.75528
430,2.24733,0.75101
431,2.24458,0.74822
432,2.24182,0.74544
433,2.23907,0.74265
434,2.23632,0.73986
435,2.23356,0.73708
436,2.23096,0.73461
437,2.22835,0.73214
438,2.22575,0.72967
439,2.22315,0.7272
440,2.22054,0.72473
441,2.21794,0.72443
442,2.21534,0.72414
443,2.21274,0.72385
444,2.21013,0.72355
445,2.20753,0.72326
446,2.20836,0.72285
447,2.20919,0.72244
448,2.21002,0.72204
449,2.21085,0.72163
450,2.21168,0.72122
451,2.21257,0.72049
452,2.21346,0.71975
453,2.21434,0.71901
454,2.21523,0.71828
455,2.21612,0.71754
456,2.21753,0.7168
457,2.21894,0.71606
458,2.22036,0.71533
459,2.22177,0.71459
460,2.22318,0.71385
461,2.22746,0.7131
462,2.23175,0.71234
463,2.23603,0.71158
464,2.24031,0.71082
465,2.24459,0.71006
466,2.24889,0.70886
467,2.2532,0.70765
468,2.2575,0.70645
469,2.2618,0.70524
470,2.26611,0.70404
471,2.27163,0.70283
472,2.27716,0.70163
473,2.28268,0.70043
474,2.28821,0.69922
475,2.29373,0.69802
476,2.29979,0.69645
477,2.30584,0.69488
