Wavelength (nm),MoOxBrabec_n,MoOxBrabec_k
350,1.8634,0.02344
351,1.86132,0.02267
352,1.85924,0.0219
353,1.85716,0.02113
354,1.85507,0.02035
355,1.85299,0.01964
356,1.85081,0.01913
357,1.84828,0.01862
358,1.84574,0.01811
359,1.84321,0.0176
360,1.84068,0.01709
361,1.83814,0.01658
362,1.83561,0.01607
363,1.83307,0.01568
364,1.83151,0.01531
365,1.8302,0.01495
366,1.82889,0.01458
367,1.82758,0.01421
368,1.82627,0.01385
369,1.82496,0.01348
370,1.82366,0.01311
371,1.82235,0.01274
372,1.82104,0.0125
373,1.81973,0.01232
374,1.81842,0.01214
375,1.81711,0.01197
376,1.8158,0.01179
377,1.81423,0.01161
378,1.81259,0.01143
379,1.81094,0.01125
380,1.80929,0.01107
381,1.80764,0.01089
382,1.80599,0.01071
383,1.80434,0.01054
384,1.80269,0.01036
385,1.80104,0.01018
386,1.79919,0.01
387,1.79712,0.00982
388,1.79505,0.00964
389,1.79299,0.00947
390,1.79092,0.0093
391,1.78885,0.00913
392,1.78678,0.00896
393,1.78476,0.00879
394,1.78358,0.00862
395,1.78239,0.00844
396,1.7812,0.00827
397,1.78001,0.0081
398,1.77882,0.00793
399,1.77764,0.00776
400,1.77645,0.00759
401,1.77526,0.00742
402,1.77407,0.00725
403,1.77289,0.00714
404,1.7717,0.0071
405,1.77051,0.00706
406,1.76935,0.00702
407,1.76844,0.00699
408,1.76753,0.00695
409,1.76661,0.00691
410,1.7657,0.00687
411,1.76479,0.00684
412,1.76387,0.0068
413,1.76296,0.00676
414,1.76204,0.00672
415,1.76113,0.00669
416,1.76022,0.00665
417,1.7593,0.00661
418,1.75839,0.00657
419,1.75749,0.00654
420,1.75677,0.0065
421,1.75606,0.00646
422,1.75534,0.00642
423,1.75462,0.00639
424,1.7539,0.00635
425,1.75318,0.00635
426,1.75247,0.00639
427,1.75175,0.00643
428,1.75103,0.00647
429,1.75031,0.00651
430,1.74959,0.00655
431,1.74888,0.00659
432,1.74816,0.00663
433,1.74744,0.00668
434,1.74672,0.00672
435,1.746,0.00676
436,1.74529,0.0068
437,1.74458,0.00684
438,1.74386,0.00688
439,1.74315,0.00692
440,1.74244,0.00696
441,1.74172,0.007
442,1.74101,0.00704
