Wavelength (nm),P3HT_n,P3HT_k
300,1.1,0.06995
301,1.10014,0.06946
302,1.10028,0.06873
303,1.10043,0.06775
304,1.10057,0.06749
305,1.10071,0.06699
306,1.10085,0.06599
307,1.10099,0.06572
308,1.10114,0.06569
309,1.10128,0.06516
310,1.10142,0.06488
311,1.10156,0.06484
312,1.10171,0.06455
313,1.10185,0.06401
314,1.10199,0.06397
315,1.10213,0.06367
316,1.10227,0.06312
317,1.10242,0.06307
318,1.10256,0.06326
319,1.1027,0.06346
320,1.10284,0.06341
321,1.10298,0.06361
322,1.10313,0.0638
323,1.10327,0.064
324,1.10341,0.0642
325,1.10355,0.06414
326,1.1037,0.06434
327,1.10384,0.06453
328,1.10398,0.06499
329,1.10412,0.06624
330,1.10426,0.06644
331,1.10441,0.06664
332,1.10455,0.06737
333,1.10469,0.0681
334,1.10483,0.06857
335,1.10497,0.06905
336,1.10512,0.06979
337,1.10526,0.06946
338,1.1054,0.06617
339,1.10554,0.06501
340,1.10569,0.06439
341,1.10583,0.06268
342,1.10597,0.06123
343,1.10611,0.0606
344,1.10625,0.06077
345,1.1064,0.0615
346,1.10654,0.06085
347,1.10668,0.06158
348,1.10682,0.06314
349,1.10696,0.06415
350,1.10711,0.06573
351,1.10725,0.06759
352,1.10739,0.06919
353,1.10753,0.06995
354,1.10768,0.07155
355,1.10782,0.0726
356,1.10796,0.07337
357,1.1081,0.07415
358,1.10824,0.07521
359,1.10839,0.07599
360,1.10853,0.07706
361,1.10867,0.07871
362,1.10881,0.07951
363,1.10895,0.08117
364,1.1091,0.08284
365,1.10924,0.08394
366,1.10938,0.08475
367,1.10952,0.08615
368,1.10967,0.08756
369,1.10981,0.08839
370,1.10995,0.08951
371,1.11009,0.09123
372,1.11023,0.09206
373,1.11038,0.0938
374,1.11052,0.09494
375,1.11066,0.09609
376,1.1108,0.09784
377,1.11094,0.0996
378,1.11109,0.10137
379,1.11123,0.10315
380,1.11137,0.10584
381,1.11151,0.10763
382,1.11166,0.10883
383,1.1118,0.11033
384,1.11194,0.11245
385,1.11208,0.11489
386,1.11222,0.11734
387,1.11237,0.11826
388,1.11251,0.11826
389,1.11265,0.12011
390,1.11279,0.12197
391,1.11293,0.12384
392,1.11308,0.12571
393,1.11322,0.12791
394,1.11336,0.13043
395,1.1135,0.13328
396,1.11365,0.13677
397,1.11379,0.13932
398,1.11393,0.14157
399,1.11407,0.14352
400,1.11421,0.14515
401,1.11436,0.14807
402,1.1145,0.15131
403,1.11464,0.15393
404,1.11478,0.15592
405,1.11492,0.15857
406,1.11507,0.16057
407,1.11521,0.16259
408,1.11535,0.16558
409,1.11549,0.16859
410,1.11563,0.17064
411,1.11578,0.17269
412,1.11592,0.17475
413,1.11606,0.17682
414,1.1144,0.17955
415,1.11617,0.1823
416,1.1201,0.18472
