Wavelength (nm),P3HTPCBMBlendDCB_n,P3HTPCBMBlendDCB_k
300,1.75,0.1888075
301,1.75,0.186179
302,1.75,0.1835085
303,1.75,0.180866
304,1.75,0.178395
305,1.75,0.176253
306,1.74,0.1740165
307,1.74,0.1718395
308,1.74,0.16975
309,1.74,0.1680945
310,1.73,0.16639
311,1.73,0.1646505
312,1.73,0.1631035
313,1.725,0.161462
314,1.72,0.159866
315,1.72,0.160181
316,1.72,0.1604575
317,1.72,0.1606955
318,1.71,0.1610665
319,1.71,0.1614375
320,1.71,0.161798
321,1.71,0.162246
322,1.7,0.162645
323,1.7,0.1628795
324,1.7,0.1637545
325,1.7,0.164969
326,1.7,0.1668065
327,1.7,0.168588
328,1.7,0.170289
329,1.7,0.1718745
330,1.7,0.1734355
331,1.7,0.1750945
332,1.7,0.176722
333,1.7,0.1783075
334,1.7,0.1797075
335,1.71,0.1810375
336,1.71,0.1810655
337,1.71,0.18095
338,1.72,0.180425
339,1.72,0.1799175
340,1.72,0.179424
341,1.73,0.1778665
342,1.73,0.1759275
343,1.73,0.173614
344,1.73,0.1712095
345,1.73,0.1683325
346,1.74,0.165354
347,1.74,0.162148
348,1.74,0.15904
349,1.74,0.1560545
350,1.74,0.1527155
351,1.74,0.149128
352,1.74,0.1456175
353,1.74,0.144454
354,1.74,0.1457827
355,1.74,0.1466898
356,1.73,0.147594
357,1.73,0.1486076
358,1.73,0.1496198
359,1.73,0.1505578
360,1.73,0.1515098
361,1.73,0.1524494
362,1.73,0.1534011
363,1.73,0.1540478
364,1.72,0.1546951
365,1.72,0.155601
366,1.72,0.1565115
367,1.72,0.1574092
368,1.72,0.1583137
369,1.71,0.1588511
370,1.71,0.1593958
371,1.71,0.1601924
372,1.71,0.1609873
373,1.71,0.1617109
374,1.71,0.1624352
375,1.71,0.1630175
376,1.7,0.1636067
377,1.7,0.1644682
378,1.7,0.1653376
379,1.7,0.166222
380,1.7,0.1671132
381,1.69,0.1677378
382,1.69,0.1683561
383,1.69,0.1693214
384,1.69,0.1702799
385,1.69,0.1708582
386,1.68,0.1714375
387,1.68,0.1723773
388,1.68,0.1733186
389,1.68,0.1742736
390,1.68,0.1752262
391,1.68,0.1758401
392,1.67,0.1764469
393,1.67,0.1773731
394,1.67,0.1782993
395,1.67,0.1791719
396,1.67,0.1800376
397,1.66,0.1805361
398,1.66,0.1810277
399,1.66,0.1819545
400,1.66,0.1828747
401,1.66,0.18355
402,1.65,0.1842261
403,1.65,0.1853445
404,1.65,0.1864719
405,1.65,0.187755
406,1.65,0.1890381
407,1.65,0.1899754
408,1.64,0.1909199
409,1.64,0.1922111
410,1.64,0.1935022
411,1.64,0.1947592
412,1.64,0.1960159
413,1.63,0.1969254
414,1.63,0.1978417
415,1.63,0.1990982
416,1.63,0.2003547
417,1.63,0.2016317
418,1.63,0.2029019
419,1.62,0.2037097
420,1.62,0.2045122
421,1.62,0.2059141
422,1.62,0.2073091
423,1.62,0.2087248
424,1.62,0.2101472
425,1.62,0.211767
426,1.62,0.2133867
427,1.62,0.2146665
428,1.61,0.215953
429,1.61,0.2177632
430,1.61,0.2195734
431,1.61,0.2214311
432,1.61,0.2232953
433,1.61,0.2250507
434,1.61,0.2268051
435,1.61,0.2284227
436,1.61,0.2300404
437,1.61,0.231568
438,1.61,0.2331018
439,1.61,0.2346152
440,1.61,0.2361287
441,1.61,0.237683
442,1.61,0.2392305
443,1.61,0.2408869
444,1.61,0.2425502
445,1.61,0.2447778
446,1.62,0.247006
447,1.62,0.248704
448,1.62,0.250402
449,1.62,0.2521338
450,1.62,0.2538654
451,1.62,0.2556105
452,1.62,0.2573625
453,1.63,0.2598285
454,1.63,0.2622946
455,1.63,0.2641143
456,1.63,0.2659335
457,1.64,0.2684736
458,1.64,0.2710134
459,1.64,0.2735798
460,1.65,0.2761461
461,1.65,0.277842
462,1.65,0.2795382
463,1.66,0.2818124
464,1.66,0.2840934
465,1.66,0.2853477
466,1.66,0.2866021
467,1.67,0.2890533
468,1.67,0.2915113
469,1.68,0.2946018
470,1.68,0.2976923
471,1.69,0.3009732
472,1.69,0.304254
473,1.7,0.3073036
474,1.7,0.3103531
475,1.71,0.3142516
476,1.72,0.3181487
477,1.72,0.3202574
478,1.725,0.322366
