Wavelength (nm),PBDTTPDPC70BMVLC_n,PBDTTPDPC70BMVLC_k
300,2.00843,0.39856
301,2.00899,0.39266
302,2.00927,0.38682
303,2.00944,0.381
304,2.00944,0.37522
305,2.00923,0.3695
306,2.00891,0.36382
307,2.00837,0.3582
308,2.00767,0.35264
309,2.00686,0.34713
310,2.00578,0.34172
311,2.00461,0.33637
312,2.00327,0.33109
313,2.00173,0.32593
314,2.00009,0.32082
315,1.99825,0.31584
316,1.99625,0.31096
317,1.99416,0.30615
318,1.99184,0.30152
319,1.98941,0.29698
320,1.98686,0.29255
321,1.98412,0.2883
322,1.98129,0.28414
323,1.97831,0.28016
324,1.97519,0.27634
325,1.972,0.27263
326,1.96864,0.26916
327,1.96519,0.26582
328,1.96166,0.26263
329,1.958,0.2597
330,1.95429,0.25689
331,1.95049,0.2543
332,1.94661,0.25194
333,1.9427,0.24971
334,1.93871,0.24777
335,1.9347,0.246
336,1.93067,0.2444
337,1.92661,0.24312
338,1.92255,0.24197
339,1.91849,0.24106
340,1.91447,0.2404
341,1.91046,0.23988
342,1.90651,0.23966
343,1.90262,0.23961
344,1.89876,0.23972
345,1.89504,0.24014
346,1.89137,0.24067
347,1.88781,0.24141
348,1.8844,0.24236
349,1.88106,0.24343
350,1.8779,0.24472
351,1.87488,0.24614
352,1.87196,0.24767
353,1.86929,0.2494
354,1.86674,0.25121
355,1.86435,0.25312
356,1.86219,0.25515
357,1.86015,0.25723
358,1.85834,0.2594
359,1.85672,0.26162
360,1.85522,0.26386
361,1.85401,0.26615
362,1.85292,0.26843
363,1.85201,0.27073
364,1.85133,0.27299
365,1.85076,0.27524
366,1.8504,0.27744
367,1.8502,0.27959
368,1.85011,0.2817
369,1.85023,0.2837
370,1.85045,0.28563
371,1.85079,0.28749
372,1.85128,0.28922
373,1.85183,0.29088
374,1.8525,0.2924
375,1.85326,0.29381
376,1.85406,0.29514
377,1.85496,0.29629
378,1.85588,0.29735
379,1.85685,0.2983
380,1.85784,0.29909
381,1.85884,0.29979
382,1.85985,0.30035
383,1.86085,0.30079
384,1.86184,0.30115
385,1.86278,0.30136
386,1.8637,0.30148
387,1.86458,0.30152
388,1.86539,0.30143
389,1.86615,0.30129
390,1.86684,0.30105
391,1.86744,0.30074
392,1.86799,0.30038
393,1.86843,0.29995
394,1.86878,0.29948
395,1.86907,0.29898
396,1.86922,0.29844
397,1.8693,0.29788
398,1.86928,0.29731
399,1.86914,0.29675
400,1.86894,0.29618
401,1.8686,0.29564
402,1.86818,0.29512
403,1.86769,0.29462
404,1.86705,0.29418
405,1.86636,0.29378
406,1.86558,0.29344
407,1.8647,0.29317
408,1.86377,0.29295
409,1.86274,0.29284
410,1.86166,0.2928
411,1.86053,0.29282
412,1.85932,0.29299
413,1.85808,0.29323
414,1.8568,0.29356
415,1.85547,0.29404
416,1.85414,0.29458
417,1.85277,0.29527
418,1.8514,0.29608
419,1.85003,0.29695
420,1.84867,0.29802
421,1.84731,0.29916
422,1.84598,0.30041
423,1.84469,0.30182
424,1.84342,0.3033
425,1.84221,0.30493
426,1.84105,0.30666
427,1.83993,0.30847
428,1.83892,0.31044
429,1.83796,0.31248
430,1.83706,0.31461
431,1.83629,0.31686
432,1.83559,0.31917
433,1.83499,0.32158
434,1.83451,0.32407
435,1.8341,0.3266
436,1.83386,0.32923
437,1.8337,0.3319
438,1.83365,0.33462
439,1.83377,0.33739
440,1.83397,0.34019
441,1.83431,0.34302
442,1.8348,0.34587
443,1.83538,0.34873
444,1.83614,0.35161
445,1.837,0.35447
446,1.83797,0.35734
447,1.83912,0.36018
448,1.84036,0.363
449,1.84173,0.3658
450,1.84324,0.36855
451,1.84484,0.37127
452,1.84659,0.37392
453,1.84844,0.37653
454,1.85038,0.37909
455,1.85247,0.38155
456,1.85463,0.38396
457,1.85688,0.3863
458,1.85925,0.38853
459,1.86167,0.39071
460,1.8642,0.39277
461,1.8668,0.39474
462,1.86945,0.39665
463,1.8722,0.3984
464,1.87498,0.40009
465,1.87781,0.40167
466,1.8807,0.40312
467,1.88362,0.40451
468,1.88658,0.40575
469,1.88956,0.40689
470,1.89256,0.40797
471,1.89558,0.40887
472,1.8986,0.4097
473,1.90163,0.41043
474,1.90465,0.41102
475,1.90767,0.41155
476,1.91067,0.41195
477,1.91364,0.41226
478,1.91661,0.41249
479,1.91952,0.41259
480,1.92241,0.41262
481,1.92526,0.41258
482,1.92805,0.41242
483,1.93081,0.41221
484,1.93351,0.41191
485,1.93615,0.41154
486,1.93874,0.41112
487,1.94125,0.41061
488,1.9437,0.41006
489,1.9461,0.40947
490,1.9484,0.40881
491,1.95065,0.40813
492,1.95282,0.4074
493,1.95491,0.40665
494,1.95695,0.40587
495,1.95888,0.40507
496,1.96075,0.40426
497,1.96256,0.40345
498,1.96426,0.40263
499,1.96592,0.40181
500,1.96749,0.40101
501,1.96899,0.40022
502,1.97044,0.39944
503,1.97181,0.3987
504,1.97312,0.39798
505,1.97439,0.39729
506,1.97557,0.39666
507,1.97672,0.39605
508,1.97783,0.39549
509,1.97888,0.395
510,1.97991,0.39453
511,1.98089,0.39414
512,1.98186,0.39381
513,1.9828,0.39351
514,1.98372,0.39332
515,1.98463,0.39316
516,1.98554,0.39307
517,1.98645,0.39306
518,1.98737,0.39309
519,1.9883,0.39321
520,1.98925,0.39338
521,1.99022,0.3936
522,1.99123,0.39391
523,1.99227,0.39427
524,1.99335,0.39467
525,1.99449,0.39515
526,1.99566,0.39565
527,1.9969,0.39621
528,1.99821,0.39682
529,1.99956,0.39745
530,2.00102,0.39812
531,2.00253,0.39882
532,2.0041,0.39953
533,2.00579,0.40027
534,2.00753,0.40101
535,2.00937,0.40175
536,2.0113,0.40249
537,2.01328,0.40323
538,2.01539,0.40394
539,2.01758,0.40462
540,2.01982,0.40529
541,2.0222,0.4059
542,2.02463,0.40649
543,2.02714,0.40702
544,2.02975,0.40748
545,2.03241,0.4079
546,2.03517,0.40823
547,2.03798,0.40848
548,2.04085,0.40869
549,2.04381,0.40876
550,2.0468,0.40876
551,2.04984,0.40868
552,2.05293,0.40846
553,2.05605,0.40818
554,2.05921,0.40775
555,2.06239,0.40722
556,2.06558,0.40661
557,2.06878,0.40582
558,2.07198,0.40494
559,2.07518,0.40395
560,2.07835,0.40279
561,2.08151,0.40156
562,2.08462,0.40017
563,2.08769,0.39866
564,2.09073,0.39706
565,2.09367,0.39528
566,2.09656,0.39342
567,2.09938,0.39145
568,2.10208,0.38933
569,2.1047,0.38714
570,2.1072,0.38483
571,2.10957,0.38241
572,2.11185,0.37994
573,2.11393,0.37734
574,2.11588,0.37469
575,2.11771,0.37199
576,2.1193,0.36922
577,2.12077,0.36642
578,2.12204,0.36358
579,2.12309,0.36074
580,2.124,0.35791
581,2.12464,0.35509
582,2.12509,0.35232
583,2.12539,0.34959
584,2.12538,0.34697
585,2.12522,0.34443
586,2.12485,0.34201
587,2.12423,0.33978
588,2.12348,0.33765
589,2.12248,0.33578
590,2.12133,0.33412
591,2.12006,0.33261
592,2.11856,0.33152
593,2.117,0.33063
594,2.11533,0.33004
595,2.11359,0.32987
596,2.11181,0.32993
597,2.11003,0.33044
598,2.10829,0.33134
599,2.10658,0.33248
600,2.10505,0.33422
601,2.10364,0.33624
602,2.10239,0.33861
603,2.10149,0.34148
604,2.10079,0.34459
605,2.10047,0.34811
606,2.10057,0.35195
607,2.10094,0.35599
608,2.10198,0.3604
609,2.10342,0.36494
610,2.10528,0.36964
611,2.10794,0.37447
612,2.11098,0.37933
613,2.11467,0.38421
614,2.11904,0.38898
615,2.12381,0.39369
616,2.1294,0.39814
617,2.13548,0.40235
618,2.14198,0.40636
619,2.14929,0.40982
620,2.15691,0.41298
621,2.16503,0.41569
622,2.17364,0.41775
623,2.18251,0.41945
624,2.1918,0.4204
625,2.20133,0.42074
626,2.21102,0.42068
627,2.22095,0.41958
628,2.23093,0.41803
629,2.24096,0.41586
630,2.25095,0.41281
631,2.26088,0.40932
632,2.27067,0.40503
633,2.28025,0.4001
634,2.28968,0.39476
635,2.2987,0.38853
636,2.30745,0.3819
637,2.31591,0.37482
638,2.32379,0.36705
639,2.33139,0.35899
640,2.33847,0.35045
641,2.345,0.34151
642,2.35119,0.33234
643,2.35665,0.32277
644,2.36166,0.31301
645,2.36626,0.30308
646,2.37003,0.29292
647,2.37345,0.2827
648,2.3763,0.27239
649,2.3785,0.26204
650,2.38035,0.25169
651,2.3815,0.24139
652,2.3822,0.23117
653,2.38255,0.221
654,2.38217,0.21105
655,2.3815,0.20122
656,2.38041,0.19155
657,2.37879,0.18217
658,2.37693,0.17293
659,2.37461,0.164
660,2.37197,0.15534
661,2.36912,0.14686
662,2.36584,0.13881
663,2.36238,0.13098
664,2.35871,0.12341
665,2.35475,0.11627
666,2.35068,0.10934
667,2.34643,0.10275
668,2.34202,0.09651
669,2.33754,0.09048
670,2.33292,0.08487
671,2.32824,0.0795
672,2.32352,0.07436
673,2.31874,0.06965
674,2.31395,0.06511
675,2.30914,0.06085
676,2.30435,0.0569
677,2.29956,0.05312
678,2.29481,0.04965
679,2.29011,0.04638
680,2.28543,0.04326
681,2.28084,0.04047
682,2.27629,0.0378
683,2.27181,0.03531
684,2.26743,0.03304
685,2.26309,0.03088
686,2.25886,0.02891
687,2.25471,0.02708
688,2.25062,0.02534
689,2.24667,0.02379
690,2.24277,0.02232
691,2.23895,0.02095
692,2.23526,0.01971
693,2.23163,0.01854
694,2.22809,0.01746
695,2.22465,0.01647
696,2.22126,0.01553
697,2.21799,0.01468
698,2.21479,0.01389
699,2.21164,0.01313
700,2.20862,0.01246
701,2.20564,0.01182
702,2.20274,0.01122
703,2.19992,0.01067
704,2.19715,0.01015
705,2.19446,0.00967
706,2.19184,0.00922
707,2.18926,0.00879
708,2.18677,0.00841
709,2.18431,0.00803
710,2.18191,0.00768
711,2.17958,0.00736
712,2.17729,0.00705
713,2.17505,0.00675
714,2.17286,0.00648
715,2.17071,0.00622
716,2.16862,0.00597
717,2.16656,0.00574
718,2.16454,0.00551
719,2.16257,0.00531
720,2.16063,0.0051
721,2.15873,0.00491
722,2.15687,0.00473
723,2.15504,0.00456
724,2.15324,0.00439
725,2.15148,0.00423
726,2.14974,0.00408
727,2.14805,0.00394
728,2.14638,0.0038
729,2.14473,0.00366
730,2.14312,0.00354
731,2.14153,0.00341
732,2.13997,0.0033
733,2.13844,0.00318
734,2.13692,0.00308
735,2.13544,0.00297
736,2.13397,0.00287
737,2.13253,0.00278
738,2.13111,0.00269
739,2.12971,0.0026
740,2.12833,0.00251
741,2.12698,0.00243
742,2.12564,0.00235
743,2.12432,0.00227
744,2.12302,0.0022
745,2.12173,0.00213
746,2.12048,0.00206
747,2.11923,0.002
748,2.118,0.00193
749,2.11679,0.00187
750,2.11559,0.00181
751,2.11441,0.00176
752,2.11325,0.0017
753,2.11209,0.00165
754,2.11096,0.0016
755,2.10984,0.00155
756,2.10873,0.0015
757,2.10764,0.00146
758,2.10656,0.00141
759,2.10549,0.00137
760,2.10444,0.00133
761,2.1034,0.00129
762,2.10237,0.00125
763,2.10136,0.00121
764,2.10035,0.00118
765,2.09936,0.00114
766,2.09838,0.00111
767,2.09741,0.00108
768,2.09646,0.00105
769,2.09551,0.00102
770,2.09457,9.87463E-4
771,2.09365,9.59237E-4
772,2.09273,9.31597E-4
773,2.09183,9.05676E-4
774,2.09093,8.80077E-4
775,2.09004,8.54787E-4
776,2.08917,8.31258E-4
777,2.0883,8.08081E-4
778,2.08744,7.85316E-4
779,2.08659,7.6352E-4
780,2.08575,7.42252E-4
781,2.08492,7.22015E-4
782,2.0841,7.02159E-4
783,2.08328,6.82581E-4
784,2.08247,6.64238E-4
785,2.08168,6.46173E-4
