Wavelength (nm),PBDTTPDaloneVLC_n,PBDTTPDaloneVLC_k
300,1.82104,0.23265
301,1.8207,0.22733
302,1.82007,0.2221
303,1.81932,0.21691
304,1.8184,0.21179
305,1.81727,0.20675
306,1.81603,0.20177
307,1.81459,0.19689
308,1.81299,0.19209
309,1.8113,0.18735
310,1.80937,0.18277
311,1.80736,0.17825
312,1.80521,0.17383
313,1.80289,0.16956
314,1.8005,0.16536
315,1.79795,0.1613
316,1.79529,0.15736
317,1.79256,0.15351
318,1.78967,0.14984
319,1.78672,0.14627
320,1.78367,0.14282
321,1.78052,0.13955
322,1.77731,0.13637
323,1.77402,0.13335
324,1.77065,0.13048
325,1.76724,0.12771
326,1.76375,0.12514
327,1.76023,0.12269
328,1.75666,0.12036
329,1.75305,0.11823
330,1.74942,0.11619
331,1.74576,0.11432
332,1.74208,0.11261
333,1.7384,0.111
334,1.73471,0.10958
335,1.73102,0.10829
336,1.72733,0.1071
337,1.72367,0.1061
338,1.72002,0.1052
339,1.71639,0.10444
340,1.71281,0.10382
341,1.70924,0.10329
342,1.70573,0.10292
343,1.70226,0.10266
344,1.69882,0.10247
345,1.69547,0.10245
346,1.69215,0.1025
347,1.6889,0.10265
348,1.68572,0.10291
349,1.68258,0.10323
350,1.67954,0.10366
351,1.67656,0.10416
352,1.67362,0.10471
353,1.6708,0.10536
354,1.66803,0.10606
355,1.66533,0.10681
356,1.66272,0.10762
357,1.66016,0.10847
358,1.6577,0.10937
359,1.6553,0.11031
360,1.65294,0.11127
361,1.65069,0.11227
362,1.64849,0.11329
363,1.64635,0.11434
364,1.64428,0.1154
365,1.64226,0.11648
366,1.6403,0.11757
367,1.6384,0.11867
368,1.63653,0.11978
369,1.63473,0.1209
370,1.63296,0.12202
371,1.63123,0.12315
372,1.62956,0.12428
373,1.6279,0.12542
374,1.62629,0.12656
375,1.6247,0.1277
376,1.62314,0.12884
377,1.62161,0.12999
378,1.6201,0.13114
379,1.61861,0.1323
380,1.61714,0.13347
381,1.61569,0.13465
382,1.61425,0.13584
383,1.61284,0.13704
384,1.61143,0.13825
385,1.61004,0.13948
386,1.60867,0.14073
387,1.6073,0.142
388,1.60596,0.14329
389,1.60462,0.1446
390,1.60331,0.14594
391,1.60201,0.1473
392,1.60072,0.14869
393,1.59946,0.15011
394,1.59822,0.15157
395,1.59699,0.15304
396,1.5958,0.15457
397,1.59463,0.15611
398,1.59348,0.1577
399,1.59238,0.15932
400,1.59129,0.16096
