Wavelength (nm),PCE10PC60BMVLC_n,PCE10PC60BMVLC_k
300,1.95924,0.35861
301,1.95651,0.35486
302,1.95377,0.35155
303,1.95101,0.3484
304,1.9482,0.34549
305,1.94536,0.34284
306,1.94253,0.34031
307,1.93972,0.33798
308,1.93692,0.33581
309,1.93413,0.33375
310,1.93129,0.33203
311,1.92842,0.33047
312,1.92551,0.32917
313,1.92258,0.32826
314,1.91966,0.32758
315,1.91675,0.32733
316,1.91391,0.32747
317,1.9111,0.32787
318,1.90843,0.32891
319,1.90585,0.33027
320,1.9034,0.33201
321,1.90132,0.33437
322,1.89948,0.33701
323,1.89811,0.34017
324,1.89732,0.34375
325,1.8969,0.34757
326,1.89744,0.35181
327,1.89856,0.35618
328,1.90032,0.36069
329,1.90325,0.36516
330,1.90676,0.36949
331,1.91127,0.37352
332,1.91677,0.37699
333,1.92281,0.38011
334,1.92982,0.38219
335,1.93718,0.38351
336,1.94487,0.3841
337,1.95282,0.38315
338,1.96076,0.38159
339,1.96861,0.37903
340,1.97608,0.37557
341,1.98331,0.37164
342,1.98985,0.36685
343,1.99592,0.36165
344,2.0016,0.3561
345,2.00645,0.35003
346,2.01093,0.34381
347,2.01485,0.33737
348,2.01812,0.33078
349,2.02106,0.32413
350,2.02335,0.31745
351,2.02522,0.31082
352,2.02678,0.30423
353,2.02771,0.29778
354,2.0284,0.2914
355,2.02875,0.28515
356,2.02871,0.27909
357,2.02849,0.27314
358,2.02795,0.26744
359,2.02722,0.26198
360,2.02635,0.25667
361,2.02523,0.2518
362,2.02405,0.2471
363,2.02277,0.24264
364,2.02143,0.23841
365,2.02007,0.23428
366,2.01872,0.23027
367,2.0174,0.22632
368,2.01609,0.22241
369,2.01477,0.21857
370,2.0134,0.21477
371,2.01197,0.21102
372,2.01039,0.20734
373,2.00874,0.2037
374,2.00697,0.20015
375,2.00511,0.1967
376,2.00321,0.19331
377,2.00123,0.19009
378,1.99924,0.18696
379,1.99723,0.18394
380,1.9952,0.1811
381,1.99318,0.17833
382,1.99115,0.17571
383,1.98914,0.1732
384,1.98714,0.17076
385,1.98516,0.16847
386,1.98319,0.16624
387,1.98123,0.16407
388,1.97928,0.16199
389,1.97733,0.15993
390,1.97537,0.15791
391,1.9734,0.15593
392,1.97142,0.15398
393,1.96941,0.15208
394,1.96736,0.15022
395,1.96527,0.14839
396,1.96312,0.14665
397,1.96093,0.14496
398,1.95871,0.14333
399,1.95647,0.14182
400,1.95424,0.14036
401,1.95204,0.13906
402,1.9499,0.13786
403,1.94779,0.13676
404,1.9458,0.13584
405,1.94388,0.13498
406,1.94207,0.13421
407,1.94041,0.13351
408,1.93884,0.13283
409,1.93746,0.1322
410,1.93622,0.13157
411,1.93507,0.13094
412,1.93408,0.13029
413,1.93314,0.12962
414,1.93226,0.12893
415,1.93141,0.12818
416,1.93056,0.1274
417,1.9297,0.12656
418,1.92881,0.1257
419,1.92791,0.12481
420,1.92698,0.12392
421,1.92602,0.12304
422,1.92504,0.12219
423,1.92403,0.1214
424,1.92299,0.12065
