Wavelength (nm),PM6Y6Brabec_n,PM6Y6Brabec_k
350,1.64651,0.204
351,1.64633,0.204
352,1.64616,0.204
353,1.64597,0.204
354,1.64576,0.204
355,1.64553,0.204
356,1.64529,0.203
357,1.64503,0.203
358,1.64475,0.203
359,1.64445,0.204
360,1.64413,0.203
361,1.6438,0.202
362,1.64345,0.201
363,1.64308,0.2
364,1.64269,0.199
365,1.64228,0.199
366,1.64185,0.2
367,1.6414,0.202
368,1.64093,0.205
369,1.64045,0.208
370,1.63994,0.209
371,1.63941,0.21
372,1.63887,0.211
373,1.6383,0.211
374,1.63771,0.211
375,1.6371,0.21
376,1.63647,0.209
377,1.63582,0.208
378,1.63515,0.208
379,1.63445,0.207
380,1.63374,0.206
381,1.633,0.205
382,1.63224,0.204
383,1.63146,0.203
384,1.63065,0.201
385,1.62983,0.199
386,1.62898,0.197
387,1.62811,0.195
388,1.62722,0.193
389,1.62631,0.191
390,1.62537,0.19
391,1.62441,0.189
392,1.62343,0.189
393,1.62243,0.188
394,1.62141,0.188
395,1.62036,0.187
396,1.61929,0.187
397,1.61821,0.186
398,1.6171,0.186
399,1.61596,0.186
400,1.61481,0.186
401,1.61364,0.186
402,1.61245,0.187
403,1.61124,0.187
404,1.61001,0.188
405,1.60876,0.188
406,1.60749,0.189
407,1.6062,0.189
408,1.6049,0.19
409,1.60358,0.19
410,1.60224,0.19
411,1.60089,0.191
412,1.59952,0.192
413,1.59814,0.192
414,1.59674,0.193
415,1.59533,0.193
416,1.59391,0.194
417,1.59248,0.195
418,1.59104,0.195
419,1.58959,0.196
420,1.58813,0.197
421,1.58666,0.197
422,1.58519,0.198
423,1.58371,0.198
424,1.58223,0.199
425,1.58075,0.2
426,1.57926,0.201
427,1.57778,0.201
428,1.5763,0.202
429,1.57482,0.203
430,1.57335,0.203
431,1.57188,0.204
432,1.57043,0.205
433,1.56899,0.206
434,1.56756,0.207
435,1.56615,0.208
436,1.56476,0.209
437,1.5634,0.21
438,1.56208,0.211
439,1.5608,0.212
440,1.55956,0.213
441,1.55834,0.214
442,1.55714,0.216
443,1.55597,0.217
444,1.5548,0.218
445,1.55366,0.219
446,1.55253,0.221
447,1.55141,0.222
448,1.55031,0.223
449,1.54922,0.224
450,1.54815,0.225
451,1.54708,0.226
452,1.54603,0.227
453,1.54499,0.228
454,1.54395,0.23
455,1.54293,0.231
456,1.54192,0.232
457,1.54092,0.234
458,1.53993,0.235
459,1.53895,0.237
460,1.53798,0.238
461,1.53702,0.24
462,1.53607,0.241
463,1.53512,0.243
464,1.53419,0.244
465,1.53326,0.246
466,1.53235,0.248
467,1.53144,0.249
468,1.53054,0.251
469,1.52965,0.253
470,1.52877,0.255
471,1.5279,0.257
472,1.52704,0.259
473,1.52619,0.261
474,1.52534,0.263
475,1.52451,0.265
476,1.52368,0.267
477,1.52286,0.269
478,1.52205,0.271
479,1.52125,0.274
480,1.52046,0.276
481,1.51968,0.278
482,1.51891,0.28
483,1.51814,0.282
484,1.51739,0.285
485,1.51664,0.287
486,1.51591,0.289
487,1.51518,0.292
488,1.51446,0.294
489,1.51375,0.296
490,1.51306,0.298
491,1.51236,0.301
492,1.51169,0.302
493,1.51101,0.304
494,1.51035,0.307
495,1.5097,0.309
496,1.50906,0.312
497,1.50843,0.314
498,1.50781,0.316
499,1.5072,0.319
500,1.50659,0.321
501,1.506,0.324
502,1.50542,0.326
503,1.50485,0.328
504,1.50429,0.33
505,1.50373,0.332
506,1.50319,0.335
507,1.50266,0.337
508,1.50214,0.34
509,1.50163,0.343
510,1.50112,0.345
511,1.50063,0.348
512,1.50015,0.351
513,1.49968,0.354
514,1.49922,0.356
515,1.49876,0.359
516,1.49832,0.362
517,1.49789,0.365
518,1.49747,0.367
519,1.49705,0.37
520,1.49665,0.373
521,1.49626,0.376
522,1.49587,0.379
523,1.49549,0.382
524,1.49513,0.385
525,1.49477,0.388
526,1.49442,0.39
527,1.49407,0.393
528,1.49374,0.395
529,1.49341,0.398
530,1.49309,0.401
531,1.49278,0.404
532,1.49247,0.407
533,1.49217,0.41
534,1.49188,0.413
535,1.49159,0.416
536,1.4913,0.419
537,1.49102,0.421
538,1.49075,0.424
539,1.49047,0.428
540,1.4902,0.431
541,1.48994,0.434
542,1.48967,0.437
543,1.4894,0.44
544,1.48914,0.444
545,1.48887,0.447
546,1.4886,0.45
547,1.48833,0.454
548,1.48805,0.458
549,1.48777,0.461
550,1.48748,0.465
551,1.48719,0.469
552,1.48689,0.472
553,1.48658,0.477
554,1.48625,0.481
555,1.48591,0.485
556,1.48556,0.49
557,1.48519,0.495
558,1.48481,0.499
559,1.4844,0.504
560,1.48397,0.509
561,1.48351,0.514
562,1.48303,0.519
563,1.48252,0.524
564,1.48197,0.529
565,1.48138,0.534
566,1.48076,0.539
567,1.48009,0.543
568,1.47937,0.548
569,1.4786,0.553
570,1.47777,0.558
571,1.47688,0.563
572,1.47593,0.568
573,1.47489,0.572
574,1.47378,0.577
575,1.47259,0.581
576,1.4713,0.585
577,1.46992,0.589
578,1.46844,0.593
579,1.46684,0.597
580,1.46512,0.6
581,1.46329,0.603
582,1.46132,0.606
583,1.45922,0.609
584,1.457,0.612
585,1.45463,0.615
586,1.45212,0.618
587,1.44948,0.621
588,1.44669,0.624
589,1.44378,0.626
590,1.44076,0.629
591,1.43762,0.632
592,1.4344,0.635
593,1.43111,0.638
594,1.42777,0.641
595,1.42442,0.644
596,1.42109,0.648
597,1.41783,0.652
598,1.41468,0.655
599,1.41167,0.659
600,1.4089,0.664
601,1.4064,0.668
602,1.40421,0.673
603,1.40248,0.678
604,1.4012,0.683
605,1.40044,0.688
606,1.40035,0.693
607,1.4009,0.698
608,1.40216,0.704
609,1.4043,0.709
610,1.40722,0.715
611,1.41101,0.721
612,1.41578,0.726
613,1.42142,0.731
614,1.42799,0.736
615,1.43556,0.74
616,1.44399,0.745
617,1.45332,0.749
618,1.46354,0.753
619,1.47452,0.757
620,1.48626,0.76
621,1.49872,0.763
622,1.51174,0.765
623,1.52533,0.766
624,1.53938,0.768
625,1.55379,0.768
626,1.56849,0.768
627,1.5834,0.767
628,1.59842,0.766
629,1.61348,0.764
630,1.62847,0.762
631,1.64335,0.758
632,1.658,0.754
633,1.67237,0.75
634,1.6864,0.744
635,1.69998,0.738
636,1.7131,0.732
637,1.72571,0.724
638,1.73768,0.716
639,1.74905,0.707
640,1.7598,0.699
641,1.76977,0.689
642,1.77906,0.68
643,1.78764,0.67
644,1.79538,0.66
645,1.80241,0.65
646,1.80867,0.64
647,1.81411,0.629
648,1.81882,0.619
649,1.82278,0.609
650,1.82594,0.599
651,1.82843,0.589
652,1.8302,0.579
653,1.83052,0.57
654,1.82933,0.561
655,1.82815,0.553
656,1.82697,0.544
657,1.82578,0.536
658,1.8246,0.528
659,1.82341,0.521
660,1.82223,0.514
661,1.81905,0.508
662,1.81543,0.503
663,1.81149,0.498
664,1.80721,0.493
