Wavelength (nm),PS_n,PS_k
300,1.55,0
301,1.55,0
302,1.55,0
303,1.55,0
304,1.545,0
305,1.54,0
306,1.54,0
307,1.54,0
308,1.54,0
309,1.54,0
310,1.54,0
311,1.54,0
312,1.54,0
313,1.54,0
314,1.54,0
315,1.535,0
316,1.53,0
317,1.53,0
318,1.53,0
319,1.53,0
320,1.53,0
321,1.53,0
322,1.53,0
323,1.53,0
324,1.52,0
325,1.52,0
326,1.52,0
327,1.52,0
328,1.52,0
329,1.52,0
330,1.52,0
331,1.52,0
332,1.52,0
333,1.52,0
334,1.52,0
335,1.51,0
336,1.51,0
337,1.51,0
338,1.51,0
339,1.51,0
340,1.51,0
341,1.51,0
342,1.51,0
343,1.51,0
344,1.51,0
345,1.5,0
346,1.5,0
347,1.5,0
348,1.5,0
349,1.5,0
350,1.5,0
351,1.5,0
352,1.5,0
353,1.5,0
354,1.5,0
355,1.5,0
356,1.5,0
357,1.5,0
358,1.5,0
359,1.5,0
360,1.49,0
361,1.49,0
362,1.49,0
363,1.49,0
364,1.49,0
365,1.49,0
366,1.49,0
367,1.49,0
368,1.49,0
369,1.49,0
370,1.49,0
371,1.49,0
372,1.49,0
373,1.49,0
374,1.49,0
375,1.49,0
376,1.49,0
377,1.49,0
378,1.49,0
379,1.48,0
380,1.48,0
381,1.48,0
382,1.48,0
383,1.48,0
384,1.48,0
385,1.48,0
386,1.48,0
387,1.48,0
388,1.48,0
389,1.48,0
390,1.48,0
391,1.48,0
392,1.48,0
393,1.48,0
394,1.48,0
395,1.48,0
396,1.48,0
397,1.48,0
398,1.48,0
399,1.47,0
400,1.47,0
401,1.47,0
402,1.47,0
403,1.47,0
404,1.47,0
405,1.47,0
406,1.47,0
407,1.47,0
408,1.47,0
409,1.47,0
410,1.47,0
411,1.47,0
412,1.47,0
413,1.47,0
414,1.47,0
415,1.47,0
416,1.47,0
417,1.47,0
418,1.47,0
419,1.47,0
420,1.47,0
421,1.47,0
422,1.47,0
423,1.46,0
424,1.46,0
425,1.46,0
426,1.46,0
427,1.46,0
428,1.46,0
429,1.46,0
430,1.46,0
431,1.46,0
432,1.46,0
433,1.46,0
434,1.46,0
435,1.46,0
436,1.46,0
437,1.46,0
438,1.46,0
439,1.46,0
440,1.46,0
441,1.46,0
442,1.46,0
443,1.46,0
444,1.46,0
445,1.46,0
446,1.46,0
447,1.46,0
448,1.46,0
449,1.45,0
450,1.45,0
451,1.45,0
452,1.45,0
453,1.45,0
454,1.45,0
455,1.45,0
456,1.45,0
457,1.45,0
458,1.45,0
459,1.45,0
460,1.45,0
461,1.45,0
462,1.45,0
463,1.45,0
464,1.45,0
465,1.45,0
466,1.45,0
467,1.45,0
468,1.45,0
469,1.45,0
470,1.45,0
471,1.45,0
472,1.45,0
473,1.45,0
474,1.45,0
475,1.45,0
476,1.45,0
477,1.45,0
478,1.45,0
479,1.45,0
480,1.45,0
481,1.45,0
482,1.45,0
483,1.45,0
484,1.45,0
485,1.45,0
486,1.45,0
487,1.45,0
488,1.45,0
489,1.45,0
490,1.45,0
491,1.45,0
492,1.45,0
493,1.45,0
494,1.45,0
495,1.45,0
496,1.45,0
497,1.45,0
498,1.45,0
499,1.44,0
500,1.44,0
501,1.44,0
502,1.44,0
503,1.44,0
504,1.44,0
505,1.44,0
506,1.44,0
507,1.44,0
508,1.44,0
509,1.44,0
510,1.44,0
511,1.44,0
512,1.44,0
513,1.44,0
514,1.44,0
515,1.44,0
516,1.44,0
517,1.44,0
518,1.44,0
519,1.44,0
520,1.44,0
521,1.44,0
522,1.44,0
523,1.44,0
524,1.44,0
525,1.44,0
526,1.44,0
527,1.44,0
528,1.44,0
