Wavelength (nm),PSAnnealed_n,PSAnnealed_k
300,1.67,0
301,1.6692,0
302,1.6685,0
303,1.6677,0
304,1.6669,0
305,1.6662,0
306,1.6654,0
307,1.6646,0
308,1.6638,0
309,1.6631,0
310,1.6623,0
311,1.6615,0
312,1.6608,0
313,1.66,0
314,1.6594,0
315,1.6587,0
316,1.6581,0
317,1.6575,0
318,1.6569,0
319,1.6563,0
320,1.6556,0
321,1.655,0
322,1.6544,0
323,1.6537,0
324,1.6531,0
325,1.6525,0
326,1.6519,0
327,1.6512,0
328,1.6506,0
329,1.65,0
330,1.649,0
331,1.6481,0
332,1.6471,0
333,1.6462,0
334,1.6452,0
335,1.6443,0
336,1.6433,0
337,1.6424,0
338,1.6414,0
339,1.6405,0
340,1.6395,0
341,1.6386,0
342,1.6376,0
343,1.6367,0
344,1.6357,0
345,1.6348,0
346,1.6338,0
347,1.6329,0
348,1.6319,0
349,1.631,0
350,1.63,0
351,1.63,0
352,1.63,0
353,1.63,0
354,1.63,0
355,1.63,0
356,1.63,0
357,1.63,0
358,1.63,0
359,1.63,0
360,1.63,0
361,1.63,0
362,1.63,0
363,1.63,0
364,1.6294,0
365,1.6287,0
366,1.6281,0
367,1.6275,0
368,1.6269,0
369,1.6263,0
370,1.6256,0
371,1.625,0
372,1.6244,0
373,1.6238,0
374,1.6231,0
375,1.6225,0
376,1.6219,0
377,1.6213,0
378,1.6206,0
379,1.62,0
380,1.62,0
381,1.62,0
382,1.62,0
383,1.62,0
384,1.62,0
385,1.62,0
386,1.62,0
387,1.62,0
388,1.62,0
389,1.62,0
390,1.62,0
391,1.62,0
392,1.62,0
393,1.62,0
394,1.62,0
395,1.62,0
396,1.62,0
397,1.62,0
398,1.62,0
399,1.62,0
400,1.62,0
401,1.6189,0
402,1.6178,0
403,1.6167,0
404,1.6156,0
405,1.6144,0
406,1.6133,0
407,1.6122,0
408,1.6111,0
409,1.61,0
410,1.61,0
411,1.61,0
412,1.61,0
413,1.61,0
414,1.61,0
415,1.61,0
416,1.61,0
417,1.61,0
418,1.61,0
419,1.61,0
420,1.61,0
421,1.61,0
422,1.61,0
423,1.61,0
424,1.61,0
425,1.61,0
426,1.61,0
427,1.61,0
428,1.61,0
429,1.61,0
430,1.61,0
431,1.61,0
432,1.61,0
433,1.61,0
434,1.61,0
435,1.61,0
436,1.61,0
437,1.61,0
438,1.61,0
439,1.61,0
440,1.61,0
441,1.61,0
442,1.61,0
443,1.6086,0
444,1.6071,0
445,1.6057,0
446,1.6043,0
447,1.6029,0
448,1.6014,0
449,1.6,0
450,1.6011,0
451,1.6022,0
452,1.6033,0
453,1.6044,0
454,1.6056,0
455,1.6067,0
456,1.6078,0
457,1.6089,0
458,1.61,0
459,1.61,0
460,1.61,0
461,1.61,0
462,1.61,0
463,1.61,0
464,1.61,0
465,1.61,0
466,1.61,0
467,1.61,0
468,1.61,0
469,1.61,0
470,1.61,0
471,1.61,0
472,1.61,0
473,1.61,0
474,1.61,0
475,1.61,0
476,1.61,0
477,1.61,0
478,1.61,0
479,1.61,0
480,1.61,0
481,1.61,0
482,1.61,0
483,1.61,0
484,1.61,0
485,1.61,0
486,1.61,0
487,1.61,0
488,1.61,0
489,1.61,0
490,1.61,0
491,1.61,0
492,1.61,0
493,1.61,0
494,1.61,0
495,1.61,0
496,1.61,0
497,1.61,0
498,1.61,0
499,1.61,0
500,1.61,0
501,1.61,0
502,1.61,0
503,1.61,0
504,1.61,0
505,1.61,0
506,1.61,0
507,1.61,0
508,1.61,0
509,1.61,0
510,1.61,0
511,1.61,0
512,1.61,0
513,1.61,0
514,1.61,0
515,1.61,0
516,1.61,0
517,1.61,0
518,1.61,0
519,1.61,0
520,1.61,0
521,1.61,0
522,1.61,0
523,1.61,0
524,1.61,0
525,1.61,0
526,1.61,0
527,1.61,0
528,1.61,0
529,1.61,0
530,1.61,0
531,1.61,0
532,1.61,0
533,1.61,0
534,1.61,0
535,1.61,0
536,1.61,0
537,1.61,0
538,1.61,0
539,1.61,0
540,1.61,0
541,1.61,0
542,1.61,0
543,1.61,0
544,1.61,0
545,1.61,0
546,1.61,0
547,1.61,0
548,1.61,0
549,1.61,0
550,1.61,0
551,1.61,0
552,1.61,0
553,1.61,0
554,1.61,0
555,1.61,0
556,1.61,0
557,1.61,0
558,1.61,0
559,1.61,0
560,1.61,0
561,1.61,0
562,1.61,0
563,1.61,0
564,1.61,0
565,1.61,0
566,1.61,0
567,1.61,0
568,1.61,0
569,1.61,0
570,1.61,0
571,1.61,0
572,1.61,0
573,1.61,0
574,1.61,0
575,1.61,0
576,1.61,0
577,1.61,0
578,1.61,0
579,1.61,0
580,1.61,0
581,1.61,0
582,1.61,0
583,1.61,0
584,1.61,0
585,1.61,0
586,1.61,0
587,1.61,0
588,1.61,0
589,1.61,0
590,1.61,0
591,1.61,0
592,1.61,0
593,1.61,0
594,1.61,0
595,1.61,0
596,1.61,0
597,1.61,0
598,1.61,0
599,1.61,0
600,1.61,0
601,1.61,0
602,1.61,0
603,1.61,0
604,1.61,0
605,1.61,0
606,1.61,0
607,1.61,0
608,1.61,0
609,1.61,0
610,1.61,0
611,1.61,0
612,1.61,0
613,1.61,0
614,1.61,0
615,1.61,0
616,1.61,0
617,1.61,0
618,1.61,0
619,1.61,0
620,1.61,0
621,1.61,0
622,1.61,0
623,1.61,0
624,1.6106,0
625,1.6113,0
626,1.6119,0
627,1.6125,0
628,1.6131,0
629,1.6138,0
630,1.6144,0
631,1.615,0
632,1.6156,0
633,1.6163,0
634,1.6169,0
635,1.6175,0
636,1.6181,0
637,1.6188,0
638,1.6194,0
639,1.62,0
640,1.62,0
641,1.62,0
642,1.62,0
643,1.62,0
644,1.62,0
645,1.62,0
646,1.62,0
647,1.62,0
648,1.62,0
649,1.62,0
650,1.62,0
651,1.62,0
652,1.62,0
653,1.62,0
654,1.62,0
655,1.62,0
656,1.62,0
657,1.62,0
658,1.62,0
659,1.62,0
660,1.62,0
661,1.62,0
662,1.62,0
663,1.62,0
664,1.62,0
665,1.62,0
666,1.62,0
667,1.62,0
668,1.62,0
669,1.62,0
670,1.62,0
671,1.62,0
672,1.62,0
673,1.62,0
674,1.62,0
675,1.62,0
676,1.62,0
677,1.62,0
678,1.62,0
679,1.62,0
680,1.62,0
681,1.62,0
682,1.62,0
683,1.62,0
684,1.62,0
685,1.62,0
686,1.62,0
687,1.62,0
688,1.62,0
689,1.62,0
690,1.62,0
691,1.62,0
692,1.62,0
693,1.62,0
694,1.62,0
695,1.62,0
696,1.62,0
697,1.62,0
698,1.62,0
699,1.62,0
700,1.62,0
701,1.62,0
702,1.62,0
703,1.62,0
704,1.62,0
705,1.62,0
706,1.62,0
707,1.62,0
708,1.62,0
709,1.62,0
710,1.62,0
711,1.62,0
712,1.62,0
713,1.62,0
714,1.62,0
715,1.62,0
716,1.62,0
717,1.62,0
718,1.62,0
719,1.62,0
720,1.62,0
721,1.62,0
722,1.62,0
723,1.62,0
724,1.62,0
725,1.62,0
726,1.62,0
727,1.62,0
728,1.62,0
729,1.621,0
730,1.622,0
731,1.623,0
732,1.624,0
733,1.625,0
734,1.626,0
735,1.627,0
736,1.628,0
737,1.629,0
738,1.63,0
739,1.63,0
740,1.63,0
741,1.63,0
742,1.63,0
743,1.63,0
744,1.63,0
745,1.63,0
746,1.63,0
747,1.63,0
748,1.63,0
749,1.63,0
750,1.63,0
751,1.63,0
752,1.63,0
753,1.63,0
754,1.63,0
755,1.63,0
756,1.63,0
