Wavelength (nm),PTAAMartin_n,PTAAMartin_k
300,1.54252,0.13628
301,1.53952,0.14087
302,1.53673,0.14568
303,1.53416,0.15073
304,1.53185,0.15601
305,1.52982,0.1615
306,1.5281,0.1672
307,1.52672,0.17309
308,1.52573,0.17914
309,1.52514,0.18533
310,1.52499,0.19163
311,1.5253,0.19799
312,1.52609,0.20438
313,1.52739,0.21072
314,1.5292,0.21698
315,1.53153,0.22309
316,1.53437,0.22897
317,1.53768,0.23458
318,1.54146,0.23984
319,1.54565,0.2447
320,1.5502,0.24909
321,1.55505,0.25296
322,1.56013,0.2563
323,1.56536,0.25905
324,1.57064,0.26124
325,1.57592,0.26284
326,1.5811,0.26388
327,1.5861,0.26439
328,1.59085,0.26441
329,1.59531,0.26398
330,1.5994,0.26319
331,1.60309,0.26208
332,1.60636,0.26073
333,1.60919,0.25921
334,1.61157,0.25758
335,1.6135,0.25593
336,1.61499,0.25431
337,1.61607,0.25278
338,1.61677,0.2514
339,1.6171,0.25023
340,1.61712,0.24931
341,1.61686,0.24867
342,1.61638,0.24836
343,1.61571,0.2484
344,1.61492,0.24882
345,1.61405,0.24965
346,1.61315,0.25088
347,1.6123,0.25253
348,1.61155,0.2546
349,1.61095,0.25708
350,1.61058,0.25997
351,1.6105,0.26323
352,1.61077,0.26685
353,1.61144,0.27077
354,1.61259,0.27495
355,1.61426,0.27932
356,1.61649,0.28382
357,1.61932,0.28835
358,1.62279,0.29283
359,1.62686,0.29715
360,1.63158,0.30121
361,1.63688,0.30492
362,1.64271,0.30815
363,1.64901,0.31084
364,1.65568,0.31288
365,1.66262,0.31422
366,1.66972,0.31481
367,1.67683,0.31464
368,1.68384,0.31371
369,1.69062,0.31204
370,1.69704,0.30969
371,1.703,0.30675
372,1.70842,0.30329
373,1.71321,0.29941
374,1.71733,0.29524
375,1.72074,0.29087
376,1.72343,0.28645
377,1.72539,0.28207
378,1.72664,0.27785
379,1.72722,0.27391
380,1.72715,0.27035
381,1.7265,0.26728
382,1.72533,0.2648
383,1.72372,0.263
384,1.72175,0.26199
385,1.71954,0.26184
386,1.7172,0.26268
387,1.71489,0.26458
388,1.71279,0.26762
389,1.71113,0.27188
390,1.71018,0.27738
391,1.71024,0.28411
392,1.7117,0.29201
393,1.71495,0.30085
394,1.72036,0.31033
395,1.72832,0.31996
396,1.73909,0.32908
397,1.75269,0.33689
398,1.76886,0.34255
399,1.78705,0.34526
400,1.80641,0.34441
401,1.8259,0.33971
402,1.84442,0.33136
403,1.86107,0.31984
404,1.87521,0.30592
405,1.8865,0.29041
406,1.89491,0.27414
407,1.90065,0.25778
408,1.90402,0.24184
409,1.90542,0.22667
410,1.90522,0.21248
