Wavelength (nm),PTO2_n,PTO2_k
210,1.498545,0.246335
211,1.496468,0.248613
212,1.49449,0.251038
213,1.492622,0.253605
214,1.490877,0.256309
215,1.489264,0.259144
216,1.487795,0.262101
217,1.486479,0.265173
218,1.485326,0.268349
219,1.484345,0.271619
220,1.483542,0.274971
221,1.482926,0.278394
222,1.482501,0.281876
223,1.482273,0.285401
224,1.482245,0.288958
225,1.48242,0.292532
226,1.482799,0.296108
227,1.483382,0.299673
228,1.484169,0.303212
229,1.485156,0.306711
230,1.486341,0.310156
231,1.487719,0.313534
232,1.489284,0.316832
233,1.491032,0.320037
234,1.492953,0.323137
235,1.495039,0.326121
236,1.497283,0.328979
237,1.499674,0.331701
238,1.502202,0.334279
239,1.504856,0.336703
240,1.507626,0.338968
241,1.5105,0.341068
242,1.513466,0.342996
243,1.516512,0.344749
244,1.519627,0.346323
245,1.522798,0.347715
246,1.526014,0.348925
247,1.529263,0.34995
248,1.532533,0.350791
249,1.535813,0.351447
250,1.539092,0.351922
251,1.542359,0.352215
252,1.545603,0.35233
253,1.548814,0.352269
254,1.551982,0.352037
255,1.555099,0.351637
256,1.558154,0.351073
257,1.561139,0.350351
258,1.564047,0.349475
259,1.566868,0.348452
260,1.569597,0.347286
261,1.572226,0.345984
262,1.574748,0.344552
263,1.577157,0.342997
264,1.579447,0.341325
265,1.581614,0.339543
266,1.583652,0.337658
267,1.585556,0.335676
268,1.587323,0.333606
269,1.588947,0.331453
270,1.590426,0.329226
271,1.591756,0.326931
272,1.592935,0.324576
273,1.593958,0.322169
274,1.594824,0.319716
275,1.595531,0.317226
276,1.596076,0.314706
277,1.596457,0.312164
278,1.596675,0.309607
279,1.596726,0.307044
280,1.59661,0.304482
281,1.596327,0.301929
282,1.595876,0.299394
283,1.595257,0.296884
284,1.594471,0.294408
285,1.593517,0.291975
286,1.592397,0.289593
287,1.591112,0.28727
288,1.589664,0.285015
289,1.588055,0.282837
290,1.586287,0.280745
291,1.584362,0.278747
292,1.582286,0.276853
293,1.580061,0.275072
294,1.577692,0.273412
295,1.575184,0.271883
296,1.572542,0.270493
297,1.569773,0.269251
298,1.566884,0.268165
299,1.563882,0.267244
300,1.560775,0.266495
301,1.557571,0.265927
302,1.554281,0.265547
303,1.550915,0.265362
304,1.547482,0.265378
305,1.543994,0.265601
306,1.540464,0.266037
307,1.536904,0.266689
308,1.533326,0.267562
309,1.529744,0.268659
310,1.526173,0.269981
311,1.522626,0.27153
312,1.519118,0.273306
313,1.515664,0.275308
314,1.512279,0.277534
315,1.508979,0.279981
316,1.505777,0.282643
317,1.50269,0.285517
318,1.499731,0.288594
319,1.496915,0.291868
320,1.494256,0.295328
321,1.491767,0.298965
322,1.48946,0.302767
323,1.487347,0.306722
324,1.485438,0.310815
325,1.483745,0.315034
326,1.482274,0.319363
327,1.481033,0.323785
328,1.480029,0.328284
329,1.479267,0.332844
330,1.47875,0.337446
331,1.478479,0.342073
332,1.478456,0.346708
333,1.47868,0.351332
334,1.479149,0.355927
335,1.479859,0.360477
336,1.480805,0.364964
337,1.481981,0.369372
338,1.48338,0.373684
339,1.484993,0.377886
340,1.486811,0.381963
341,1.488823,0.385901
342,1.491016,0.389687
343,1.49338,0.39331
344,1.4959,0.396759
345,1.498562,0.400024
346,1.501354,0.403097
347,1.504258,0.40597
348,1.50726,0.408637
349,1.510346,0.411092
350,1.513498,0.413331
351,1.516701,0.415352
352,1.519938,0.417152
353,1.523195,0.418731
354,1.526455,0.420088
355,1.529703,0.421226
356,1.532922,0.422146
357,1.536097,0.422852
358,1.539214,0.423347
359,1.542258,0.423638
360,1.545215,0.423731
361,1.54807,0.423631
362,1.550811,0.423348
363,1.553424,0.42289
364,1.555898,0.422266
365,1.558221,0.421487
366,1.560382,0.420564
367,1.562371,0.419509
368,1.564178,0.418333
369,1.565795,0.417051
370,1.567215,0.415675
371,1.568429,0.41422
372,1.569433,0.412701
373,1.570221,0.411132
374,1.57079,0.40953
375,1.571136,0.40791
376,1.571257,0.406288
377,1.571154,0.404681
378,1.570826,0.403106
379,1.570275,0.401578
380,1.569504,0.400114
381,1.568517,0.398731
382,1.567321,0.397445
383,1.56592,0.396271
384,1.564324,0.395226
385,1.562541,0.394322
386,1.560581,0.393576
387,1.558457,0.393
388,1.556181,0.392606
389,1.553766,0.392407
390,1.551227,0.392412
391,1.54858,0.39263
392,1.54584,0.39307
393,1.543026,0.393737
394,1.540154,0.394637
395,1.537242,0.395773
396,1.534309,0.397147
397,1.531373,0.398759
398,1.528452,0.400606
399,1.525564,0.402687
400,1.522726,0.404997
401,1.519956,0.407528
402,1.517269,0.410272
403,1.514681,0.413221
404,1.512206,0.416363
405,1.509857,0.419686
406,1.507645,0.423177
407,1.50558,0.426821
408,1.503671,0.430605
409,1.501924,0.434512
410,1.500344,0.438526
411,1.498935,0.442632
412,1.497699,0.446813
413,1.496634,0.451054
414,1.495739,0.455338
415,1.495011,0.459652
416,1.494444,0.463981
417,1.494033,0.468312
418,1.49377,0.472632
419,1.493646,0.476931
420,1.493652,0.481199
421,1.493776,0.485428
422,1.494008,0.48961
423,1.494336,0.493741
424,1.494749,0.497815
425,1.495234,0.501832
426,1.49578,0.505789
427,1.496374,0.509687
428,1.497005,0.513527
429,1.497663,0.517314
430,1.498338,0.52105
431,1.499018,0.524741
432,1.499697,0.528395
433,1.500366,0.532017
434,1.501018,0.535616
435,1.501648,0.539201
436,1.502251,0.542781
437,1.502824,0.546366
438,1.503365,0.549966
439,1.503873,0.553591
440,1.504347,0.557251
441,1.50479,0.560957
442,1.505204,0.564717
443,1.505593,0.568543
444,1.505961,0.572442
445,1.506315,0.576424
446,1.506661,0.580496
447,1.507006,0.584665
448,1.507359,0.588938
449,1.507729,0.593319
450,1.508126,0.597813
451,1.508559,0.602424
452,1.509039,0.607153
453,1.509577,0.612002
454,1.510182,0.616971
455,1.510866,0.622059
456,1.511638,0.627263
457,1.512509,0.632581
458,1.513489,0.638008
459,1.514587,0.643539
460,1.515811,0.649168
461,1.517169,0.654889
462,1.518668,0.660694
463,1.520315,0.666574
464,1.522114,0.672522
465,1.52407,0.678528
