Wavelength (nm),SFPDI2_n,SFPDI2_k
300,1.70496,0.12388
301,1.70386,0.1233
302,1.70151,0.12271
303,1.69857,0.12223
304,1.69475,0.12196
305,1.69167,0.12262
306,1.68938,0.12385
307,1.68957,0.12647
308,1.69103,0.12909
309,1.69334,0.13169
310,1.69567,0.13192
311,1.69753,0.13106
312,1.6987,0.12865
313,1.6988,0.126
314,1.69838,0.12368
315,1.69699,0.12267
316,1.69526,0.12263
317,1.69336,0.12319
318,1.69184,0.12441
319,1.69071,0.12568
320,1.69006,0.12701
321,1.68997,0.12824
322,1.6901,0.12939
323,1.69055,0.13034
324,1.69142,0.13118
325,1.69259,0.13195
326,1.69473,0.13274
327,1.69744,0.13356
328,1.70078,0.13442
329,1.70445,0.13479
330,1.70798,0.13472
331,1.71106,0.13377
332,1.71336,0.13178
333,1.71526,0.12929
334,1.7166,0.12619
335,1.71792,0.12318
336,1.71923,0.12027
337,1.72065,0.11779
338,1.72202,0.11534
339,1.72326,0.1129
340,1.72409,0.11009
341,1.72469,0.10707
342,1.72478,0.10357
343,1.72469,0.10002
344,1.72444,0.09641
345,1.72412,0.09313
346,1.72378,0.09003
347,1.7234,0.08723
348,1.72282,0.08461
349,1.72208,0.08204
350,1.72093,0.07947
351,1.71955,0.07686
352,1.71798,0.07424
353,1.71655,0.07186
354,1.7154,0.0697
355,1.71467,0.06788
356,1.71476,0.06653
357,1.71519,0.06532
358,1.71618,0.06412
359,1.71735,0.06251
360,1.71865,0.06063
361,1.71991,0.05756
362,1.72113,0.05403
363,1.72231,0.04986
364,1.72346,0.04508
365,1.72461,0.04006
366,1.72576,0.03472
367,1.72676,0.02941
368,1.72765,0.02413
369,1.72777,0.01944
370,1.7273,0.01527
371,1.72608,0.01174
372,1.72344,0.0095
373,1.72024,0.00781
374,1.71615,0.00702
375,1.71171,0.00675
376,1.70712,0.00676
377,1.70265,0.00707
378,1.69843,0.00742
379,1.69448,0.00781
380,1.691,0.0082
381,1.68775,0.00858
382,1.68488,0.00893
383,1.68236,0.00924
384,1.68004,0.00954
385,1.67802,0.0099
386,1.67603,0.01039
387,1.67407,0.01101
388,1.67192,0.01207
389,1.66962,0.01337
390,1.66703,0.0151
391,1.66418,0.0172
392,1.6612,0.01947
393,1.65804,0.022
394,1.65484,0.02457
395,1.65162,0.02717
396,1.64846,0.02966
397,1.64535,0.03204
398,1.64231,0.03424
399,1.63938,0.03612
400,1.63652,0.03781
401,1.63381,0.03903
402,1.63121,0.03989
403,1.6287,0.04047
404,1.62635,0.04059
405,1.62405,0.04063
406,1.62184,0.04054
407,1.6197,0.04051
408,1.61758,0.04056
409,1.61551,0.04087
410,1.61342,0.04139
411,1.61132,0.04205
412,1.60911,0.04297
413,1.60681,0.04394
414,1.60439,0.04501
415,1.60172,0.04611
416,1.59894,0.04724
417,1.59592,0.0484
418,1.59283,0.04968
419,1.5897,0.05105
420,1.58665,0.05279
421,1.58372,0.05475
422,1.58093,0.05703
423,1.57851,0.05987
424,1.57626,0.06298
425,1.57435,0.06659
426,1.57266,0.07056
427,1.57112,0.07474
428,1.56984,0.07935
429,1.56865,0.08413
430,1.56757,0.08909
431,1.56662,0.09425
432,1.56575,0.09943
433,1.56499,0.10459
434,1.56437,0.10954
435,1.56384,0.11435
436,1.56351,0.11866
437,1.56329,0.12257
438,1.5632,0.12608
439,1.56332,0.12874
440,1.56352,0.13105
441,1.56388,0.13276
442,1.56436,0.13392
443,1.56491,0.13476
444,1.56561,0.135
445,1.56637,0.13492
446,1.5672,0.13455
447,1.56816,0.13374
448,1.56916,0.13281
449,1.57025,0.13174
450,1.57145,0.13068
451,1.5727,0.12966
452,1.57408,0.12886
453,1.57554,0.12833
454,1.57707,0.12802
455,1.57873,0.12833
456,1.58043,0.12893
457,1.58219,0.12995
458,1.58398,0.13151
459,1.58578,0.13333
460,1.58757,0.13572
461,1.58934,0.1385
462,1.59109,0.14155
463,1.59274,0.14526
464,1.59435,0.14916
465,1.59589,0.15337
466,1.59733,0.15775
467,1.59872,0.16218
468,1.59999,0.16659
469,1.60117,0.17084
470,1.60227,0.17498
471,1.6032,0.17865
472,1.60404,0.18204
473,1.60477,0.18505
474,1.60535,0.18748
475,1.60586,0.18963
476,1.60626,0.19126
477,1.60657,0.19243
478,1.60684,0.19333
479,1.60702,0.19357
480,1.60717,0.19348
481,1.60729,0.19302
482,1.60737,0.19201
483,1.60746,0.19079
484,1.60756,0.18923
485,1.60769,0.18749
486,1.60786,0.18566
487,1.60811,0.18375
488,1.60844,0.18188
489,1.60884,0.18006
490,1.60941,0.17848
491,1.61005,0.17704
492,1.61084,0.17587
493,1.6118,0.17501
494,1.61286,0.17434
495,1.61415,0.17409
496,1.61558,0.17411
497,1.61715,0.17438
498,1.619,0.17514
499,1.62098,0.17614
500,1.62318,0.17751
501,1.62562,0.17932
502,1.62819,0.18135
503,1.631,0.18379
504,1.63393,0.18644
505,1.63696,0.18925
506,1.64013,0.1923
507,1.64333,0.19541
508,1.64659,0.1986
509,1.64986,0.20182
510,1.65313,0.20503
511,1.65637,0.20819
512,1.65955,0.21127
513,1.6627,0.21429
514,1.66572,0.21714
515,1.66867,0.21992
516,1.67154,0.2226
517,1.67424,0.22511
518,1.67687,0.22753
519,1.67932,0.22979
520,1.68161,0.23189
521,1.68381,0.2339
522,1.68574,0.23567
523,1.68757,0.23733
524,1.68927,0.23885
525,1.69085,0.24017
526,1.6924,0.24138
527,1.69393,0.24243
528,1.6955,0.24333
529,1.6971,0.24414
530,1.69886,0.24475
531,1.70074,0.24527
532,1.70275,0.24568
533,1.70506,0.24592
534,1.70752,0.24608
535,1.71025,0.24611
536,1.71324,0.24599
537,1.71638,0.24578
538,1.71982,0.24537
539,1.72341,0.24484
540,1.72716,0.24419
541,1.73118,0.24331
542,1.7353,0.24233
543,1.7396,0.24117
544,1.74408,0.23981
545,1.74866,0.23833
546,1.75341,0.23662
547,1.75826,0.23475
548,1.76317,0.23276
549,1.76817,0.23053
550,1.77318,0.2282
551,1.77821,0.22572
552,1.7832,0.22306
553,1.78816,0.22032
554,1.79304,0.2174
555,1.79782,0.21436
556,1.80254,0.21124
557,1.80705,0.20793
558,1.81145,0.20455
559,1.8157,0.20106
560,1.81972,0.19742
561,1.82363,0.19372
562,1.82731,0.18989
563,1.83079,0.18596
564,1.83416,0.18196
565,1.83722,0.17781
566,1.84013,0.17359
567,1.84287,0.16929
568,1.84531,0.16487
569,1.84762,0.16038
570,1.84967,0.15579
571,1.85148,0.1511
572,1.85315,0.14636
573,1.8545,0.14152
574,1.85569,0.13665
575,1.85672,0.13174
576,1.85747,0.1268
577,1.85809,0.12185
578,1.85851,0.11691
579,1.85873,0.112
580,1.85883,0.1071
581,1.8587,0.10227
582,1.85843,0.09749
583,1.85804,0.09277
584,1.85742,0.08817
585,1.8567,0.08364
586,1.85583,0.07921
587,1.85479,0.07491
588,1.85366,0.07069
589,1.85235,0.06662
590,1.85094,0.06267
591,1.84944,0.0588
592,1.84775,0.05513
593,1.84599,0.05155
594,1.84413,0.04811
595,1.84214,0.04485
596,1.84008,0.04168
597,1.8379,0.0387
598,1.83564,0.03588
599,1.83331,0.03316
600,1.83086,0.03069
601,1.82837,0.02832
602,1.82581,0.02608
603,1.82318,0.02403
604,1.82053,0.02206
605,1.81783,0.02025
606,1.8151,0.01856
607,1.81236,0.01695
608,1.8096,0.0155
609,1.80684,0.01412
610,1.80408,0.01283
611,1.80135,0.01166
612,1.79863,0.01055
613,1.79595,0.00953
614,1.79331,0.0086
615,1.79069,0.00771
616,1.78815,0.00692
617,1.78564,0.00618
618,1.78317,0.00548
619,1.78079,0.00487
620,1.77844,0.0043
621,1.77615,0.00378
622,1.77393,0.00332
623,1.77176,0.00289
624,1.76967,0.00251
625,1.76764,0.00217
626,1.76565,0.00185
627,1.76378,0.00159
628,1.76196,0.00134
629,1.7602,0.00113
630,1.75855,9.40957E-4
631,1.75694,7.70931E-4
632,1.75542,6.26848E-4
633,1.75396,5.02714E-4
634,1.75254,3.91023E-4
635,1.75121,3.04817E-4
636,1.7499,2.29224E-4
637,1.74864,1.65669E-4
638,1.74743,1.19264E-4
639,1.74625,7.95965E-5
640,1.7451,5.06473E-5
641,1.74397,3.0525E-5
642,1.74286,1.51518E-5
643,1.74178,7.59959E-6
644,1.7407,2.68234E-6
645,1.73963,1.64727E-7
646,1.73857,0
