Wavelength (nm),SpiroOMeTAD_n,SpiroOMeTAD_k
300,1.43138,0.32976
301,1.43503,0.32975
302,1.43869,0.32973
303,1.44235,0.32972
304,1.446,0.32971
305,1.44966,0.3297
306,1.45332,0.32969
307,1.45697,0.32968
308,1.46063,0.32966
309,1.46429,0.32965
310,1.46794,0.32964
311,1.4716,0.32963
312,1.47526,0.32962
313,1.47891,0.3296
314,1.48257,0.32959
315,1.48623,0.32958
316,1.48988,0.32957
317,1.49354,0.32956
318,1.4972,0.32955
319,1.50085,0.32953
320,1.50451,0.32952
321,1.50817,0.32951
322,1.51182,0.3295
323,1.51548,0.32949
324,1.51914,0.32948
325,1.52279,0.32946
326,1.52645,0.32945
327,1.53011,0.32944
328,1.53376,0.32943
329,1.53742,0.32942
330,1.54108,0.3294
331,1.54473,0.32939
332,1.54839,0.32938
333,1.55205,0.32937
334,1.5557,0.32936
335,1.55936,0.32935
336,1.56302,0.32933
337,1.56667,0.32932
338,1.57033,0.32931
339,1.57399,0.3293
340,1.57764,0.32929
341,1.5813,0.32928
342,1.58496,0.32926
343,1.58861,0.32925
344,1.59227,0.32924
345,1.59593,0.32923
346,1.59958,0.32922
347,1.60324,0.3292
348,1.6069,0.32919
349,1.61055,0.32918
350,1.61421,0.32917
351,1.61816,0.29237
352,1.62172,0.29639
353,1.62528,0.3004
354,1.62884,0.30442
355,1.6324,0.30844
356,1.63596,0.31245
357,1.63952,0.31647
358,1.64308,0.32048
359,1.64664,0.3245
360,1.6502,0.32852
361,1.65587,0.33094
362,1.6616,0.33332
363,1.66732,0.33571
364,1.67305,0.33809
365,1.67877,0.34047
366,1.68449,0.34286
367,1.69022,0.34524
368,1.69594,0.34763
369,1.70166,0.35001
370,1.70739,0.35239
371,1.71456,0.35212
372,1.72176,0.35178
373,1.72897,0.35145
374,1.73617,0.35111
375,1.74338,0.35077
376,1.75058,0.35043
377,1.75779,0.35009
378,1.76499,0.34975
379,1.7722,0.34941
380,1.7794,0.34908
381,1.7867,0.34528
382,1.794,0.34139
383,1.80131,0.33751
384,1.80861,0.33362
385,1.81591,0.32973
386,1.82321,0.32584
387,1.83051,0.32196
388,1.83781,0.31807
389,1.84511,0.31418
390,1.85241,0.31029
391,1.85781,0.30291
392,1.86315,0.29544
393,1.86849,0.28796
394,1.87384,0.28049
395,1.87918,0.27301
396,1.88452,0.26554
397,1.88987,0.25806
398,1.89521,0.25059
399,1.90055,0.24311
400,1.90589,0.23564
401,1.90719,0.22611
402,1.90837,0.21653
403,1.90955,0.20695
404,1.91073,0.19736
405,1.91191,0.18778
406,1.91309,0.17819
407,1.91427,0.16861
408,1.91545,0.15903
409,1.91663,0.14944
410,1.91782,0.13986
411,1.91419,0.13138
412,1.91043,0.12294
413,1.90668,0.11449
414,1.90292,0.10605
415,1.89916,0.0976
416,1.8954,0.08916
417,1.89164,0.08071
418,1.88788,0.07227
419,1.88412,0.06383
420,1.88037,0.05538
421,1.87403,0.05098
422,1.86762,0.04669
423,1.86121,0.04241
424,1.8548,0.03812
425,1.8484,0.03384
426,1.84199,0.02956
427,1.83558,0.02527
428,1.82917,0.02099
429,1.82276,0.0167
430,1.81635,0.01242
431,1.81089,0.012
432,1.80546,0.0117
433,1.80003,0.01139
434,1.7946,0.01109
435,1.78917,0.01079
436,1.78374,0.01049
437,1.77831,0.01018
438,1.77288,0.00988
439,1.76744,0.00958
440,1.76201,0.00928
441,1.75896,0.01045
442,1.75598,0.01167
443,1.75301,0.01289
444,1.75003,0.01411
445,1.74705,0.01533
446,1.74407,0.01656
447,1.74109,0.01778
448,1.73812,0.019
449,1.73514,0.02022
450,1.73216,0.02144
451,1.73088,0.02242
452,1.72966,0.0234
453,1.72844,0.02438
454,1.72722,0.02536
455,1.72599,0.02634
456,1.72477,0.02732
457,1.72355,0.02829
458,1.72232,0.02927
459,1.7211,0.03025
460,1.71988,0.03123
461,1.71936,0.03156
462,1.71887,0.03188
463,1.71837,0.03219
464,1.71788,0.0325
465,1.71739,0.03282
466,1.71689,0.03313
467,1.7164,0.03344
468,1.71591,0.03376
469,1.71541,0.03407
470,1.71492,0.03438
