Wavelength (nm),TaTm_n,TaTm_k
300,1.54378,0.21384
301,1.53568,0.2158
302,1.5283,0.21139
303,1.52166,0.21779
304,1.51575,0.22366
305,1.5104,0.22272
306,1.50569,0.22569
307,1.50158,0.227
308,1.49788,0.23437
309,1.49469,0.23683
310,1.49194,0.24314
311,1.48962,0.24606
312,1.48768,0.25243
313,1.48615,0.25812
314,1.48503,0.26859
315,1.48437,0.27811
316,1.48387,0.2858
317,1.48393,0.29687
318,1.48423,0.30831
319,1.48491,0.32127
320,1.48597,0.33445
321,1.48732,0.34727
322,1.48907,0.36414
323,1.49117,0.37786
324,1.49353,0.39923
325,1.49632,0.41282
326,1.49945,0.43098
327,1.50314,0.44744
328,1.50707,0.46881
329,1.51299,0.48984
330,1.51931,0.50525
331,1.52587,0.52392
332,1.53287,0.54423
333,1.54061,0.56174
334,1.54893,0.58149
335,1.55808,0.59859
336,1.56787,0.61671
337,1.57826,0.63785
338,1.58947,0.65586
339,1.60111,0.6724
340,1.61325,0.68623
341,1.62579,0.70169
342,1.63873,0.71535
343,1.65166,0.73191
344,1.66466,0.74713
345,1.67779,0.76148
346,1.69061,0.77368
347,1.70351,0.78896
348,1.71619,0.80432
349,1.72889,0.81063
350,1.74135,0.82594
351,1.75348,0.84359
352,1.7654,0.85019
353,1.77727,0.86134
354,1.78932,0.87222
355,1.8013,0.88119
356,1.81331,0.88498
357,1.82534,0.89499
358,1.83766,0.90325
359,1.84989,0.90857
360,1.86237,0.91621
361,1.87505,0.92405
362,1.88771,0.92346
363,1.9007,0.92535
364,1.91385,0.92973
365,1.92719,0.92961
366,1.94059,0.93165
367,1.95421,0.92848
368,1.96786,0.93084
369,1.98168,0.92846
370,1.99584,0.92335
371,2.01011,0.91938
372,2.02451,0.91401
373,2.03923,0.9098
374,2.05411,0.90264
375,2.06907,0.89972
376,2.08431,0.89023
377,2.0999,0.88067
378,2.1158,0.87712
379,2.13173,0.86589
380,2.14764,0.85563
381,2.16376,0.84304
382,2.17924,0.82896
383,2.19415,0.81849
384,2.20817,0.80743
385,2.22135,0.79241
386,2.23332,0.77996
387,2.24397,0.76318
388,2.25317,0.74968
389,2.26077,0.73788
390,2.26673,0.72011
391,2.27111,0.7078
392,2.27386,0.68679
393,2.27515,0.67413
394,2.27485,0.65778
395,2.27317,0.64533
396,2.27026,0.62663
397,2.26633,0.60674
398,2.26152,0.5902
399,2.25581,0.57504
400,2.24942,0.55961
401,2.24236,0.543
402,2.23472,0.52851
403,2.22647,0.50821
404,2.21762,0.49206
405,2.20816,0.47675
406,2.19798,0.46137
407,2.18696,0.44049
408,2.17509,0.42586
409,2.16255,0.40891
410,2.14962,0.39487
411,2.13682,0.3802
412,2.12455,0.36582
413,2.11315,0.35043
414,2.10272,0.33818
415,2.09332,0.3234
416,2.08483,0.31236
417,2.07715,0.29877
418,2.07012,0.28952
419,2.06361,0.2785
420,2.05751,0.26761
421,2.05171,0.25551
422,2.04609,0.24742
423,2.04056,0.24141
424,2.03507,0.23148
425,2.02956,0.22482
426,2.02398,0.21734
427,2.01833,0.21081
428,2.01263,0.20228
429,2.00677,0.19646
430,2.00075,0.19297
431,1.99454,0.19046
432,1.9882,0.18714
433,1.9819,0.17963
434,1.97568,0.17826
435,1.96962,0.17528
436,1.96375,0.17148
437,1.95814,0.16687
438,1.95282,0.16504
439,1.94778,0.162
440,1.94309,0.16156
441,1.93875,0.15829
442,1.93466,0.155
443,1.93082,0.15454
444,1.92711,0.15285
445,1.92361,0.15075
446,1.92032,0.14863
447,1.91715,0.14651
448,1.91404,0.14519
449,1.91093,0.14305
450,1.9078,0.14048
451,1.90477,0.14203
452,1.90178,0.14006
453,1.89876,0.13726
454,1.89592,0.13777
455,1.89325,0.13745
456,1.8907,0.13399
457,1.88823,0.13344
458,1.88576,0.13269
459,1.88341,0.13403
460,1.88118,0.12968
461,1.87898,0.12827
462,1.87682,0.12919
463,1.87466,0.12586
464,1.87264,0.1257
465,1.87069,0.12512
466,1.86882,0.12112
467,1.86705,0.12052
468,1.8653,0.12014
469,1.86361,0.12147
470,1.86203,0.12065
471,1.8605,0.11983
472,1.85897,0.1164
473,1.85744,0.1147
474,1.85597,0.11603
475,1.85452,0.11627
476,1.85314,0.11477
477,1.8518,0.11392
478,1.85048,0.11306
479,1.84922,0.11528
480,1.84791,0.11244
481,1.84666,0.11157
482,1.84538,0.11202
483,1.84415,0.10982
484,1.84294,0.10894
485,1.84172,0.10894
486,1.84053,0.10515
487,1.83939,0.10604
488,1.8383,0.10514
489,1.8372,0.10872
490,1.83605,0.10467
491,1.83487,0.10556
492,1.83382,0.10397
493,1.83279,0.09921
494,1.83188,0.10281
495,1.83105,0.10279
496,1.83011,0.103
497,1.82916,0.09865
498,1.82816,0.09816
499,1.82722,0.10019
500,1.82628,0.10108
501,1.82539,0.0999
502,1.82452,0.09849
503,1.82363,0.09569
504,1.82278,0.09495
505,1.82198,0.09514
506,1.82117,0.09348
507,1.82036,0.0925
508,1.81959,0.09571
509,1.81883,0.09613
510,1.8181,0.09398
511,1.81733,0.09229
512,1.81651,0.09388
513,1.81566,0.09453
514,1.81479,0.09189
515,1.81397,0.09042
516,1.81314,0.09248
517,1.81231,0.09029
518,1.8117,0.08572
519,1.81111,0.08922
520,1.81053,0.08843
521,1.80991,0.09028
522,1.80925,0.08854
523,1.80864,0.0899
524,1.80798,0.08671
525,1.80734,0.08688
526,1.80676,0.0856
527,1.80618,0.08673
528,1.80565,0.08786
529,1.80508,0.08415
530,1.80445,0.08965
531,1.80387,0.08446
532,1.80325,0.08584
533,1.80266,0.08454
534,1.80206,0.08347
535,1.80142,0.08142
536,1.80078,0.08698
537,1.80011,0.08099
538,1.79947,0.08632
539,1.79876,0.08574
540,1.79806,0.0802
541,1.79737,0.08333
542,1.79671,0.08174
543,1.7961,0.0809
544,1.79541,0.08179
545,1.79472,0.08394
546,1.79398,0.08184
547,1.79331,0.07798
548,1.79259,0.07461
549,1.79188,0.07751
550,1.79117,0.07513
551,1.79053,0.07628
552,1.78983,0.07844
553,1.7891,0.0725
554,1.78838,0.07441
555,1.78769,0.07632
556,1.78708,0.07417
557,1.78635,0.07532
558,1.78567,0.07622
559,1.78499,0.07431
560,1.7843,0.07316
561,1.78366,0.07226
562,1.78294,0.07239
563,1.78231,0.07123
564,1.78165,0.06981
565,1.78108,0.0733
566,1.78047,0.07394
567,1.77984,0.07122
568,1.77924,0.06874
569,1.77868,0.06938
570,1.7781,0.06637
571,1.77753,0.06962
572,1.77695,0.06686
573,1.77633,0.06908
574,1.7758,0.06973
575,1.77518,0.06642
576,1.7746,0.0668
577,1.774,0.06771
578,1.77341,0.06571
579,1.77284,0.06264
580,1.7723,0.06195
581,1.7718,0.06365
582,1.77129,0.06189
583,1.77069,0.06387
584,1.77008,0.06666
585,1.76948,0.06275
586,1.76892,0.06447
587,1.76841,0.06485
588,1.76792,0.06469
589,1.76744,0.06561
590,1.76697,0.0641
591,1.76644,0.06529
592,1.76594,0.06676
593,1.76546,0.06116
594,1.765,0.0648
595,1.76449,0.063
596,1.76401,0.06557
597,1.76355,0.06349
598,1.76311,0.06414
599,1.76265,0.06123
600,1.76219,0.06023
601,1.76165,0.06309
602,1.76115,0.06347
603,1.76065,0.06413
604,1.76019,0.06174
605,1.75971,0.06268
606,1.75922,0.06528
607,1.75872,0.06121
608,1.75821,0.06605
609,1.75769,0.06532
610,1.7572,0.0618
611,1.7567,0.06302
612,1.75625,0.06537
613,1.7558,0.06154
614,1.75537,0.06192
615,1.75494,0.06146
616,1.75449,0.05817
617,1.75402,0.05685
618,1.75352,0.06232
619,1.75302,0.05874
620,1.75253,0.06167
621,1.75208,0.06006
622,1.75163,0.06415
623,1.75117,0.06311
624,1.75074,0.06322
625,1.75039,0.06102
626,1.75012,0.05883
627,1.7499,0.05518
628,1.74965,0.05901
629,1.74943,0.0568
630,1.74923,0.06094
631,1.74907,0.05987
632,1.74891,0.06084
633,1.74872,0.06384
634,1.7485,0.06481
635,1.74826,0.06258
636,1.748,0.06152
637,1.74781,0.06278
638,1.74769,0.05703
639,1.7475,0.05976
640,1.74733,0.06014
641,1.74711,0.06053
642,1.74695,0.06151
643,1.74681,0.06543
644,1.74664,0.0614
645,1.7465,0.06179
646,1.74634,0.061
647,1.74615,0.05991
648,1.74601,0.05703
649,1.7459,0.05504
650,1.74581,0.05274
651,1.7457,0.05372
652,1.7456,0.0538
653,1.74548,0.05747
654,1.74537,0.05576
655,1.74521,0.05465
656,1.74507,0.05864
657,1.74497,0.05511
658,1.74489,0.05429
659,1.74477,0.05166
660,1.74468,0.05355
661,1.74457,0.0503
662,1.74446,0.05159
663,1.7443,0.04589
664,1.74416,0.04444
665,1.74402,0.0503
666,1.74391,0.04854
667,1.74376,0.04647
668,1.74362,0.05267
669,1.74344,0.05244
670,1.74326,0.05774
671,1.74309,0.05383
672,1.74292,0.05699
673,1.74272,0.05707
674,1.74256,0.05252
675,1.7424,0.05508
676,1.74221,0.05113
677,1.74203,0.05648
678,1.74189,0.05377
679,1.74174,0.05042
680,1.74161,0.04925
681,1.74144,0.0462
682,1.74123,0.04877
683,1.74107,0.05448
684,1.74087,0.04985
685,1.74068,0.05181
686,1.74043,0.05252
687,1.74022,0.05322
688,1.74009,0.05015
689,1.74002,0.05148
690,1.73994,0.04618
691,1.73984,0.04688
692,1.73974,0.04917
693,1.73967,0.04956
694,1.73962,0.04804
695,1.73955,0.04683
696,1.73944,0.0485
697,1.73936,0.04601
698,1.73925,0.04767
699,1.73917,0.05063
700,1.73908,0.05166
701,1.73904,0.05238
702,1.73902,0.0473
703,1.73894,0.05156
704,1.73889,0.05422
705,1.7388,0.05623
706,1.73872,0.05534
707,1.7386,0.05185
708,1.73847,0.04673
709,1.73836,0.05103
710,1.73823,0.04849
711,1.73808,0.05247
712,1.73798,0.04798
713,1.7379,0.04739
714,1.73783,0.0468
715,1.73774,0.04556
716,1.73766,0.04431
717,1.73761,0.04437
718,1.73752,0.04575
719,1.73742,0.04911
720,1.73737,0.04555
721,1.73734,0.04495
722,1.73731,0.04501
723,1.73726,0.05004
724,1.73725,0.05078
725,1.73723,0.04819
726,1.73724,0.04559
727,1.73721,0.04866
728,1.73722,0.04505
729,1.73721,0.04445
730,1.73721,0.04819
731,1.73717,0.04591
732,1.73714,0.04731
733,1.73707,0.05309
734,1.73699,0.05114
735,1.7369,0.04986
736,1.7368,0.05162
737,1.73669,0.05473
738,1.7366,0.05142
739,1.73649,0.05149
740,1.7364,0.04986
741,1.73637,0.04925
742,1.7363,0.05034
743,1.73625,0.05007
744,1.73618,0.04877
745,1.73608,0.04815
746,1.73597,0.04548
747,1.7359,0.04417
748,1.73582,0.03977
749,1.73577,0.04017
750,1.73574,0.04057
751,1.73576,0.04166
752,1.73571,0.04343
753,1.73568,0.05005
754,1.73562,0.04562
755,1.73561,0.05088
756,1.73559,0.0506
757,1.73558,0.05691
758,1.73557,0.05768
759,1.7355,0.04975
760,1.73545,0.054
761,1.73543,0.05337
762,1.73537,0.05205
763,1.73534,0.05176
764,1.73532,0.05043
765,1.73532,0.04454
766,1.73529,0.04143
767,1.73528,0.05379
768,1.73531,0.0433
769,1.73529,0.04406
770,1.73528,0.04871
771,1.73524,0.04948
772,1.73524,0.04919
773,1.73523,0.04217
774,1.73518,0.04009
775,1.73512,0.04121
776,1.73512,0.05229
777,1.73513,0.0431
778,1.73516,0.04708
779,1.7352,0.04678
780,1.73524,0.04219
781,1.73528,0.04941
782,1.73528,0.04517
783,1.7353,0.0463
784,1.73535,0.046
785,1.73539,0.0475
786,1.73542,0.04288
