Wavelength (nm),TaTmdopedF6TCNNQ_n,TaTmdopedF6TCNNQ_k
300,1.54378,0.24245
301,1.53568,0.25305
302,1.5283,0.24863
303,1.52166,0.25876
304,1.51575,0.25543
305,1.5104,0.25516
306,1.50569,0.26062
307,1.50158,0.26485
308,1.49788,0.26938
309,1.49469,0.27012
310,1.49194,0.2754
311,1.48962,0.28099
312,1.48768,0.28904
313,1.48615,0.29671
314,1.48503,0.30529
315,1.48437,0.31435
316,1.48387,0.3265
317,1.48393,0.33683
318,1.48423,0.34912
319,1.48491,0.36089
320,1.48597,0.37845
321,1.48732,0.39523
322,1.48907,0.40901
323,1.49117,0.42894
324,1.49353,0.44646
325,1.49632,0.46094
326,1.49945,0.48448
327,1.50314,0.50095
328,1.50707,0.52609
329,1.51299,0.54036
330,1.51931,0.56576
331,1.52587,0.58477
332,1.53287,0.60815
333,1.54061,0.62921
334,1.54893,0.64993
335,1.55808,0.66677
336,1.56787,0.68817
337,1.57826,0.70922
338,1.58947,0.72775
339,1.60111,0.7456
340,1.61325,0.7612
341,1.62579,0.78001
342,1.63873,0.79829
343,1.65166,0.81477
344,1.66466,0.83087
345,1.67779,0.84862
346,1.69061,0.85885
347,1.70351,0.87883
348,1.71619,0.89413
349,1.72889,0.90773
350,1.74135,0.91804
351,1.75348,0.92806
352,1.7654,0.94313
353,1.77727,0.956
354,1.78932,0.96488
355,1.8013,0.972
356,1.81331,0.97571
357,1.82534,0.98893
358,1.83766,0.99498
359,1.84989,1.00039
360,1.86237,1.00549
361,1.87505,1.01573
362,1.88771,1.01639
363,1.9007,1.01553
364,1.91385,1.01733
365,1.92719,1.02381
366,1.94059,1.02326
367,1.95421,1.01781
368,1.96786,1.01822
369,1.98168,1.01185
370,1.99584,1.01273
371,2.01011,1.00424
372,2.02451,0.99996
373,2.03923,0.99153
374,2.05411,0.98442
375,2.06907,0.97519
376,2.08431,0.97072
377,2.0999,0.95931
378,2.1158,0.94851
379,2.13173,0.93694
380,2.14764,0.92461
381,2.16376,0.91045
382,2.17924,0.89813
383,2.19415,0.88064
384,2.20817,0.86763
385,2.22135,0.8533
386,2.23332,0.83658
387,2.24397,0.81711
388,2.25317,0.80641
389,2.26077,0.78816
390,2.26673,0.77285
391,2.27111,0.7578
392,2.27386,0.73746
393,2.27515,0.71952
394,2.27485,0.69968
395,2.27317,0.68335
396,2.27026,0.66384
397,2.26633,0.64696
398,2.26152,0.62979
399,2.25581,0.61254
400,2.24942,0.59537
401,2.24236,0.5748
402,2.23472,0.55762
403,2.22647,0.5385
404,2.21762,0.52262
405,2.20816,0.50256
406,2.19798,0.48891
407,2.18696,0.47295
408,2.17509,0.45261
409,2.16255,0.4404
410,2.14962,0.42363
411,2.13682,0.40657
412,2.12455,0.39415
413,2.11315,0.38015
414,2.10272,0.36608
415,2.09332,0.35612
416,2.08483,0.3402
417,2.07715,0.3305
418,2.07012,0.32114
419,2.06361,0.31154
420,2.05751,0.2988
421,2.05171,0.29276
422,2.04609,0.28282
423,2.04056,0.27689
424,2.03507,0.26958
425,2.02956,0.2634
426,2.02398,0.25718
427,2.01833,0.24996
428,2.01263,0.24466
429,2.00677,0.2411
430,2.00075,0.2391
431,1.99454,0.23432
432,1.9882,0.22714
433,1.9819,0.22469
434,1.97568,0.22342
435,1.96962,0.22094
436,1.96375,0.21885
437,1.95814,0.21454
438,1.95282,0.21503
439,1.94778,0.2109
440,1.94309,0.21218
441,1.93875,0.20984
442,1.93466,0.20829
443,1.93082,0.2049
444,1.92711,0.20516
445,1.92361,0.20419
446,1.92032,0.2022
447,1.91715,0.20163
448,1.91404,0.19982
449,1.91093,0.198
450,1.9078,0.19927
