Wavelength (nm),Y6_n,Y6_k
300,1.41103,0.1976
301,1.40798,0.19974
302,1.4049,0.20264
303,1.40189,0.20581
304,1.39897,0.20936
305,1.39635,0.21325
306,1.39393,0.2173
307,1.39198,0.22162
308,1.39053,0.22611
309,1.3894,0.23071
310,1.38912,0.23536
311,1.38914,0.23984
312,1.38956,0.24407
313,1.39042,0.24766
314,1.39146,0.25095
315,1.39276,0.25364
316,1.39418,0.25593
317,1.39568,0.25796
318,1.39725,0.25951
319,1.39885,0.2609
320,1.40048,0.26209
321,1.40212,0.26308
322,1.40371,0.26399
323,1.40514,0.26478
324,1.40624,0.26545
325,1.40712,0.26607
326,1.40747,0.26659
327,1.40775,0.26715
328,1.40794,0.26775
329,1.40834,0.26855
330,1.40888,0.26943
331,1.40971,0.27045
332,1.41078,0.27144
333,1.41197,0.2724
334,1.41339,0.27314
335,1.4149,0.27373
336,1.41652,0.27418
337,1.41824,0.2744
338,1.42001,0.27452
339,1.42182,0.27447
340,1.42371,0.27409
341,1.42565,0.27348
342,1.42773,0.27225
343,1.42989,0.27051
344,1.43213,0.26836
345,1.43434,0.26557
346,1.43645,0.26262
347,1.43837,0.25947
348,1.43993,0.25631
349,1.44131,0.25319
350,1.44237,0.25022
351,1.44334,0.24748
352,1.44424,0.24489
353,1.44514,0.2428
354,1.44606,0.24089
355,1.44699,0.23924
356,1.44791,0.23782
357,1.44881,0.23648
358,1.44965,0.23524
359,1.45053,0.23396
360,1.45144,0.23268
361,1.45268,0.23116
362,1.45416,0.2295
363,1.45599,0.22762
364,1.45829,0.22535
365,1.46071,0.22289
366,1.4632,0.2201
367,1.46542,0.21703
368,1.46745,0.2138
369,1.46866,0.21021
370,1.46952,0.20654
371,1.46994,0.20277
372,1.46983,0.19907
373,1.46953,0.19546
374,1.46891,0.19209
375,1.46808,0.18901
376,1.46712,0.18608
377,1.46593,0.18346
378,1.46463,0.18095
379,1.46321,0.17856
380,1.46164,0.17627
381,1.46001,0.17404
382,1.45831,0.17193
383,1.45659,0.16998
384,1.45486,0.16814
385,1.45317,0.16657
386,1.45152,0.16519
387,1.44992,0.16399
388,1.44837,0.16304
389,1.44682,0.16218
390,1.44528,0.16144
391,1.4437,0.16078
392,1.44211,0.16014
393,1.44046,0.15953
394,1.43881,0.15891
395,1.43717,0.1583
396,1.4356,0.15767
397,1.43408,0.15703
398,1.43265,0.15636
399,1.43135,0.15566
400,1.43011,0.15495
401,1.42894,0.15421
402,1.42778,0.15345
403,1.42663,0.15269
404,1.42542,0.15192
405,1.42417,0.15114
406,1.42285,0.15037
407,1.42144,0.14962
408,1.42,0.14888
409,1.41849,0.14818
410,1.41693,0.14754
411,1.41533,0.14692
412,1.41368,0.14641
413,1.41199,0.14596
414,1.41026,0.14558
415,1.40847,0.14534
416,1.40665,0.14517
417,1.40476,0.14516
418,1.40281,0.14529
419,1.40083,0.14551
420,1.3988,0.14596
421,1.39676,0.14649
422,1.39473,0.14715
423,1.39276,0.14796
424,1.39085,0.14884
425,1.38904,0.14986
426,1.38735,0.15097
427,1.38574,0.15213
428,1.38426,0.15345
429,1.38282,0.15482
430,1.38144,0.15626
431,1.3801,0.15782
432,1.37876,0.15943
433,1.37743,0.16112
434,1.37609,0.16288
435,1.37475,0.16468
436,1.37342,0.16651
437,1.37213,0.16834
438,1.37086,0.17016
439,1.36968,0.17192
440,1.36854,0.17364
441,1.36749,0.17527
442,1.36652,0.17681
443,1.36561,0.17832
444,1.36478,0.17973
445,1.36398,0.18113
446,1.36321,0.18251
447,1.36247,0.18389
448,1.36174,0.18527
449,1.36101,0.18668
450,1.36028,0.1881
451,1.35956,0.18954
452,1.35885,0.19099
453,1.35817,0.19241
454,1.3575,0.19381
455,1.35688,0.19517
456,1.35629,0.19649
457,1.35574,0.19774
458,1.35525,0.19894
459,1.35477,0.20011
460,1.35431,0.20128
461,1.35383,0.20251
462,1.35334,0.20378
463,1.35278,0.20522
464,1.35217,0.20677
465,1.35149,0.20848
466,1.35069,0.21046
467,1.34985,0.21257
468,1.34894,0.21489
469,1.34805,0.21734
470,1.34716,0.21986
471,1.34639,0.22248
472,1.34569,0.22511
