Wavelength (nm),ZnOBrabec_n,ZnOBrabec_k
350,1.77716,0.19547
351,1.77921,0.1966
352,1.78126,0.19774
353,1.78331,0.19799
354,1.78536,0.19744
355,1.78979,0.19689
356,1.7944,0.19635
357,1.79901,0.1958
358,1.80265,0.19525
359,1.80511,0.1947
360,1.80758,0.19354
361,1.81004,0.19167
362,1.8125,0.18979
363,1.81681,0.18514
364,1.82736,0.17935
365,1.83864,0.17355
366,1.85104,0.16231
367,1.85804,0.14924
368,1.86219,0.13472
369,1.86634,0.12203
370,1.87049,0.10986
371,1.87464,0.09712
372,1.87727,0.08023
373,1.8779,0.07732
374,1.87852,0.07214
375,1.87915,0.05501
376,1.87978,0.04922
377,1.87937,0.04402
378,1.87509,0.03881
379,1.87081,0.0336
380,1.86653,0.02722
381,1.8588,0.02041
382,1.8491,0.0136
383,1.84069,0.01192
384,1.83257,0.01092
385,1.82519,0.00991
386,1.81876,0.00891
387,1.81366,0.0079
388,1.80857,0.0069
389,1.80348,0.00589
390,1.79841,0.00538
391,1.79334,0.00499
392,1.78827,0.00459
393,1.78408,0.00419
394,1.78095,0.00379
395,1.77783,0.00339
396,1.7747,0.003
397,1.77189,0.0026
398,1.76912,0.0022
399,1.76635,0.0018
400,1.76359,0.00177
401,1.76082,0.00174
402,1.75865,0.00171
403,1.75681,0.00167
404,1.75496,0.00164
405,1.75312,0.00161
406,1.75127,0.00158
407,1.74942,0.00155
408,1.74758,0.00151
409,1.74545,0.00148
410,1.74319,0.00145
411,1.74093,0.00142
412,1.73869,0.00139
413,1.73653,0.00136
414,1.73437,0.00132
415,1.73222,0.00129
416,1.73006,0.00126
417,1.72791,0.00123
418,1.72645,0.0012
419,1.72507,0.00117
420,1.7237,0.00116
421,1.72232,0.00116
422,1.72095,0.00116
423,1.71957,0.00115
424,1.7182,0.00115
425,1.71767,0.00114
426,1.71721,0.00114
427,1.71675,0.00113
428,1.71629,0.00113
429,1.71582,0.00112
430,1.71536,0.00112
431,1.7149,0.00111
432,1.71444,0.00111
433,1.71397,0.0011
434,1.71351,0.0011
435,1.71292,0.00109
436,1.71214,0.00109
437,1.71136,0.00109
438,1.71058,0.00108
439,1.7098,0.00108
440,1.70902,0.00107
441,1.70824,0.00107
442,1.70746,0.00106
443,1.70668,0.00106
444,1.7059,0.00105
445,1.70512,0.00105
446,1.70434,0.00104
447,1.70356,0.00104
448,1.70275,0.00103
449,1.70195,0.00103
450,1.70115,0.00103
451,1.70034,0.00102
452,1.69954,0.00102
453,1.69874,0.00101
454,1.69793,0.00101
455,1.69713,0.001
456,1.69633,0
457,1.69552,0
458,1.69472,0
459,1.69392,0
460,1.69312,0
461,1.69232,0
462,1.69163,0
463,1.69094,0
464,1.69026,0
465,1.68957,0
466,1.68888,0
467,1.68819,0
468,1.6875,0
469,1.68681,0
470,1.68612,0
471,1.68543,0
472,1.68474,0
473,1.68405,0
474,1.68336,0
475,1.68271,0
476,1.6824,0
477,1.6821,0
478,1.68179,0
479,1.68149,0
480,1.68118,0
481,1.68088,0
482,1.68057,0
483,1.68027,0
484,1.67997,0
485,1.67966,0
486,1.67936,0
487,1.67905,0
488,1.67875,0
489,1.67844,0
490,1.67814,0
491,1.67784,0
492,1.67753,0
493,1.67723,0
494,1.67692,0
495,1.67662,0
496,1.67632,0
497,1.67609,0
498,1.67587,0
499,1.67564,0
500,1.67541,0
501,1.67518,0
502,1.67495,0
503,1.67473,0
504,1.6745,0
505,1.67427,0
506,1.67404,0
507,1.67382,0
508,1.67359,0
509,1.67336,0
510,1.67314,0
511,1.67295,0
512,1.67277,0
513,1.67259,0
514,1.67241,0
515,1.67222,0
516,1.67204,0
517,1.67186,0
518,1.67168,0
519,1.67149,0
520,1.67131,0
521,1.67113,0
522,1.67095,0
523,1.67076,0
524,1.67058,0
525,1.6704,0
526,1.67022,0
527,1.67003,0
528,1.66976,0
529,1.66941,0
530,1.66906,0
531,1.66871,0
532,1.66837,0
533,1.66802,0
534,1.66767,0
535,1.66732,0
536,1.66697,0
537,1.66663,0
538,1.66628,0
539,1.66593,0
540,1.66558,0
541,1.66524,0
542,1.665,0
543,1.66485,0
544,1.6647,0
545,1.66454,0
546,1.66439,0
547,1.66424,0
548,1.66409,0
549,1.66394,0
550,1.66379,0
551,1.66364,0
552,1.66348,0
553,1.66328,0
554,1.66308,0
555,1.66287,0
556,1.66267,0
557,1.66247,0
558,1.66227,0
559,1.66206,0
560,1.66186,0
561,1.66166,0
562,1.66146,0
563,1.66125,0
564,1.66105,0
565,1.66085,0
566,1.66065,0
567,1.66044,0
568,1.66027,0
569,1.66019,0
570,1.66011,0
571,1.66002,0
572,1.65994,0
573,1.65986,0
574,1.65978,0
575,1.65969,0
576,1.65961,0
577,1.65953,0
578,1.65944,0
579,1.65936,0
580,1.65928,0
581,1.65919,0
582,1.65911,0
583,1.65903,0
584,1.65895,0
585,1.65886,0
586,1.65878,0
587,1.65869,0
588,1.65854,0
589,1.65839,0
590,1.65824,0
591,1.65809,0
592,1.65793,0
593,1.65778,0
594,1.65763,0
595,1.65748,0
596,1.65733,0
597,1.65717,0
598,1.65702,0
599,1.65687,0
600,1.65672,0
601,1.65656,0
602,1.65641,0
603,1.65626,0
604,1.65611,0
605,1.65596,0
606,1.6558,0
607,1.65565,0
608,1.65549,0
609,1.65518,0
610,1.65487,0
611,1.65456,0
612,1.65425,0
613,1.65395,0
614,1.65364,0
615,1.65333,0
616,1.65302,0
617,1.65271,0
618,1.6524,0
619,1.65209,0
620,1.65178,0
621,1.65147,0
622,1.65116,0
623,1.65085,0
624,1.65061,0
625,1.65053,0
626,1.65044,0
627,1.65036,0
628,1.65028,0
629,1.6502,0
630,1.65011,0
631,1.65003,0
632,1.64995,0
633,1.64987,0
634,1.64978,0
635,1.6497,0
636,1.64962,0
637,1.64954,0
638,1.64945,0
639,1.64937,0
640,1.64929,0
641,1.64921,0
642,1.64912,0
643,1.64904,0
644,1.64875,0
645,1.64844,0
646,1.64814,0
647,1.64783,0
648,1.64753,0
649,1.64723,0
650,1.64692,0
651,1.64662,0
652,1.64631,0
653,1.64601,0
654,1.64571,0
655,1.6454,0
656,1.6451,0
657,1.64479,0
658,1.64449,0
659,1.64425,0
660,1.64425,0
661,1.64425,0
662,1.64425,0
663,1.64425,0
664,1.64425,0
665,1.64425,0
666,1.64425,0
667,1.64425,0
668,1.64425,0
669,1.64425,0
670,1.64425,0
671,1.64425,0
672,1.64425,0
673,1.64425,0
674,1.64425,0
675,1.64425,0
676,1.64425,0
677,1.64418,0
678,1.64409,0
679,1.644,0
680,1.64391,0
681,1.64382,0
682,1.64373,0
683,1.64364,0
684,1.64354,0
685,1.64345,0
686,1.64336,0
687,1.64327,0
688,1.64318,0
689,1.64309,0
690,1.643,0
691,1.64291,0
692,1.64281,0
693,1.64272,0
694,1.64261,0
695,1.64243,0
696,1.64224,0
697,1.64205,0
698,1.64186,0
699,1.64168,0
700,1.64149,0
701,1.6413,0
702,1.64112,0
703,1.64093,0
704,1.64074,0
705,1.64055,0
706,1.64037,0
707,1.64018,0
708,1.63999,0
709,1.6398,0
710,1.63962,0
