Wavelength (nm),ZnONPVLC_n,ZnONPVLC_k
300,1.71763,0.15699
301,1.71809,0.15663
302,1.7185,0.15631
303,1.71889,0.15599
304,1.71926,0.15568
305,1.71961,0.15537
306,1.71997,0.15507
307,1.72033,0.15476
308,1.72071,0.15444
309,1.7211,0.15411
310,1.72153,0.15378
311,1.72197,0.15347
312,1.72244,0.15316
313,1.72295,0.15289
314,1.72349,0.15264
315,1.72407,0.15244
316,1.72469,0.15228
317,1.72533,0.15214
318,1.72602,0.15203
319,1.72672,0.15193
320,1.72744,0.15182
321,1.72817,0.15166
322,1.72891,0.15148
323,1.72964,0.15124
324,1.73036,0.15093
325,1.73107,0.15056
326,1.73178,0.15013
327,1.73249,0.14968
328,1.73319,0.14923
329,1.73391,0.14882
330,1.73464,0.14844
331,1.73538,0.14814
332,1.73615,0.14794
333,1.73694,0.14781
334,1.73776,0.14784
335,1.73862,0.14792
336,1.73951,0.14806
337,1.74047,0.14822
338,1.74146,0.14836
339,1.74252,0.14848
340,1.74365,0.1485
341,1.74483,0.14847
342,1.7461,0.14828
343,1.74745,0.14798
344,1.74887,0.1476
345,1.75047,0.14715
346,1.75217,0.14671
347,1.75402,0.14629
348,1.7561,0.146
349,1.7583,0.1458
350,1.76077,0.14581
351,1.76346,0.14604
352,1.76631,0.14643
353,1.76955,0.14718
354,1.77295,0.14795
355,1.7766,0.14875
356,1.78053,0.14927
357,1.78461,0.14958
358,1.78898,0.14931
359,1.79355,0.14841
360,1.79826,0.14709
361,1.8033,0.14441
362,1.80846,0.14105
363,1.81381,0.13674
364,1.81929,0.13113
365,1.82474,0.12498
366,1.83002,0.11796
367,1.83494,0.1105
368,1.83961,0.10277
369,1.8434,0.09475
370,1.84663,0.08676
371,1.84916,0.07879
372,1.85034,0.07114
373,1.85081,0.06372
374,1.84987,0.05681
375,1.84768,0.05042
376,1.84476,0.04436
377,1.84045,0.03898
378,1.83562,0.03394
379,1.83021,0.02925
380,1.82417,0.02512
381,1.81796,0.02125
382,1.81149,0.0178
383,1.80504,0.01476
384,1.79863,0.01194
385,1.79256,0.00963
386,1.7868,0.00758
387,1.78137,0.00579
388,1.77653,0.00441
389,1.77192,0.0032
390,1.76769,0.00226
391,1.76383,0.00155
392,1.76015,9.5965E-4
393,1.75683,5.88284E-4
394,1.75371,3.15959E-4
395,1.75074,1.30277E-4
396,1.74804,5.71341E-5
397,1.74544,1.09691E-5
398,1.74297,2.18695E-6
399,1.74063,0
400,1.73835,0
401,1.7362,0
402,1.73413,0
403,1.73212,0
404,1.73023,0
405,1.7284,0
406,1.72665,0
407,1.72499,0
408,1.72337,0
409,1.72185,0
