Wavelength (nm),ZnOnanoVLC_n,ZnOnanoVLC_k
300,1.37462,0.09374
301,1.37675,0.09306
302,1.37875,0.09224
303,1.3807,0.09137
304,1.38257,0.09042
305,1.38434,0.08938
306,1.38605,0.0883
307,1.38765,0.08714
308,1.38917,0.08593
309,1.39064,0.0847
310,1.39199,0.08339
311,1.39328,0.08207
312,1.3945,0.08071
313,1.39561,0.07932
314,1.39668,0.07792
315,1.39766,0.07649
316,1.39856,0.07505
317,1.39942,0.0736
318,1.40018,0.07213
319,1.40089,0.07067
320,1.40154,0.0692
321,1.4021,0.06773
322,1.40263,0.06626
323,1.40309,0.0648
324,1.40349,0.06335
325,1.40386,0.0619
326,1.40414,0.06047
327,1.4044,0.05905
328,1.40461,0.05764
329,1.40475,0.05626
330,1.40487,0.05488
331,1.40494,0.05352
332,1.40497,0.05218
333,1.40497,0.05086
334,1.40492,0.04956
335,1.40485,0.04828
336,1.40474,0.04702
337,1.40459,0.04579
338,1.40443,0.04458
339,1.40423,0.04338
340,1.404,0.04222
341,1.40376,0.04107
342,1.40348,0.03995
343,1.40318,0.03885
344,1.40287,0.03777
345,1.40253,0.03673
346,1.40218,0.0357
347,1.40181,0.03469
348,1.40142,0.03371
349,1.40103,0.03275
350,1.40061,0.03181
351,1.40018,0.0309
352,1.39975,0.03
353,1.3993,0.02914
354,1.39884,0.02829
355,1.39837,0.02746
356,1.39789,0.02666
357,1.39741,0.02587
358,1.39692,0.02511
359,1.39642,0.02437
360,1.39592,0.02364
361,1.39542,0.02294
362,1.39491,0.02225
363,1.39439,0.02159
364,1.39388,0.02094
365,1.39336,0.02031
366,1.39284,0.0197
367,1.39231,0.0191
368,1.39179,0.01852
369,1.39127,0.01796
370,1.39074,0.01742
371,1.39022,0.01689
372,1.3897,0.01637
373,1.38917,0.01587
374,1.38865,0.01539
375,1.38813,0.01492
376,1.38761,0.01446
377,1.3871,0.01402
378,1.38658,0.01359
379,1.38607,0.01317
380,1.38556,0.01277
381,1.38506,0.01237
382,1.38455,0.01199
383,1.38405,0.01163
384,1.38356,0.01127
385,1.38306,0.01092
386,1.38257,0.01058
387,1.38209,0.01026
388,1.3816,0.00994
389,1.38113,0.00963
390,1.38065,0.00934
391,1.38018,0.00905
392,1.37971,0.00877
393,1.37925,0.0085
394,1.37879,0.00824
395,1.37834,0.00798
