Wavelength (nm),aSi_n,aSi_k
300,1.73,2.77
301,1.73,2.77
302,1.74,2.77
303,1.75,2.77
304,1.76,2.8
305,1.78,2.8
306,1.795,2.8
307,1.81,2.82
308,1.81,2.82
309,1.82,2.82
310,1.83,2.82
311,1.85,2.82
312,1.85,2.82
313,1.85,2.82
314,1.86,2.82
315,1.86,2.85
316,1.88,2.85
317,1.9,2.85
318,1.9,2.88
319,1.91,2.88
320,1.92,2.88
321,1.94,2.88
322,1.94,2.88
323,1.945,2.88
324,1.95,2.88
325,1.97,2.91
326,1.98,2.91
327,1.99,2.91
328,2.01,2.91
329,2.02,2.91
330,2.03,2.91
331,2.05,2.93
332,2.05,2.93
333,2.07,2.93
334,2.09,2.93
335,2.11,2.93
336,2.12,2.93
337,2.13,2.93
338,2.15,2.96
339,2.16,2.96
340,2.17,2.96
341,2.19,2.96
342,2.19,2.96
343,2.2,2.96
344,2.21,2.96
345,2.23,2.96
346,2.24,2.96
347,2.25,2.96
348,2.27,2.99
349,2.29,2.99
350,2.29,2.99
351,2.29,2.99
352,2.32,2.99
353,2.33,3.005
354,2.34,3.02
355,2.34,3.02
356,2.36,3.02
357,2.38,3.02
358,2.38,3.02
359,2.38,3.02
360,2.405,3.02
361,2.43,3.02
362,2.43,3.02
363,2.45,3.02
364,2.47,3.02
365,2.47,3.02
366,2.47,3.02
367,2.47,3.02
368,2.52,3.02
369,2.52,3.02
370,2.52,3.035
371,2.52,3.05
372,2.57,3.05
373,2.57,3.05
374,2.57,3.05
375,2.62,3.05
376,2.62,3.05
377,2.62,3.05
378,2.64,3.07
379,2.69,3.07
380,2.69,3.07
381,2.69,3.07
382,2.72,3.07
383,2.735,3.07
384,2.75,3.07
385,2.75,3.07
386,2.77,3.07
387,2.785,3.07
388,2.8,3.07
389,2.82,3.07
390,2.89,3.07
391,2.96,3.07
392,2.96,2.96
393,2.96,2.96
394,2.96,2.96
395,2.96,2.96
396,2.9667,2.9667
397,2.9733,2.9733
398,2.98,2.98
399,2.995,2.995
400,3.01,3.01
401,3.03,3.03
402,3.05,3.05
403,3.055,3.055
404,3.06,3.06
405,3.0633,3.0633
406,3.0667,3.0667
407,3.07,3.07
408,3.07,3.07
409,3.07,3.07
410,3.08,3.08
411,3.09,3.09
412,3.095,3.095
413,3.1,3.1
414,3.1067,3.1067
415,3.1133,3.1133
416,3.12,3.12
417,3.19,3.04
418,3.26,2.96
419,3.27,2.96
420,3.28,2.96
421,3.315,2.96
422,3.35,2.96
423,3.35,2.96
424,3.35,2.96
425,3.35,2.96
426,3.38,2.955
427,3.41,2.95
428,3.43,2.94
429,3.45,2.93
430,3.46,2.9233
431,3.47,2.9167
432,3.48,2.91
433,3.5,2.905
434,3.52,2.9
435,3.53,2.89
436,3.54,2.88
437,3.56,2.88
438,3.58,2.88
439,3.59,2.86
440,3.6,2.84
441,3.61,2.82
442,3.62,2.82
443,3.63,2.82
444,3.655,2.82
445,3.68,2.82
446,3.695,2.8
447,3.71,2.78
448,3.7233,2.7767
449,3.7367,2.7733
450,3.75,2.77
451,3.75,2.755
452,3.75,2.74
453,3.78,2.73
454,3.81,2.72
455,3.815,2.715
456,3.82,2.71
457,3.83,2.6967
458,3.84,2.6833
459,3.85,2.67
460,3.87,2.67
461,3.89,2.67
462,3.89,2.645
463,3.89,2.62
464,3.91,2.62
465,3.93,2.62
466,3.95,2.61
467,3.96,2.6
468,3.97,2.59
469,3.97,2.58
