Wavelength (nm),aZnOVLC_n,aZnOVLC_k
300,1.76705,0.13542
301,1.76739,0.13492
302,1.76771,0.13441
303,1.76803,0.1339
304,1.76834,0.13339
305,1.76865,0.13288
306,1.76896,0.13237
307,1.76926,0.13187
308,1.76957,0.13138
309,1.76988,0.13089
310,1.7702,0.13043
311,1.77052,0.12997
312,1.77085,0.12953
313,1.7712,0.12911
314,1.77155,0.12871
315,1.77193,0.12834
316,1.77232,0.12799
317,1.77272,0.12766
318,1.77316,0.12736
319,1.77363,0.12708
320,1.77412,0.12681
321,1.77466,0.12657
322,1.77523,0.12634
323,1.77585,0.12611
324,1.77652,0.1259
325,1.77722,0.12569
326,1.77802,0.12548
327,1.77888,0.12524
328,1.77981,0.12499
329,1.78087,0.12469
330,1.78199,0.12435
331,1.78324,0.12395
332,1.78462,0.12348
333,1.78609,0.12296
334,1.78773,0.12232
335,1.78947,0.12156
336,1.79129,0.12071
337,1.79325,0.11959
338,1.79525,0.11833
339,1.79734,0.11684
340,1.79949,0.11505
341,1.80167,0.11308
342,1.80391,0.11071
343,1.80616,0.10807
344,1.80841,0.10521
345,1.81053,0.10194
346,1.81256,0.09853
347,1.81441,0.09488
348,1.81596,0.09101
349,1.81733,0.08702
350,1.81827,0.08283
351,1.81885,0.07853
352,1.81916,0.07414
353,1.81878,0.06961
354,1.81812,0.06506
355,1.81707,0.06048
356,1.81556,0.05594
357,1.81383,0.05144
358,1.81171,0.04706
359,1.80932,0.04282
360,1.80675,0.03868
361,1.80383,0.03487
362,1.80077,0.03123
363,1.79754,0.02783
364,1.79412,0.0248
365,1.79062,0.02195
366,1.78701,0.01941
367,1.78337,0.01712
368,1.77971,0.01499
369,1.77609,0.01319
370,1.77251,0.01154
371,1.769,0.01007
372,1.76566,0.00885
373,1.76242,0.00774
374,1.75938,0.00683
375,1.75653,0.00608
376,1.75381,0.00542
377,1.75133,0.00494
378,1.74895,0.00454
379,1.7467,0.00421
380,1.74461,0.00397
381,1.7426,0.00377
382,1.74069,0.00361
383,1.73888,0.00348
384,1.7371,0.00336
385,1.73542,0.00323
386,1.73377,0.00308
387,1.73215,0.00291
388,1.73058,0.00272
389,1.72904,0.00252
390,1.72753,0.00231
391,1.72606,0.00209
392,1.72461,0.00186
393,1.72319,0.00164
394,1.7218,0.00142
395,1.72043,0.00121
396,1.71908,0.00102
397,1.71775,8.35928E-4
398,1.71645,6.73459E-4
399,1.71516,5.36428E-4
400,1.71388,4.12849E-4
401,1.71263,3.16244E-4
402,1.7114,2.34818E-4
403,1.71019,1.65189E-4
404,1.70901,1.17431E-4
405,1.70785,7.67252E-5
406,1.70671,4.66151E-5
407,1.70561,2.72733E-5
408,1.70453,1.27153E-5
409,1.70349,5.81502E-6
410,1.70247,1.88585E-6
411,1.70148,3.96325E-9
412,1.70053,0
413,1.69961,0
414,1.69872,0
415,1.69787,0
416,1.69703,0
417,1.69622,0
418,1.69544,0
419,1.69467,0
420,1.69393,0
421,1.6932,0
422,1.69249,0
423,1.6918,0
424,1.69112,0
425,1.69045,0
426,1.68979,0
427,1.68913,0
428,1.68849,0
429,1.68786,0
430,1.68723,0
431,1.68662,0
432,1.68601,0
433,1.68541,0
434,1.68483,0
435,1.68425,0
436,1.68369,0
437,1.68313,0
438,1.68259,0
439,1.68206,0
440,1.68154,0
441,1.68103,0
442,1.68053,0
443,1.68005,0
444,1.67957,0
445,1.67911,0
446,1.67866,0
447,1.67822,0
448,1.67779,0
449,1.67736,0
450,1.67695,0
451,1.67654,0
452,1.67614,0
453,1.67575,0
454,1.67537,0
455,1.67499,0
456,1.67462,0
457,1.67426,0
458,1.6739,0
459,1.67355,0
460,1.6732,0
461,1.67285,0
462,1.67251,0
463,1.67218,0
464,1.67184,0
465,1.67151,0
466,1.67119,0
467,1.67086,0
468,1.67054,0
469,1.67021,0
470,1.66989,0
471,1.66957,0
472,1.66925,0
473,1.66893,0
474,1.66861,0
475,1.66828,0
476,1.66796,0
477,1.66764,0
478,1.66731,0
479,1.66699,0
480,1.66666,0
481,1.66634,0
482,1.66602,0
483,1.6657,0
484,1.66539,0
485,1.66508,0
486,1.66477,0
487,1.66447,0
488,1.66418,0
489,1.66389,0
490,1.66362,0
491,1.66334,0
492,1.66308,0
493,1.66283,0
494,1.66258,0
495,1.66235,0
496,1.66213,0
