Wavelength (nm),peroTripleCatMartin_n,peroTripleCatMartin_k
300,1.58878,0.87048
301,1.58909,0.87575
302,1.58575,0.88511
303,1.58309,0.89428
304,1.58111,0.90261
305,1.58134,0.90806
306,1.58224,0.91345
307,1.58403,0.91986
308,1.58727,0.92515
309,1.58785,0.93202
310,1.58674,0.94222
311,1.59048,0.94659
312,1.59818,0.948
313,1.60556,0.94895
314,1.60792,0.95726
315,1.60695,0.96838
316,1.60625,0.97991
317,1.61477,0.9831
318,1.62501,0.98438
319,1.63105,0.98951
320,1.62862,1.00388
321,1.62763,1.01916
322,1.63097,1.03039
323,1.63881,1.03473
324,1.64602,1.03986
325,1.65061,1.05068
326,1.65441,1.06151
327,1.66113,1.06903
328,1.66751,1.07663
329,1.67439,1.08545
330,1.68216,1.09305
331,1.68749,1.10112
332,1.70075,1.10217
333,1.71728,1.09954
334,1.72329,1.10782
335,1.72577,1.11998
336,1.73282,1.12854
337,1.74596,1.12942
338,1.76379,1.12469
339,1.78179,1.1188
340,1.7928,1.12276
341,1.79343,1.13696
342,1.79617,1.14927
343,1.80584,1.15385
344,1.81939,1.15268
345,1.84336,1.14125
346,1.85818,1.13897
347,1.86298,1.14699
348,1.8585,1.16942
349,1.86812,1.17323
350,1.88153,1.17266
351,1.89287,1.17242
352,1.91225,1.16472
353,1.92306,1.16584
354,1.92771,1.17546
355,1.93282,1.18264
356,1.94472,1.18184
357,1.95172,1.18487
358,1.96046,1.18816
359,1.97283,1.18581
360,1.98683,1.1806
361,1.99602,1.18519
362,2.00498,1.18663
363,2.01995,1.17862
364,2.0346,1.17421
365,2.04314,1.17332
366,2.04785,1.1789
367,2.05821,1.17712
368,2.06779,1.17655
369,2.07841,1.17076
370,2.09209,1.16587
371,2.11255,1.14803
372,2.12715,1.14092
373,2.1291,1.14491
374,2.13242,1.14896
375,2.13679,1.15265
376,2.14724,1.14831
377,2.16393,1.13608
378,2.17804,1.11902
379,2.19816,1.09986
380,2.20869,1.08884
381,2.21062,1.09334
382,2.21216,1.09973
383,2.21425,1.10144
384,2.2209,1.0967
385,2.23234,1.08621
386,2.24379,1.07868
387,2.25961,1.05456
388,2.27024,1.04229
389,2.27543,1.03803
390,2.27742,1.04108
391,2.27639,1.04506
392,2.27673,1.04795
393,2.28507,1.03721
394,2.2914,1.02499
395,2.30118,1.01172
396,2.30854,0.99717
397,2.31683,0.9832
398,2.32051,0.97947
399,2.31895,0.98074
400,2.31913,0.97833
401,2.3202,0.97529
402,2.32253,0.96862
403,2.32763,0.95779
404,2.32937,0.94934
405,2.33198,0.94146
406,2.33635,0.93176
407,2.33761,0.92574
408,2.33838,0.92091
409,2.33713,0.91872
410,2.33685,0.9144
